KO	ERR475468	ERR475469	ERR475470	ERR475471	ERR475473	ERR475474	ERR475476	ERR475477	ERR475478	ERR475480	ERR475481	ERR475482	ERR475483	ERR475484	ERR475485	ERR475486	ERR475487	ERR475488	ERR475491	ERR475492	ERR475493	ERR475494	ERR475495	ERR475497	ERR475499	ERR475500	ERR475501	ERR475503	ERR475504	ERR475508	ERR475509	ERR475512	ERR475513	ERR475514	ERR475515	ERR475516	ERR475517	ERR475519	ERR475520	ERR475521	ERR475522	ERR475523	ERR475524	ERR475525	ERR475526	ERR475527	ERR475529	ERR475531	ERR475532	ERR475533	ERR475534	ERR475539	ERR475540	ERR475541	ERR475545	ERR475547	ERR475548	ERR475549	ERR475550	ERR475553	ERR475555	ERR475557	ERR475560	ERR475562	ERR475563	ERR475564	ERR475565	ERR475566	ERR475567	ERR475568	ERR475569	ERR475570	ERR475571	ERR475572	ERR475573	ERR475574	ERR475575	ERR475576	ERR475577	ERR475578	ERR475579	ERR475580	ERR475581	ERR475582	ERR475585	ERR475586	ERR475588	ERR475589	ERR475591	ERR475592	ERR475594
K00001	20184.81863	9077.167618	9929.703382	10565.44954	13686.74507	12805.09773	15245.45374	13315.34944	33018.1517	18142.57104	8531.231667	29350.50078	18238.59379	9827.791691	18453.66375	11101.42607	9857.455056	18953.70071	14044.36659	14256.98538	32973.12703	19360.35241	15145.81861	84534.86592	100916.6031	79426.09495	84752.50583	82347.93056	55298.40198	68504.39804	55535.5823	51758.41503	64706.74051	23512.43757	61608.08734	44341.50451	76721.97774	115196.2472	32735.30889	61082.1461	20029.99851	55109.82088	38709.20775	37504.7585	56011.72769	35909.57259	15031.68818	23839.51628	11574.43405	27522.89213	26301.71079	11738.21459	14115.2287	34241.44047	17555.75914	26525.08068	22802.77258	55755.1426	36889.57603	52303.5598	32931.26245	24831.94799	35188.09955	22867.41248	38846.13294	126227.844	19195.05815	31260.76773	18980.55794	20119.58822	31056.44571	81549.23368	36564.42693	33193.46343	22186.79241	112075.6785	55905.314	22019.32771	23812.77919	24350.10917	28622.97432	10870.00665	28440.24355	57973.00395	54006.33457	46742.85701	72089.67225	73761.51625	78237.35478	45931.03201	67463.90009
K00003	29742.8016	19456.06074	16625.57731	22239.70209	23358.23197	19737.04207	33669.79644	21837.51235	50377.12143	17900.84127	15702.22055	27510.29579	18898.64431	16805.28993	17578.03768	11052.84697	11103.02103	24366.89785	23950.1959	19693.0374	53914.8532	22611.68187	24711.44282	163896.2982	148497.3685	93244.15772	198002.0681	155611.5413	114451.5871	120722.9948	97089.03493	58582.54941	137895.0914	30931.22789	67621.67838	65738.4646	71326.55848	132883.3335	80793.16175	140545.9277	31879.51247	57435.29901	59467.13952	52476.92215	69661.00756	57124.33579	18915.59823	43450.94209	26622.25795	39857.28797	50082.75945	34405.23552	63780.45252	54621.14466	39264.97281	48723.43499	38062.2665	60213.40592	38460.84404	52100.88872	37016.01308	43707.39556	44268.29374	47188.99575	47794.47661	125939.7923	53106.47402	49057.26782	71236.80847	24027.35841	54310.21139	99887.58261	39493.79271	33629.77643	39045.1369	106371.5236	42486.24604	61936.94854	35120.3409	41905.35368	54567.50865	20682.14954	39174.24152	89466.87455	84580.14658	68865.54878	62313.24353	85135.86627	104064.7231	104605.0341	74723.07624
K00004	6142.666667	3218.333333	3469	2488	5847	1191	5431	3446.8	7723.904762	7363	4255.6	16515.77778	3482.232323	735	1360.857143	108	433	8355	3748	7392.285714	2457	10311.66667	3441.571429	11510	61178.22222	51157.45455	36542.89899	28444	1846.666667	8553.626263	23017.14286	1780.904762	23242.66667	246.4285714	17476.47619	10797.90476	25017.61905	36469.33333	7325.666667	26591.14286	2338	9777	782	1931	1426.571429	3400.142857	1659.809524	2382	1978	803	1509.428571	2575.514286	4903	4477.666667	4700	9433.4	4600.6	497	2630.666667	3804	3164	565.6666667	4092.47619	5117	2227.571429	96339.85714	1077	1292.2	931	9657.333333	2581.142857	1516.857143	1331	5425.666667	1975.066667	8658.285714	3751	3676.714286	6102	5876.285714	11697	1030	7379.666667	18620.5	28476.51429	13546.28571	5928.333333	46970.33333	42344	19637.66667	44742
K00005	1322.693182	1002.940476	528.0880952	750.9583333	87.70833333	1975.025	1577.178571	420.8409091	1689.291667	2522.708333	263.8321429	871.4404762	2362.327381	544.6904762	4368.666667	1731.833333	447.5416667	1801.285714	4611.35119	827.7202381	2886.988095	658.1785714	709.8241342	4792.619048	4916.459524	2338.425	8735.708333	3454.821429	4341.254762	11600.33333	6037.34881	6299.25	5480.202381	5105.841667	2804.255952	4751.833333	7561.839286	13383.65476	1492.255952	3995.107143	2428.85119	1177.005952	3281.505952	5468.954113	4561.37619	3379.035714	1009.410714	2558.214286	268.7083333	1230.529762	1091.02619	845.7321429	5125.835714	3770.380952	1311.02381	5602.935714	1071.516667	8908.839286	3132.029762	4885.75	3174.928571	2412.577381	4183.208333	1205.416667	2490.47619	2125.375	1181.946429	1832.857143	6077.357143	4174.880952	2454.330952	7641.529762	4324.708333	1501.065476	1396.440476	26544.83333	3977.203571	2975.607143	1114.541667	1573.066667	10973.21429	840.8392857	4454.708333	3121.928571	4705.39881	4155.797619	2339.875	1793.488095	4638.208333	4942.070887	1467.910714
K00006	29911.178	17615.24226	15862.08691	22150.02995	25051.0549	20817.62519	49312.7268	21256.24997	51042.04352	18266.54553	14567.99694	29637.57577	18943.05031	23690.50232	23811.68696	11102.94607	11226.14739	23994.52189	24264.86281	18901.17264	53146.09676	23117.89166	24458.51715	159763.9341	153038.6003	89897.93585	177884.4823	149106.4582	99519.52555	107896.2758	87136.20651	59409.29191	123160.7258	57123.17172	67955.8041	62172.02684	77567.21492	142290.4599	78936.66438	139495.435	67304.03913	69770.3803	60704.80749	50321.94822	67775.20807	78467.20702	19525.60218	44073.12287	26336.30716	44031.73939	42334.95134	31482.86137	46110.67773	62329.05678	55039.33182	60179.84756	52944.18256	59955.3345	41482.67229	52618.73723	37510.73855	42985.63577	44014.6911	61516.50329	49877.47823	126314.709	49216.21936	47648.22857	67936.49339	38644.73673	54624.14889	92018.21765	40705.79848	35049.35919	40790.05543	116698.5412	57891.42888	60890.79025	35179.64509	42230.13012	56462.77672	18761.74466	72684.28264	86620.02126	93124.86289	56115.04459	66151.04163	85572.93795	103837.331	98057.04182	74799.70929
K00007	390	415	403	348.5	1327	174.5	1074	673.5	1512	1525.5	721	3299.5	591	136.5	244.5	37.5	69.5	1586	490.5	1286.5	447	1930	616.5	2401	11466.5	2013.5	7271.5	7599	337	1330	2367	392	4674	47	3683.5	2936.5	5026.5	10062	1841.5	6545	529.5	1621	214	397.5	282	298.5	186	400	400	122	330	606.5	1062.5	892.5	810.5	686	841.5	40.5	189	281	235.5	48	763	997.5	383	18842	172.5	326	65.5	590.5	597	126	91	978	460	520	746	775	1123.5	1142	1871.5	255.5	1468.5	4650.5	6293	2310	1442.5	8867.5	8079	3893.5	9743
K00008	504	877.6666667	216	58	28	205	269.6666667	87	1962	83.33333333	28	54.66666667	172	323.3333333	5403	26.33333333	348	84.66666667	2891	44.33333333	499.6666667	883.6666667	99	511	6380.333333	18162	6449	1450.666667	1312.333333	976.3333333	4808	1816.666667	1753.666667	473.3333333	1479.333333	1505.666667	56.33333333	1968.5	660	1251.666667	347.6666667	0	6272	433.6666667	820.6666667	3731	250	679	800.6666667	161	1545.666667	91	334.3333333	1447.666667	3785.666667	103	2276.666667	331	579	932	266	8687	775.3333333	445	787	194	255.6666667	841.6666667	688	192.6666667	1084.333333	445.3333333	165	256	585	1530.666667	111.6666667	12254.33333	567	4211.333333	537	1291.666667	238	1154	294	3487.333333	28061.33333	11970.33333	2022.666667	685	847
K00009	434.875	747.75	8.25	29.625	67.70833333	1652.625	1346.577586	257.7222222	1216.791667	2166.708333	207.375	676.3333333	2474.541667	190.8333333	378	1731.833333	379.0416667	288.75	3822.125	547.2916667	1895.166667	334.25	233.7916667	4177.333333	321.8333333	61.125	70.70833333	1744.5	3286.416667	6280.833333	28.125	2382	535.75	699.375	2420.375	848.8333333	1086.866379	4290.416667	234.125	1695.666667	609.7083333	896.0416667	2937.041667	737.0833333	1059.25	283.5	151.875	947.5	108.4583333	538.5535714	797.25	592.875	41.25	1239.833333	337.25	581.5833333	896.9166667	8671.875	2727.375	4628	2746.5	526.5416667	3710.458333	73.91666667	2102.833333	1661.625	867.7083333	1650.5	5332.833333	119.0833333	608.1666667	6736.958333	4222.458333	1594.958333	700.9166667	16396.5	547.125	21.5	158.4204545	84.41666667	18	402.625	161.875	2156.583333	283.0416667	24	976.9583333	990.3333333	3723.458333	386.7916667	67.35119048
K00010	7554.675	4951.583333	5065.566667	3830.808333	10720.875	3291.875	8948.55	5848.1	11789.425	11250.875	5556.075	20705.5	6705.725	1476.05	9085.916667	1892.5	1067.875	12365.2	7274.958333	9502.575	6364.65	13209.15	5407.925	33197	78599.08333	13662.675	52703.625	44624.15	7126.166667	18385.95	30753.14167	6090.05	32308.86667	3453.191667	26537.54167	17949	31785.375	57310.71667	10901.49167	35951.98333	5608.225	12207.825	4303.175	4105.35	4566.883333	8587.4	5409.675	4592.25	4145.575	1824.958333	4453.433333	4504.175	8148.95	11569.28333	6751.766667	12331.91667	8243.05	10803.625	6922.508333	8908.7	7179.7	3944.525	12620.975	8364.3	5638.5	116810.875	3262.541667	4908.5	7396.416667	13997.53333	5467.9	9271.025	5614.275	7840.125	4070.416667	25825.98333	5863.475	7574.9	9552.358333	8885.35	14740	2266.275	12588.95833	26401.75	37613.025	25401.33333	8349.191667	56898.75	55064.925	27900.025	60283.575
K00011	20876.06863	9217.774761	9993.453382	10827.69954	13689.99507	12919.59773	15305.13231	13408.59944	34667.18742	18142.57104	8607.58881	29410.55792	18240.8795	10060.39883	19067.69947	11108.42607	9886.155056	19155.98642	14768.25945	14430.41396	34284.69846	19763.78098	15562.78289	84839.4802	104871.2817	79535.19495	85068.75583	84219.45199	55768.47341	73013.39804	56117.0823	52507.66503	67348.46908	24777.23757	61910.20162	44570.44736	76868.21881	116893.6258	33439.80889	64891.2961	21609.64137	55191.03517	39767.67203	38124.86564	56790.62054	36506.35831	15040.97389	25469.23057	11985.93405	27792.21356	26645.80365	11853.21459	17230.51442	36758.40476	18171.47342	26849.3664	23601.27258	55850.20688	37936.75461	52323.5598	33226.36959	25056.9837	37766.34955	23053.41248	39019.56151	126510.344	19391.37958	31543.62487	19095.41508	20756.83822	32237.15999	82296.80511	37231.62693	33743.64914	23821.47098	112147.9785	56135.37114	23729.57771	23990.32919	24524.85917	30665.68861	10965.97094	30222.20783	58311.18253	55209.99172	46768.71415	72157.67225	73964.08768	78835.25478	48942.17487	67639.7358
