KO	FR-027	FR-030	FR-039	FR-040	FR-052	FR-053	FR-060	FR-105	FR-110	FR-115	FR-116	FR-125	FR-129	FR-132	FR-139	FR-142	FR-152	FR-156	FR-166	FR-169	FR-170	FR-173	FR-187	FR-194	FR-198	FR-200	FR-208	FR-212	FR-213	FR-221	FR-223	FR-276	FR-281	FR-294	FR-298	FR-302	FR-305	FR-316	FR-328	FR-344	FR-349	FR-390	FR-393	FR-399	FR-400	FR-414	FR-430	FR-450	FR-451	FR-459	FR-460	FR-503	FR-505	FR-506	FR-542	FR-551	FR-552	FR-558	FR-568	FR-617	FR-628	FR-654	FR-667	FR-682	FR-684	FR-696	FR-716	FR-719	FR-721	FR-722	FR-723	FR-726	FR-728	FR-730	FR-734	FR-751	FR-759	FR-767	FR-768	FR-770	FR-772	FR-780	FR-783	FR-788	FR-812	FR-817	FR-824	FR-825	FR-827	FR-828	FR-830
K00001	0.001165707	0.000820443	0.000956465	0.000871862	0.000875039	0.001157121	0.000622784	0.001049364	0.001135337	0.001567751	0.000880912	0.001478465	0.001724145	0.000804773	0.001415647	0.00226581	0.001805321	0.001200345	0.000955777	0.001129706	0.001161223	0.001253317	0.001036582	0.000925991	0.001032283	0.001163293	0.00074592	0.000925354	0.000929399	0.001008956	0.000935623	0.001701751	0.000812866	0.000961701	0.001516064	0.00117523	0.001643611	0.001375582	0.000743856	0.000717884	0.000622764	0.001618432	0.001253505	0.001344825	0.001476157	0.000852745	0.001377149	0.001016709	0.000794946	0.001123251	0.000944964	0.000643884	0.000383421	0.000994696	0.000575105	0.000833214	0.000861466	0.001765425	0.001844467	0.002017782	0.001700504	0.001053606	0.001403594	0.000752925	0.001556399	0.001306404	0.00069679	0.001242728	0.000530389	0.000991008	0.001064877	0.001482685	0.001788832	0.001785238	0.000983758	0.001994792	0.002101023	0.000626909	0.001174508	0.001010827	0.000852923	0.000976412	0.000805485	0.001042406	0.000918619	0.001161708	0.001635064	0.001206343	0.001173207	0.000750149	0.001248588
K00003	0.001717696	0.001758543	0.001601436	0.001835222	0.001493369	0.001783519	0.001375427	0.001720983	0.001732229	0.001546862	0.001621369	0.001385769	0.001786541	0.001376143	0.001348475	0.002255895	0.002033437	0.001543165	0.00162991	0.001560452	0.001898732	0.001463796	0.001691255	0.001795313	0.00151899	0.001365676	0.001742648	0.001748626	0.001923584	0.001778048	0.001635685	0.00192612	0.001732281	0.001265143	0.001664048	0.001742336	0.001528025	0.001586787	0.001835893	0.001651803	0.000991184	0.001686725	0.001925701	0.001881688	0.001835875	0.001356532	0.001732978	0.001853099	0.001828449	0.001626636	0.001799367	0.001887252	0.001732508	0.001586715	0.001286272	0.001530515	0.001437954	0.001906591	0.00192303	0.002009963	0.001911432	0.00185448	0.001765788	0.00155373	0.001914921	0.001303423	0.00192779	0.001950202	0.001990629	0.001183488	0.001862213	0.001816103	0.001932144	0.001808704	0.001731253	0.001893266	0.00159671	0.001763398	0.001732226	0.001739584	0.001626033	0.001857799	0.001109493	0.001608693	0.001438663	0.001711527	0.001413325	0.001392366	0.001560501	0.001708417	0.001382938
K00004	0.000354749	0.00029089	0.000334147	0.00020531	0.000373818	0.000107624	0.000221859	0.000271637	0.000265588	0.000636258	0.000439422	0.000831945	0.000329185	6.02E-05	0.000104396	2.20E-05	7.93E-05	0.000529125	0.000255067	0.000585756	8.65E-05	0.000667539	0.000235542	0.00012608	0.000625796	0.000749264	0.00032162	0.000319629	3.10E-05	0.000125981	0.000387776	5.86E-05	0.000291982	1.01E-05	0.000430065	0.000286188	0.000535951	0.000435488	0.000166464	0.000312519	7.27E-05	0.000287125	2.53E-05	6.92E-05	3.76E-05	8.07E-05	0.000152066	0.000101588	0.000135851	3.28E-05	5.42E-05	0.000141276	0.000133183	0.000130074	0.000153966	0.000296325	0.000173806	1.57E-05	0.000131532	0.000146752	0.000163383	2.40E-05	0.000163242	0.000168481	8.92E-05	0.000997076	3.91E-05	5.14E-05	2.60E-05	0.00047568	8.85E-05	2.76E-05	6.51E-05	0.000291808	8.76E-05	0.000154105	0.000140969	0.000104679	0.000300966	0.000243938	0.000348554	9.25E-05	0.000209007	0.000334813	0.00048437	0.000336668	0.00013446	0.000768183	0.000634969	0.000320724	0.000828063
K00005	7.64E-05	9.07E-05	5.09E-05	6.20E-05	5.61E-06	0.000178471	6.44E-05	3.32E-05	5.81E-05	0.000217994	2.72E-05	4.39E-05	0.000223317	4.46E-05	0.000335136	0.000353469	8.20E-05	0.000114076	0.000313822	6.56E-05	0.000101672	4.26E-05	4.86E-05	5.25E-05	5.03E-05	3.42E-05	7.69E-05	3.88E-05	7.30E-05	0.000170854	0.000101713	0.000207111	6.88E-05	0.000208838	6.90E-05	0.000125943	0.000161997	0.000159817	3.39E-05	4.70E-05	7.55E-05	3.46E-05	0.000106264	0.000196103	0.000120212	8.02E-05	9.25E-05	0.000109103	1.85E-05	5.02E-05	3.92E-05	4.64E-05	0.000139236	0.000109528	4.29E-05	0.000176001	4.05E-05	0.000282089	0.0001566	0.000188484	0.000163947	0.000102364	0.000166861	3.97E-05	9.98E-05	2.20E-05	4.29E-05	7.29E-05	0.000169825	0.000205637	8.42E-05	0.000138934	0.000211577	8.07E-05	6.19E-05	0.000472461	0.000149471	8.47E-05	5.50E-05	6.53E-05	0.000326986	7.55E-05	0.000126166	5.61E-05	8.00E-05	0.000103285	5.31E-05	2.93E-05	6.96E-05	8.07E-05	2.72E-05
K00006	0.00172742	0.00159216	0.001527894	0.001827822	0.001601597	0.001881165	0.002014449	0.001675175	0.001755093	0.001578464	0.001504252	0.001492926	0.001790739	0.001939955	0.00182668	0.00226612	0.002055987	0.001519582	0.001651324	0.001497706	0.001871659	0.001496566	0.001673945	0.001750047	0.001565442	0.001316667	0.00156559	0.001675528	0.001672622	0.001589132	0.001468007	0.001953302	0.001547183	0.002336442	0.00167227	0.001647811	0.001661718	0.00169912	0.001793707	0.001639457	0.002092589	0.002048975	0.00196578	0.001804416	0.001786176	0.001863361	0.001788865	0.001879633	0.00180881	0.001797002	0.001521004	0.001726949	0.001252533	0.001810626	0.001803021	0.001890388	0.002000178	0.001898419	0.00207412	0.002029941	0.001936979	0.001823856	0.001755672	0.002025473	0.001998378	0.001307303	0.001786572	0.001894188	0.001898406	0.00190348	0.001872977	0.001673027	0.001991439	0.001885053	0.001808623	0.002077072	0.002175665	0.001733613	0.001735151	0.001753066	0.001682509	0.001685297	0.002058565	0.001557505	0.001584004	0.001394637	0.00150037	0.001399514	0.001557091	0.001601474	0.001384356
K00007	2.25E-05	3.75E-05	3.88E-05	2.88E-05	8.48E-05	1.58E-05	4.39E-05	5.31E-05	5.20E-05	0.000131823	7.44E-05	0.000166205	5.59E-05	1.12E-05	1.88E-05	7.65E-06	1.27E-05	0.000100442	3.34E-05	0.000101941	1.57E-05	0.000124941	4.22E-05	2.63E-05	0.000117292	2.95E-05	6.40E-05	8.54E-05	5.66E-06	1.96E-05	3.99E-05	1.29E-05	5.87E-05	1.92E-06	9.06E-05	7.78E-05	0.000107682	0.000120152	4.18E-05	7.69E-05	1.65E-05	4.76E-05	6.93E-06	1.43E-05	7.43E-06	7.09E-06	1.70E-05	1.71E-05	2.75E-05	4.98E-06	1.19E-05	3.33E-05	2.89E-05	2.59E-05	2.66E-05	2.15E-05	3.18E-05	1.28E-06	9.45E-06	1.08E-05	1.22E-05	2.04E-06	3.04E-05	3.28E-05	1.53E-05	0.000195007	6.26E-06	1.30E-05	1.83E-06	2.91E-05	2.05E-05	2.29E-06	4.45E-06	5.26E-05	2.04E-05	9.26E-06	2.80E-05	2.21E-05	5.54E-05	4.74E-05	5.58E-05	2.30E-05	4.16E-05	8.36E-05	0.000107041	5.74E-05	3.27E-05	0.000145025	0.000121149	6.36E-05	0.000180319
K00008	2.91E-05	7.93E-05	2.08E-05	4.79E-06	1.79E-06	1.85E-05	1.10E-05	6.86E-06	6.75E-05	7.20E-06	2.89E-06	2.75E-06	1.63E-05	2.65E-05	0.000414484	5.37E-06	6.37E-05	5.36E-06	0.000196745	3.51E-06	1.76E-05	5.72E-05	6.78E-06	5.60E-06	6.53E-05	0.000266005	5.68E-05	1.63E-05	2.21E-05	1.44E-05	8.10E-05	5.97E-05	2.20E-05	1.94E-05	3.64E-05	3.99E-05	1.21E-06	2.35E-05	1.50E-05	1.47E-05	1.08E-05	0	0.000203104	1.56E-05	2.16E-05	8.86E-05	2.29E-05	2.90E-05	5.50E-05	6.57E-06	5.55E-05	4.99E-06	9.08E-06	4.21E-05	0.000124014	3.24E-06	8.60E-05	1.05E-05	2.89E-05	3.60E-05	1.37E-05	0.000368585	3.09E-05	1.47E-05	3.15E-05	2.01E-06	9.28E-06	3.35E-05	1.92E-05	9.49E-06	3.72E-05	8.10E-06	8.07E-06	1.38E-05	2.59E-05	2.72E-05	4.20E-06	0.000348891	2.80E-05	0.000174822	1.60E-05	0.000116026	6.74E-06	2.07E-05	5.00E-06	8.67E-05	0.000636459	0.00019577	3.03E-05	1.12E-05	1.57E-05
K00009	2.51E-05	6.76E-05	7.95E-07	2.44E-06	4.33E-06	0.000149338	5.50E-05	2.03E-05	4.18E-05	0.000187231	2.14E-05	3.41E-05	0.000233925	1.56E-05	2.90E-05	0.000353469	6.94E-05	1.83E-05	0.000260111	4.34E-05	6.67E-05	2.16E-05	1.60E-05	4.58E-05	3.29E-06	8.95E-07	6.22E-07	1.96E-05	5.52E-05	9.25E-05	4.74E-07	7.83E-05	6.73E-06	2.86E-05	5.96E-05	2.25E-05	2.33E-05	5.12E-05	5.32E-06	1.99E-05	1.90E-05	2.63E-05	9.51E-05	2.64E-05	2.79E-05	6.73E-06	1.39E-05	4.04E-05	7.45E-06	2.20E-05	2.86E-05	3.25E-05	1.12E-06	3.60E-05	1.10E-05	1.83E-05	3.39E-05	0.000274585	0.000136368	0.00017854	0.000141824	2.23E-05	0.000148004	2.43E-06	8.43E-05	1.72E-05	3.15E-05	6.56E-05	0.00014902	5.87E-06	2.09E-05	0.000122488	0.000206574	8.58E-05	3.11E-05	0.000291835	2.06E-05	6.12E-07	7.81E-06	3.50E-06	5.36E-07	3.62E-05	4.58E-06	3.88E-05	4.81E-06	5.96E-07	2.22E-05	1.62E-05	5.58E-05	6.32E-06	1.25E-06
K00010	0.000436295	0.000447551	0.000487934	0.000316119	0.000685421	0.000297467	0.000365553	0.00046088	0.000405382	0.00097222	0.000573705	0.001042993	0.000633911	0.00012087	0.000697013	0.000386261	0.000195574	0.000783093	0.000495091	0.000752973	0.000224145	0.000855111	0.000370119	0.000363639	0.000803995	0.000200107	0.000463853	0.000501447	0.000119769	0.000270794	0.000518106	0.000200233	0.000405874	0.000141242	0.000653041	0.000475721	0.000680936	0.000684359	0.000247719	0.000422535	0.000174369	0.000358512	0.000139348	0.000147207	0.000120358	0.000203925	0.000495615	0.000195851	0.000284723	7.45E-05	0.000160002	0.00024707	0.000221355	0.000336082	0.00022118	0.000387374	0.000311414	0.000342085	0.000346123	0.000343682	0.000370745	0.000167364	0.000503429	0.0002754	0.000225911	0.001208942	0.000118432	0.00019513	0.000206684	0.000689461	0.000187486	0.000168561	0.000274666	0.000421664	0.000180481	0.000459667	0.00022036	0.000215664	0.000471147	0.000368851	0.000439231	0.000203571	0.000356545	0.000474727	0.000639778	0.000631304	0.000189368	0.000930558	0.000825725	0.000455665	0.001115698
K00011	0.001205628	0.000833152	0.000962606	0.000893503	0.000875247	0.001167467	0.000625222	0.001056713	0.001192039	0.001567751	0.000888796	0.00148149	0.001724361	0.000823821	0.001462752	0.002267239	0.001810577	0.001213156	0.001005041	0.001143449	0.001207412	0.001279433	0.001065119	0.000929328	0.001072736	0.001164891	0.000748704	0.000946385	0.000937299	0.001075366	0.00094542	0.001726385	0.000846052	0.001013434	0.001523499	0.001181297	0.001646744	0.001395851	0.000759865	0.000762652	0.000671878	0.001620817	0.001287781	0.00136706	0.001496684	0.000866917	0.001377999	0.001086213	0.000823208	0.001134242	0.000957327	0.000650192	0.000468043	0.001067812	0.000595275	0.0008434	0.000891632	0.001768435	0.001896826	0.002018554	0.001715743	0.001063154	0.001506436	0.000759049	0.001563348	0.001309328	0.000703916	0.001253972	0.000533599	0.001022396	0.001105362	0.001496277	0.001821473	0.001814828	0.001056239	0.001996078	0.002109669	0.000675601	0.001183265	0.001018081	0.000913793	0.000985032	0.000855954	0.001048487	0.000939093	0.001162351	0.001636607	0.001209656	0.001182173	0.000799327	0.001251843
