reactions	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00001	879.93	999.58	1996.04	1412.95	502.93	701.92	1553.67	6800.81	1116.83	1242.8	1380.35	1306	1676.67	1014.5	2066.07	1468	483.93	1399.3	612.58	1237.88	1923.42	1429.04	2668.2	804.4	1304.85	1833.17	1385.58	1758.65	2327.16	1913.65	1706.17	1562.6	808.85	954.83	2535.5	1965.95	913.86	2221.65	1290.97	1184.53	2177.45	1792.18	802.95	1771.07	1076	2023.15	1615.83	2217.83	1405.47	3696.09	1953.07	1044.53	1522.83	1179.51	503.03	1981.7	736.63	1793.91	504.08	1218.3	1685.3	5561.6	1064.5	776	1723.43	1349.66	1445.99	1859.4	1889.1	2417.63	841.63	1723.48	861.33	1087.62	2109.3	814	1169.8	1249.73	837.5	1785.32	1400.5	2251.53	1735.78	490.3	1926.38	1070.36	1314.27
K00003	5910.68	3659.54	3257.11	7158.12	4706.25	6443.49	5546.97	7179.62	4131.6	3379.6	4391.55	4925.04	3566.09	5785.95	5917.5	3023.96	2480.86	6069.63	3302.29	2814.25	4340.82	4083.12	5237.24	4915.81	3048.88	5672.97	7114.13	5428.28	5742.32	6059.13	5066.37	7489.03	2075.52	2622.73	4698.08	7630.18	3721.76	5267.33	5167.87	6617.08	4774.57	5945.65	6070.5	4913.77	6071.92	5449.68	5952.73	6498.49	7632.67	7479.89	5827.42	5308.7	4432.3	8058.99	2705.33	4272.17	1904.08	4720.16	5757.98	3570.05	6148.85	8647.13	6068.17	6862.67	5969.7	6781.99	5615.52	6204.87	5098.12	5716.35	4798.63	4457.03	4950.17	6375.2	7831.98	7793.43	3501.82	3411.66	2656.92	6921.42	7818.45	5899.44	7144.55	3809.66	6062.66	5768.83	3273.53
K00004	0	0	0	16.45	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	25.67	0	0	3	4	0	0	0	0	0	0	0	0	0	71.83	0	3	0	0	0	0	0	0	0	1	1	1	0	0	1	0	9	0	0	0	6.33	0	0	0	2	0	0	1	0	0	0	0	4	0	0	0.25	0	0	0	0	1	128	8	0	0	0	0	0	0	17
K00005	7	88	1104.33	269.45	908.5	1103	256	299	1702	431	259	192.75	521.5	379.5	50	55	955.83	1167	62	514.75	365	329.67	452.59	10	32	134.25	502	540	214.42	11.25	1561	123	846	457	72.5	59.5	1485.83	204.33	197.25	40	92	371.5	10.5	71	103	193.25	280	95	243.75	344.5	127.5	180.25	646.75	110.83	73	681.75	120.5	1205.58	794	366.5	807	24	209.5	1037.5	72.5	47	70.5	62.5	296	10.75	178.3	104.25	310.5	171	621.25	106	167	48.5	237	97	165	38	203	70	56.25	458	263.83
K00006	4425.44	4021.87	3508.82	6903.12	4686.18	5415.83	5512.47	7182.69	4246.6	3450.73	3561.48	4177.71	3592.42	5499.95	4682.9	3041.96	3955.8	6090.43	4570.96	2828.38	4276.49	4083.32	5251.27	4915.21	3035.81	5664.64	6702.8	5468.68	5245.99	5882.53	4755.37	7321.63	2703.12	2610.73	3878.74	7106.05	3767.96	5292.73	4895.59	6228.28	4909.94	5949.58	5871.03	4934.18	6126.59	5062.41	5817.73	6552.49	7535.63	5607.89	5808.82	5222.23	4624.63	3541.92	1980.53	4317.37	1839.38	4918.82	5748.98	3606.85	5710.98	4105.73	5969.83	6911.34	5297.13	6459	5099.59	6189.6	4291.39	3107.15	4550.63	3980.09	4954.51	6403.4	7861.78	7793.43	3536.45	3278.39	2446.75	5727.15	7364.12	5910.97	6462.67	3818.79	5440.46	5795.35	3298.13
K00007	0	0	0	16.45	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67	0	0	0	4	0	0	0	0	0	0	0	0	0	71.83	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.25	0	0	0	0	0	128	0	0	0	0	0	0	0	0
K00008	279.33	266.83	70.5	39.33	135.83	58	104	299.33	35.33	195	13	70	101	18	96.67	54	39	71	124.33	208.33	39.67	17	56.17	97.5	232.5	31.67	21.33	4	73.33	414.5	5	121	17	40.33	99.33	68	88	23.83	141.67	70	73	37.17	106.67	168.67	67	49.67	49	45.5	143	57.5	161.67	22	381	62.33	230.33	7	145.33	282.66	25.33	17	117.5	11	120.67	58.67	83.33	63.33	34.67	177.17	281	86.83	309.33	90.33	115	228.5	366	27	95	47.83	24.5	232.67	3	18	67	27	35.5	67.5	30.67
K00009	3	13	113	23.45	27	11	83	108	64	116	125	13.5	154.5	0.5	10	28.75	1.5	28	44	2.75	312.67	302	116.92	3	3	76.25	77.5	24	85.25	10.25	6	63	6	455	13.5	8.5	100.16	84	200.25	2	10	17.83	8.5	6	69	6.25	7.5	18.25	127.83	322.5	13.5	33.58	109.75	77.5	36	48.25	2.5	512.58	20	10.5	592	16	21.83	11.5	61.5	23	53.5	12.5	44	11.75	310.5	99.25	16.5	3	183.25	0	26	41	147	40	3	5	45	19.5	22.25	10.33	242.5
K00010	177	102	136.38	121.82	141.5	172	439.75	282.38	171	241	601	258	285	240	124.75	74.62	122.75	170.75	139.75	162.25	316.5	42	428.67	197.25	245.88	311.25	197	553.25	261	219.25	215	197	87.62	25	87.63	387	423.71	342.62	163	306	273.62	238.5	829	93.75	78	83.5	310	62.75	299	345.25	90	261.5	213.25	39	187.75	589	46.75	255.33	479	323.5	774.25	226	371	135	106	251.75	592	325.25	323	50.75	164.8	409.75	873.25	81.5	587.75	787	186.12	150	196.25	185.25	94.25	302	614	84.25	861.25	383.75	121.75
K00011	937.18	1111.91	1997.37	1676.2	1376.85	1814.92	1660.67	6802.31	2489.08	1377.05	1463.35	1424.92	1698.67	1417.25	2148.82	1519.49	1386.09	2077.3	672.57	1408.38	1933.92	1491.96	2720.54	864.23	1311.1	1902.67	1740.08	2277.73	2500.08	1961.48	2705.67	1574.93	1634.6	1082.83	2569.25	2019.7	2333.86	2386.81	1379.97	1242.28	2238.45	2199.93	817.7	1895.82	1296.42	2236.15	1773.08	2286.17	1432.47	3847.09	2014.07	1221.28	1819.58	1189.84	547.53	2001.37	866.63	1976.66	1287.66	1486.05	1923.55	5566.68	1202.75	1711.67	1736.43	1416.24	1500.82	1999.32	1893.1	2463.3	852.63	1871.98	1042.67	1224.45	2229.3	914.58	1187.05	1346.73	921	1804.32	1534	2283.87	1826.12	564.64	2146.21	1549.36	1338.6
