KO	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00001	0.000279965	0.000486398	0.001048909	0.000378203	0.000201021	0.000187073	0.000530462	0.00166516	0.000411175	0.000706031	0.000572156	0.000509414	0.000912779	0.0003322	0.000634108	0.00090493	0.000222567	0.000419408	0.000284853	0.000806976	0.000845623	0.000660664	0.000965701	0.000332493	0.000827274	0.000616694	0.00036915	0.000578485	0.000728652	0.000601889	0.000475771	0.000414813	0.000455214	0.000636478	0.000994224	0.000495485	0.000355836	0.000794163	0.000479115	0.000353487	0.000836017	0.000577052	0.000255585	0.000786197	0.000366347	0.000677	0.000541365	0.000647182	0.000366074	0.000884776	0.000654531	0.000382446	0.000630054	0.000257783	0.000331845	0.000867333	0.000700727	0.000650708	0.000157493	0.000593752	0.000502743	0.001123	0.000343556	0.000213498	0.000580653	0.000402456	0.000498448	0.000575891	0.000708444	0.000748289	0.000339107	0.000700745	0.000325041	0.000343374	0.000522628	0.000204022	0.000629117	0.00070859	0.000557172	0.000501386	0.000353056	0.000744355	0.000454404	0.000228432	0.000595751	0.0003481	0.00072114
K00003	0.001880583	0.00178074	0.001711595	0.001916007	0.00188109	0.001717292	0.001893874	0.00175791	0.0015211	0.001919942	0.001820301	0.001921043	0.00194138	0.001894621	0.001816169	0.001864082	0.001140985	0.001819232	0.00153558	0.001834614	0.001908422	0.00188768	0.001895512	0.002031916	0.001932988	0.001908437	0.001895365	0.001785563	0.001797964	0.001905743	0.001412774	0.001988061	0.001168085	0.001748278	0.001842218	0.001923061	0.001449166	0.001882888	0.001917942	0.001974668	0.001833163	0.0019144	0.001932285	0.002181275	0.002067312	0.001823608	0.001994393	0.001896317	0.001988036	0.001790549	0.00195294	0.001943734	0.001833814	0.001761298	0.001784687	0.001869805	0.001811275	0.001712152	0.001799009	0.001739902	0.001834268	0.001746031	0.001958437	0.001888103	0.002011293	0.002022328	0.001935727	0.001921764	0.00191188	0.001769287	0.001933452	0.001812172	0.001868049	0.002012724	0.001940555	0.001953358	0.001883273	0.001934394	0.001767595	0.001943798	0.001970976	0.001950353	0.001870347	0.001774929	0.001874934	0.001876125	0.001796186
K00004	0	0	0	4.40E-06	0	0	0	0	0	1.70E-06	0	0	0	6.55E-07	0	0	0	0	0	0	0	0	9.29E-06	0	0	1.01E-06	1.07E-06	0	0	0	0	0	0	0	0	0	2.80E-05	0	1.11E-06	0	0	0	0	0	0	0	3.35E-07	2.92E-07	2.60E-07	0	0	3.66E-07	0	1.97E-06	0	0	0	2.30E-06	0	0	0	4.04E-07	0	0	3.37E-07	0	0	0	0	1.24E-06	0	0	9.43E-08	0	0	0	0	5.67E-07	8.52E-05	2.25E-06	0	0	0	0	0	0	9.33E-06
K00005	2.23E-06	4.28E-05	0.00058032	7.21E-05	0.000363128	0.000293967	8.74E-05	7.32E-05	0.000626613	0.00024485	0.000107356	7.52E-05	0.000283905	0.000124268	1.53E-05	3.39E-05	0.000439601	0.000349781	2.88E-05	0.000335566	0.000160471	0.000152411	0.000163806	4.13E-06	2.03E-05	4.52E-05	0.000133744	0.000177626	6.71E-05	3.54E-06	0.00043529	3.27E-05	0.000476122	0.00030463	2.84E-05	1.50E-05	0.000578547	7.30E-05	7.32E-05	1.19E-05	3.53E-05	0.000119617	3.34E-06	3.15E-05	3.51E-05	6.47E-05	9.38E-05	2.77E-05	6.35E-05	8.25E-05	4.27E-05	6.60E-05	0.000267586	2.42E-05	4.82E-05	0.000298382	0.000114627	0.000437302	0.000248075	0.000178618	0.000240737	4.85E-06	6.76E-05	0.000285444	2.44E-05	1.40E-05	2.43E-05	1.94E-05	0.000111005	3.33E-06	7.18E-05	4.24E-05	0.000117174	5.40E-05	0.000153929	2.66E-05	8.98E-05	2.75E-05	0.000157671	2.72E-05	4.16E-05	1.26E-05	5.31E-05	3.26E-05	1.74E-05	0.00014895	0.000144764
K00006	0.001408029	0.001957051	0.001843867	0.001847752	0.001873068	0.001443404	0.001882095	0.001758662	0.001563439	0.001960351	0.001476236	0.001629542	0.001955714	0.00180097	0.001437252	0.001875178	0.001819332	0.001825466	0.002125518	0.001843825	0.001880139	0.001887773	0.00190059	0.002031668	0.001924702	0.001905635	0.001785777	0.001798852	0.00164256	0.001850198	0.001326051	0.001943622	0.001521293	0.001740279	0.001520937	0.001790963	0.001467155	0.001891968	0.001816892	0.001858642	0.001885137	0.001915665	0.001868792	0.002190335	0.002085926	0.001694017	0.001949163	0.001912074	0.001962761	0.001342426	0.001946707	0.001912074	0.001913389	0.000774089	0.001306542	0.001889588	0.001749729	0.001784212	0.001796197	0.001757837	0.001703647	0.00082903	0.001926698	0.001901493	0.001784693	0.001926015	0.001757881	0.001917035	0.001609343	0.000961705	0.001833528	0.001618255	0.001869686	0.002021627	0.001947939	0.001953358	0.001901897	0.00185883	0.001627773	0.001608401	0.001856442	0.001954164	0.00169184	0.001779183	0.001682513	0.001884749	0.001809684
K00007	0	0	0	4.40E-06	0	0	0	4.90E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66E-07	0	0	0	1.07E-06	0	0	0	0	0	0	0	0	0	2.80E-05	0	0	0	0	0	0	0	0	0	0	0	7.81E-07	0	0	0	0	8.74E-07	0	0	0	2.30E-06	0	0	0	0	0	0	0	0	0	0	0	3.10E-07	0	0	9.43E-08	0	0	0	0	0	8.52E-05	0	0	0	0	0	0	0	0
K00008	8.89E-05	0.00012984	3.70E-05	1.05E-05	5.43E-05	1.55E-05	3.55E-05	7.33E-05	1.30E-05	0.000110779	5.39E-06	2.73E-05	5.50E-05	5.89E-06	2.97E-05	3.33E-05	1.79E-05	2.13E-05	5.78E-05	0.000135811	1.74E-05	7.86E-06	2.03E-05	4.03E-05	0.000147405	1.07E-05	5.68E-06	1.32E-06	2.30E-05	0.00013037	1.39E-06	3.21E-05	9.57E-06	2.69E-05	3.89E-05	1.71E-05	3.43E-05	8.52E-06	5.26E-05	2.09E-05	2.80E-05	1.20E-05	3.40E-05	7.49E-05	2.28E-05	1.66E-05	1.64E-05	1.33E-05	3.72E-05	1.38E-05	5.42E-05	8.06E-06	0.000157634	1.36E-05	0.000151947	3.06E-06	0.000138247	0.00010253	7.91E-06	8.29E-06	3.51E-05	2.22E-06	3.89E-05	1.61E-05	2.81E-05	1.89E-05	1.20E-05	5.49E-05	0.00010538	2.69E-05	0.000124634	3.67E-05	4.34E-05	7.21E-05	9.07E-05	6.77E-06	5.11E-05	2.71E-05	1.63E-05	6.53E-05	7.56E-07	5.95E-06	1.75E-05	1.26E-05	1.10E-05	2.20E-05	1.68E-05
K00009	9.55E-07	6.33E-06	5.94E-05	6.28E-06	1.08E-05	2.93E-06	2.83E-05	2.64E-05	2.36E-05	6.59E-05	5.18E-05	5.27E-06	8.41E-05	1.64E-07	3.07E-06	1.77E-05	6.90E-07	8.39E-06	2.05E-05	1.79E-06	0.000137464	0.000139619	4.23E-05	1.24E-06	1.90E-06	2.57E-05	2.06E-05	7.89E-06	2.67E-05	3.22E-06	1.67E-06	1.67E-05	3.38E-06	0.000303297	5.29E-06	2.14E-06	3.90E-05	3.00E-05	7.43E-05	5.97E-07	3.84E-06	5.74E-06	2.71E-06	2.66E-06	2.35E-05	2.09E-06	2.51E-06	5.33E-06	3.33E-05	7.72E-05	4.52E-06	1.23E-05	4.54E-05	1.69E-05	2.37E-05	2.11E-05	2.38E-06	0.000185929	6.25E-06	5.12E-06	0.0001766	3.23E-06	7.05E-06	3.16E-06	2.07E-05	6.86E-06	1.84E-05	3.87E-06	1.65E-05	3.64E-06	0.000125106	4.04E-05	6.23E-06	9.47E-07	4.54E-05	0	1.40E-05	2.32E-05	9.78E-05	1.12E-05	7.56E-07	1.65E-06	1.18E-05	9.09E-06	6.88E-06	3.36E-06	0.00013306
K00010	5.63E-05	4.96E-05	7.17E-05	3.26E-05	5.66E-05	4.58E-05	0.000150142	6.91E-05	6.30E-05	0.000136911	0.000249115	0.000100635	0.000155154	7.86E-05	3.83E-05	4.60E-05	5.65E-05	5.12E-05	6.50E-05	0.000105771	0.000139148	1.94E-05	0.000155148	8.15E-05	0.000155888	0.000104707	5.25E-05	0.000181984	8.17E-05	6.90E-05	6.00E-05	5.23E-05	4.93E-05	1.67E-05	3.44E-05	9.75E-05	0.000164983	0.000122475	6.05E-05	9.13E-05	0.000105055	7.68E-05	0.000263877	4.16E-05	2.66E-05	2.79E-05	0.000103862	1.83E-05	7.79E-05	8.26E-05	3.02E-05	9.57E-05	8.82E-05	8.52E-06	0.000123857	0.000257788	4.45E-05	9.26E-05	0.000149658	0.000157661	0.000230967	4.56E-05	0.000119736	3.71E-05	3.57E-05	7.51E-05	0.000204068	0.000100736	0.00012113	1.57E-05	6.64E-05	0.000166599	0.000329539	2.57E-05	0.000145629	0.000197255	0.000100095	8.50E-05	0.000130561	5.20E-05	2.38E-05	9.98E-05	0.000160737	3.93E-05	0.00026635	0.000124802	6.68E-05
K00011	0.00029818	0.000541058	0.001049608	0.000448667	0.000550328	0.000483705	0.000566994	0.001665527	0.000916386	0.000782299	0.00060656	0.000555799	0.000924756	0.000464081	0.000659505	0.00093667	0.000637484	0.000622623	0.000312748	0.000918125	0.000850239	0.000689753	0.000984644	0.000357223	0.000831237	0.000640075	0.000463597	0.00074923	0.000782794	0.000616933	0.000754485	0.000418086	0.000919939	0.000721801	0.001007458	0.000509032	0.00090875	0.000853202	0.000512146	0.000370721	0.000859437	0.000708341	0.00026028	0.000841575	0.000441393	0.000748275	0.00059405	0.000667125	0.000373107	0.000920923	0.000674974	0.000447161	0.000752831	0.00026004	0.000361202	0.000875942	0.00082439	0.000716997	0.000402313	0.000724242	0.000573816	0.001124025	0.000388175	0.000470926	0.000585033	0.00042231	0.000517348	0.000619227	0.000709944	0.000762424	0.00034354	0.000761124	0.000393473	0.000386573	0.000552361	0.000229232	0.000638394	0.000763589	0.000612723	0.000506722	0.000386711	0.000755047	0.000478054	0.000263067	0.000663735	0.000503879	0.00073449
