KO	FOCUS_401	FOCUS_402	FOCUS_410	FOCUS_413	FOCUS_414	FOCUS_417	FOCUS_428	FOCUS_431	FOCUS_433	FOCUS_444	FOCUS_445	FOCUS_450	FOCUS_454	FOCUS_457	FOCUS_461	FOCUS_463	FOCUS_488	FOCUS_498	FOCUS_509	FOCUS_528	FOCUS_541	FOCUS_546	FOCUS_547	FOCUS_551	FOCUS_554	FOCUS_558	FOCUS_562	FOCUS_564	FOCUS_570	FOCUS_579	FOCUS_582	FOCUS_586	FOCUS_592	FOCUS_597	FOCUS_609	FOCUS_610	FOCUS_621	FOCUS_625	FOCUS_626	FOCUS_632	FOCUS_659	FOCUS_665	FOCUS_667	FOCUS_672	FOCUS_676	FOCUS_679	FOCUS_688	FOCUS_697	FOCUS_698	FOCUS_701	FOCUS_711	FOCUS_713	FOCUS_725	FOCUS_733	FOCUS_754	FOCUS_763	FOCUS_780	FOCUS_784	FOCUS_786	FOCUS_795	FOCUS_796	FOCUS_804	FOCUS_805	FOCUS_806	FOCUS_812	FOCUS_827	FOCUS_831	FOCUS_832	FOCUS_833	FOCUS_838	FOCUS_846	FOCUS_848	FOCUS_857	FOCUS_871	FOCUS_874	FOCUS_885	FOCUS_889	FOCUS_900	FOCUS_905	FOCUS_911	FOCUS_921	FOCUS_925	FOCUS_930	FOCUS_931	FOCUS_939	FOCUS_940	FOCUS_957
K00001	3398.28	2483.96	2171.7	4811.83	2584.83	5013.32	3407.74	2479.54	4745.95	2229.1	1616.8	1989.12	1484.17	4813.1	3934.5	761.47	3832.1	5642.8	1986.3	1995.32	2593.07	2292.93	1818.89	5191.98	2896.13	1929.82	5480.38	5007.95	2669.9	1751.8	3115.37	5434.1	3477.77	1442.03	2435.45	4586.18	4395.26	2472.55	2716.87	4369	2116.32	3430.81	4222.17	2629.27	3917.25	3194.6	3628.25	2838.08	6088.58	4402.05	4064.42	4947.28	2887.61	3882.83	1094.33	2716.5	2087.83	2807.33	4380.23	1781.45	4092.1	7439.1	4403.5	4829.92	4224.7	5343.83	3252.02	4064.62	3403.62	3829.68	3320.88	2724.53	3570.5	3946.45	4970.65	5063.1	1346.32	1726.28	609.42	5180.5	5579.05	3249.33	5960.63	1265.48	4107.75	4492.08	2235.45
K00002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00003	4810.43	4674.91	4377.37	4021	7277.6	4929.92	5245.67	10210.56	4630.33	4256.8	5034.6	5108.92	4870.42	3900.5	5161.07	6142.24	4289.09	3856.3	4338.74	3801.63	5670.17	3554.04	6834.54	5519.23	3956.85	5208.17	4207.58	5447.98	5753.25	5932.48	5862.17	2770.93	3512.6	4480.83	5793.25	4724.2	4248.03	5000.81	4240.22	3274.53	5100.12	5344.18	3212.2	5369.82	5052.67	4044.65	4866.33	5049.67	3162.97	6744.84	4992.57	4592.28	5087.56	6551.34	4090.03	4947.37	5088.63	3985.58	4320.58	3155.3	5410.22	6940.43	4286.5	4504.67	5095.43	3341.99	6453.32	4358.99	4693.6	5780.55	5401.23	5492.81	2934.17	4134.2	4152.64	3078.33	4409.8	4335.23	3420	4264.82	2947.75	5517.62	2972.87	2054.72	3931.46	5040.36	2105.35
K00004	7.5	4	31.5	6.75	36.75	0	0	6.25	1	26	4.25	0	14.5	2	0	6	0	3	0	2	1	0	41.5	0	9	4.25	3.75	0	7	4	0	0	0.25	10	80	9.25	2.33	0	11.25	2	4.25	4.08	3	14	12	0	4	7.33	5.83	2	2	23.58	4.73	6.25	0	19.25	4.5	2	0	0	0	2	8.33	2	76.5	0	6	12	0	16.25	9	3	0	4.25	22	0	1.5	7	2.5	20	0	0.33	1.25	1	3	1.33	23
K00005	239.5	711.25	1626	834.15	699.17	1664.26	2317	3208.99	1076.5	1085.5	1815	972.5	7815.76	1268.75	853.5	1126.75	494.75	1226	1006	1078	4436.08	5323	1591.76	486	1188.75	1656.25	1744	1281.08	829.5	946.25	1367	710.75	1028.5	7148.5	502.25	746.5	2020.66	1197.26	2953.66	1775.99	1253.75	1004.76	961.74	668.25	1594.5	353.75	1206.99	1214.42	1821.26	2508.52	876.5	2057.5	2144.08	953.74	1412	2090.75	330	1789.41	1546.75	1205.25	1628.75	410	941.5	951.5	1603.75	779.99	866.26	428.75	1771	740.75	2199.9	2210.75	2964.24	1471.51	3525.75	506	935.5	597	789.5	2893.26	1281.25	1720.58	1533.24	639.58	4410.99	972.99	9562.5
K00007	0	0	0	16.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67	0	0	0	2	0	0	0	0	0	0	0	0	0	71.83	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	6.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0	0	128	0	0	0	0	0	0	0	0
K00008	1262.43	1849.38	1722.9	1698.8	1329.83	1375.33	4032.3	8970.65	1635.63	2443.45	2686.3	2001.7	2320.68	2229.7	1652.17	3350.6	2317.2	2029.3	2694.13	1842.23	3867.07	2425.7	4229.4	1852.4	1911.35	3020.47	2296.33	2499.35	3723.73	3393.85	1507.3	2364.2	1831.1	549.73	3088.53	3046.6	1773.9	3227.06	1546.12	1171.82	3642.45	2715.75	1790.24	3399.27	2846.5	2400.77	2700.72	2563.2	2735.43	2166.91	3369.42	2731.6	2313	1336.15	2624.83	4166.5	1274.83	2399.83	1140.48	1552.8	2465.7	1454.3	1537.17	1000.42	1898.23	2031.05	2087.2	2929.37	2617.7	2256.93	2045.53	3319.53	1951.82	2684.38	4361.9	1271.85	2209.2	2085.23	1043.2	2419.6	1498.3	3321.6	1795.12	1208.8	2239.32	2127.32	1312.92
K00009	110.5	69.5	248.83	77.45	76	84.5	362.5	957	586	348	518.5	100.5	3156.5	533.5	256.5	240.5	11.33	168	305	26.75	1548.17	2226.84	961.84	142	14	153.25	267.5	199.5	234	60	53.5	299	162	3566.5	153	79	772.66	260.33	1334.58	548	44.5	98.58	215.75	56.5	481.5	51.75	404	88.25	534.08	830	67.5	398.58	635.5	529.83	100	165.25	55	778.33	207.5	70.5	240.5	386.5	497.83	185.25	561.75	163	338.5	66	834.5	62	850	1287.25	660	258.5	671	108.5	142.5	133.5	176	927	63	57	759	61	1411	330.83	4593.83
K00010	399.45	156.8	255.4	274.7	2737.5	300.9	423.65	404.5	754.4	414.7	419.3	1355.2	133.75	706.85	425.5	125.35	51.35	267.55	603.05	200.3	636.4	586.85	1568.74	148.9	51.6	634.9	642.75	147.1	285.9	403.6	66.8	508.6	29.6	269.2	392.65	175.6	566.31	379.6	146.86	142.25	233.7	477.9	142.5	317.85	698	106.6	313.5	86.8	567	273.55	284	298.1	338.75	413.5	283.75	1257.5	54.5	415.66	121.9	50.7	232.7	479.35	514	1537	481.4	493.9	993.6	340.2	1272.45	290.1	842.95	616.95	428.5	412.7	421.9	326.1	115.45	509.35	308.2	334.5	149.65	120	1470.8	201.3	1184	561	128.25
K00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
