KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00001	0.001325031	0.000711433	0.000606216	0.000501024	0.000883667	0.000654536	0.001199715	0.000594841	0.000615834	0.00086087	0.000750412	0.001049419	0.000985518	0.00087404	0.00042983	0.000569989	0.000849706	0.00064411	0.000459438	0.001175776	0.000867848	0.000798894	0.001108071	0.001677717	0.00090374	0.000930009	0.001119643	0.000760871	0.000820385	0.000578357	0.001490524	0.000464283	0.001251676	0.000636766	0.001411301	0.001032985	0.001048616	0.000413191	0.000742982	0.000654783	0.000925151	0.00070192	0.001137506	0.001510846	0.001245962	0.000222834	0.000561338	0.000857693	0.00033648	0.001493834	0.000706371	0.001169327	0.000646362	0.000808012	0.00046975	0.000557517	0.000766065	0.000599516	0.000388085	0.000421028	0.000749886	0.000765008	0.000679393	0.001015545	0.000996677	0.000687019	0.000743388	0.000948097	0.000740344	0.000668505	0.000406625	0.000750793	0.000539025	0.000793998
K00003	0.001552848	0.001743784	0.001967131	0.001025035	0.001796131	0.001897344	0.001490927	0.001539556	0.001958658	0.001607869	0.001607225	0.001905445	0.001720349	0.001593231	0.001198281	0.00184486	0.001651063	0.001344853	0.001713969	0.001857515	0.001908169	0.00203183	0.001861467	0.002181848	0.001826755	0.001977259	0.001994585	0.001770167	0.001963541	0.001579833	0.002050133	0.001946251	0.001558378	0.001938531	0.001840274	0.001967995	0.001859239	0.002020918	0.001846429	0.001914461	0.0020033	0.001855141	0.001806018	0.002006722	0.001930716	0.002089076	0.001934337	0.00196475	0.00202926	0.001907107	0.002001202	0.002013422	0.001796686	0.001910267	0.001696383	0.001893254	0.001175601	0.001951655	0.00191436	0.001837084	0.001855768	0.001803771	0.001833471	0.001769191	0.002027817	0.001881314	0.001943257	0.002041003	0.001836214	0.00193037	0.001536275	0.001786118	0.001962097	0.001668727
K00004	0	0	0	1.39E-06	0	2.58E-07	6.93E-07	0	1.16E-06	0	0	0	0	0	0	1.41E-06	1.89E-06	7.48E-07	0	3.47E-06	0	0	0	0	2.89E-07	1.73E-07	0	0	0	0	0	0	1.07E-06	0	0	0	7.34E-07	0	0	2.42E-06	0	0	2.62E-06	6.51E-07	4.18E-07	0	1.15E-05	0	0	0	7.79E-07	0	0	3.30E-07	0	0	0	0	0	0	0	0.000105924	0	0	0	0	0	0	0	0	0	0	0	3.94E-07
K00005	0.000344462	0.000160946	0.000127024	9.80E-05	0.000114275	0.000156038	0.000885854	0.000149734	0.000179557	0.000200065	0.000484803	0.000293195	0.00022729	0.000286903	5.21E-05	0.00029026	0.000221223	0.000383857	5.93E-05	5.71E-05	4.00E-05	3.59E-05	0.000303539	2.87E-05	8.09E-05	5.40E-05	0.000137876	0.000324355	0.000192798	0.000174493	0.000242755	8.74E-05	0.000259361	7.73E-05	4.44E-05	0.000373188	0.000332162	5.76E-05	0.000233332	6.72E-05	0.000145921	0.000348475	0.000465223	0.000417633	6.02E-05	3.24E-05	0.000186937	0.00015516	5.72E-05	0.000179903	0.000144037	0.000317076	0.00039496	5.52E-05	0.000514446	0.000255969	0.000305164	5.03E-05	8.53E-05	0.000249365	0.000178388	0.000259998	8.38E-05	8.37E-05	8.01E-05	0.000137354	3.94E-05	0.000132783	0.000121518	2.11E-05	0.000371513	7.02E-05	8.63E-05	3.94E-05
K00006	0.001942514	0.001836875	0.001912736	0.002030557	0.001984697	0.001894524	0.001544508	0.001750858	0.001882843	0.002214878	0.001589473	0.001558917	0.002129122	0.00184254	0.001758942	0.001837786	0.001925599	0.002013358	0.001909899	0.001972423	0.001901197	0.002034176	0.001868092	0.001906921	0.001965792	0.001959911	0.00197904	0.002035426	0.001982477	0.001979252	0.002137208	0.001609407	0.00166941	0.001747685	0.001873913	0.001986992	0.001741495	0.00202365	0.001849897	0.001833805	0.002009217	0.001861868	0.001834241	0.002150458	0.001947801	0.002111383	0.001895403	0.001893437	0.002036563	0.001930108	0.002012141	0.001761182	0.001574879	0.001779368	0.001709272	0.001902429	0.002219744	0.001583086	0.001931052	0.001670114	0.001869822	0.00180682	0.001383182	0.00118391	0.001966524	0.001892238	0.001962217	0.00204188	0.001430349	0.001697797	0.001776391	0.001569624	0.001736539	0.001920965
K00007	0	0	0	0	0	2.58E-07	0	0	0	0	0	0	0	0	0	0	0	8.01E-08	0	0	4.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	5.24E-07	0	0	0	0	0	2.42E-06	0	0	0	0	0	0	1.09E-05	1.60E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000105924	0	0	0	0	0	0	0	0	0	0	0	0
K00008	2.21E-05	1.47E-05	0.000190852	0.00017859	6.34E-05	2.47E-05	0	8.55E-05	5.21E-05	3.21E-05	1.26E-05	2.29E-06	2.87E-05	7.36E-06	2.44E-05	8.56E-05	5.67E-06	2.76E-05	0.000119995	1.73E-06	5.39E-06	6.71E-05	0.000175109	6.31E-06	2.08E-05	4.56E-05	0	4.12E-05	9.80E-05	0.000141274	1.45E-05	5.23E-05	3.73E-06	8.65E-05	0.000197496	2.36E-05	6.46E-05	0.000172865	1.25E-05	1.13E-05	2.32E-05	2.32E-05	4.71E-05	1.24E-05	9.73E-05	1.70E-05	5.71E-05	1.44E-05	9.98E-06	0.00015894	0.000137808	1.51E-05	3.67E-06	1.89E-05	1.15E-05	9.81E-06	8.83E-05	1.42E-05	3.45E-05	2.78E-05	0.000182489	5.38E-06	0.000185068	9.26E-06	2.57E-05	0.00014804	1.47E-05	1.17E-05	0.000135464	8.16E-05	1.22E-05	4.97E-05	3.93E-05	1.18E-06
K00009	0.000174975	0.000140267	4.20E-05	2.50E-05	2.68E-06	0.000112744	2.84E-05	2.61E-05	2.18E-05	2.49E-05	0.000435155	0.000132149	3.08E-05	3.38E-05	8.26E-06	0.000225497	5.13E-05	1.48E-05	3.16E-05	4.40E-05	3.63E-05	2.52E-05	1.55E-05	1.55E-05	1.50E-05	9.00E-06	0.000114912	1.95E-05	0.000163958	2.85E-05	9.13E-06	1.71E-05	0.000258828	1.44E-05	3.00E-05	1.33E-05	2.53E-05	1.52E-05	0.000181215	3.04E-05	9.74E-06	0.000195864	2.18E-05	1.59E-05	4.60E-06	9.75E-06	5.30E-05	6.94E-05	5.68E-05	0.000124083	4.98E-05	2.65E-05	0.000241662	1.79E-05	3.08E-05	1.26E-05	1.92E-05	2.44E-05	5.40E-06	4.77E-06	5.00E-05	0.000115747	2.72E-05	6.12E-05	6.76E-05	2.20E-05	1.80E-05	2.26E-05	2.81E-05	4.77E-05	0.000313387	4.74E-05	1.52E-05	2.39E-05
K00010	0.000244921	0.000105574	9.15E-05	7.71E-05	7.09E-05	0.000200878	0.000123555	5.93E-05	6.29E-05	0.000177406	3.91E-05	0.00017553	5.13E-05	0.0002165	7.42E-05	6.89E-05	3.58E-05	0.000105702	0.000262092	8.34E-05	6.21E-05	0.000135277	9.54E-05	5.99E-05	3.97E-05	6.24E-05	0.000227085	8.36E-05	0.000160007	7.50E-05	7.69E-05	0.000142899	8.36E-05	5.19E-05	7.10E-05	0.000300478	6.53E-05	6.02E-05	4.93E-05	0.000121474	7.02E-05	0.000237885	0.000212119	7.19E-05	6.19E-05	6.85E-05	0.0001241	0.000139444	5.16E-05	0.000129631	0.000192892	7.54E-05	5.08E-05	0.000126054	0.000173137	3.89E-05	0.000197459	4.52E-05	6.60E-05	4.64E-05	0.000172237	0.000221109	4.47E-05	0.000127092	8.52E-05	9.75E-05	0.000105451	2.29E-05	5.45E-05	0.000223558	9.88E-05	8.80E-05	4.10E-05	8.68E-05
K00011	0.001396636	0.000901222	0.000658475	0.000526735	0.000996566	0.000663298	0.001466147	0.000635192	0.000738628	0.000923874	0.000802726	0.001074107	0.001000632	0.000955717	0.000511882	0.0005806	0.000869474	0.000837887	0.000514019	0.001187479	0.000882939	0.000827021	0.001141192	0.001749191	0.000915007	0.000930874	0.001134658	0.000814433	0.000868553	0.000735684	0.001530939	0.000510503	0.00125794	0.000665865	0.001424708	0.001102511	0.00104935	0.000449763	0.000784444	0.000695426	0.000939708	0.000753171	0.001151241	0.001534437	0.001250876	0.000281042	0.000586673	0.000951721	0.00035943	0.001504763	0.000769144	0.001181274	0.000728234	0.000835383	0.000842785	0.000712708	0.000785779	0.000613426	0.000514506	0.000679501	0.000767724	0.000856531	0.000727962	0.001022066	0.001003484	0.000795986	0.000780024	0.000953804	0.000848248	0.000722705	0.000476017	0.00078561	0.000623368	0.000806412
