KO	BSPSPC_002	BSPSPC_005	BSPSPC_018	BSPSPC_047	BSPSPC_057	BSPSPC_069	BSPSPC_073	BSPSPC_076	BSPSPC_146	BSPSPC_169	BSPSPC_171	BSPSPC_189	BSPSPC_214	BSPSPC_252	BSPSPC_287	BSPSPC_294	BSPSPC_298	BSPSPC_300	BSPSPC_325	BSPSPC_328	BSPSPC_330	BSPSPC_334	BSPSPC_337	BSPSPC_342	BSPSPC_343	BSPSPC_345	BSPSPC_353	BSPSPC_358	BSPSPC_363	BSPSPC_368	BSPSPC_369	BSPSPC_376	BSPSPC_384	BSPSPC_388	BSPSPC_393	BSPSPC_399	BSPSPC_401	BSPSPC_404	BSPSPC_414	BSPSPC_416	BSPSPC_422	BSPSPC_427	BSPSPC_437	BSPSPC_443	BSPSPC_445	BSPSPC_454	BSPSPC_456	BSPSPC_465	BSPSPC_468	BSPSPC_470	BSPSPC_475	BSPSPC_478	BSPSPC_494	BSPSPC_503	BSPSPC_506	BSPSPC_509	BSPSPC_514	BSPSPC_518	BSPSPC_525	BSPSPC_527	BSPSPC_529	BSPSPC_530	BSPSPC_532	BSPSPC_552	BSPSPC_561	BSPSPC_566	BSPSPC_569	BSPSPC_583	BSPSPC_593	BSPSPC_609	BSPSPC_624	BSPSPC_681	BSPSPC_696	BSPSPC_719
K00001	1520.836772	700.1242914	1056.908371	440.8215608	1289.565404	686.217951	1444.284465	615.1732604	937.8754147	850.2166903	786.9978478	2096.016251	1052.815571	1141.813966	430.2225397	665.5394911	1687.129395	478.3143886	880.6993741	1620.672077	1503.942738	1370.830845	2042.410071	1970.239219	1058.175447	1337.678212	1651.542785	1173.994074	1297.027421	685.2138074	1533.708679	637.9780266	1410.15054	751.7616867	3018.86114	1305.507071	2239.931611	761.2896355	904.1481104	731.6781749	1431.135257	785.6276328	1870.034241	1544.446711	2058.343822	397.5520883	719.5862853	1123.661799	458.3406183	1361.528183	979.4170212	1167.352276	1413.764868	1625.075996	1153.959132	1174.689641	747.0792641	1223.356879	295.9599723	568.9299471	1489.436939	1858.833872	1059.426478	2630.578581	2013.134471	420.7067439	1122.668699	1634.034941	718.7942071	1020.226074	488.1767541	2210.613757	768.9112568	1122.489731
K00003	1892.25149	2099.939495	3664.026495	1111.776502	2869.981924	2350.850743	2101.244216	1818.500319	3646.042487	1820.823971	2614.132679	4912.082657	1826.99579	2326.706412	1284.189589	2416.997372	3401.322083	1219.27252	2819.699396	2916.041849	3091.036617	3753.080052	3311.933458	3151.588769	2299.404824	3574.906709	3611.917808	2787.191092	4211.433108	2130.285954	2256.026135	3836.135949	1883.6765	2539.355674	3809.365397	3039.051875	4201.786165	3535.157491	2670.67222	2034.71499	3001.263462	3179.789698	3114.6442	2166.697951	3190.814155	3573.086341	2238.89796	2520.518864	3246.034458	1801.491487	3469.964428	2275.593848	4463.017034	3856.076008	3672.641082	3681.096143	1269.471007	3660.724013	2391.414448	3649.612516	4324.426709	4095.022098	3264.877166	4429.433947	4248.805342	1263.288065	3588.380458	4283.419126	2400.824452	2752.62745	2948.037632	4944.672243	3045.949374	3015.819752
K00004	0	0	0	1.028571429	0	0.705882353	0.857142857	0	1.8	0	0	0	0	0	0	1.285714286	2.142857143	0.605042017	0	3.428571429	0	0	0	0	0.666666667	1.333333333	0	0	0	0	0	0	0.857142857	0	0	0	2	0	0	2.117647059	0	0	2.571428571	0.428571429	0.428571429	0	97.66666667	0	0	0	4	0	0	2	0	0	0	0	0	0	0	222.7058824	0	0	0	0	0	0	0	0	0	0	0	0.666666667
K00005	548.6964286	137.8833333	223.0952381	117.675	266.25	80.61540616	1280.483333	217.6428571	430.625	333.875	386.397619	739.375	360.375	461.7678571	68.75	272.8357143	513.3928571	366.855042	106.625	69.45833333	70.98214286	61	696.5416667	37.25	123.5833333	139.75	197.2083333	599.5857143	257.3392857	317.3869048	441.9583333	162.797619	217.05	136.5416667	83.54761905	544.2142857	883.125	129.375	208.1416667	80.22598039	300.4583333	397.6785714	1015.25	609.2619048	137.75	70.91666667	352.0416667	229.375	95.04761905	179.5	285.3333333	465.375	1110.75	149.4583333	1603.416667	819.9166667	377.5833333	94.925	152.3333333	568	347.4583333	776.872549	187.6666667	131.0178571	109.125	138.75	80.625	337.0416667	189.7166667	15.625	463.5964286	207.0833333	198.4166667	63.86904762
K00006	2319.416515	2268.77167	3522.747988	1575.193168	3072.168968	2343.245541	2154.038135	1789.211119	3450.779939	2279.947963	2562.645871	3699.24069	2188.133821	2586.911367	1629.403874	2409.523305	3775.779693	1632.760133	3060.519538	3124.486894	3102.049487	3758.408237	3322.673483	2584.610648	2410.227861	3526.297249	3567.085118	3049.11768	4270.325	2481.341349	2344.377487	2961.606991	1748.450416	2175.02543	3931.380439	3069.475995	3886.555792	3542.771391	2678.699247	1897.955337	3018.842291	3193.516886	3160.217945	2251.397662	3200.702025	3624.169192	2174.159221	2386.559083	3257.164992	1817.170767	3491.764717	1884.909935	3677.159891	3459.037398	3710.934357	3709.071369	1940.802356	2632.837162	2421.476224	3260.862516	4358.988807	4106.164955	2190.506134	2460.480794	4058.216057	1275.270047	3633.978914	4286.625046	1688.587403	2302.780228	3323.139787	3909.743671	2510.078524	3241.260067
K00007	0	0	0	0	0	0.705882353	0	0	0	0	0	0	0	0	0	0	0	0.176470588	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	2.117647059	0	0	0	0	0	0	95	3	0	0	0	0	0	0	0	0	0	0	0	0	0	222.7058824	0	0	0	0	0	0	0	0	0	0	0	0
K00008	51	27	503.3333333	257	158.3333333	48	0	133.6666667	135	58	34.33333333	8	49.33333333	16	34	211	15	41.33333333	328.6666667	4	12.66666667	175.3333333	417.6666667	13	36	131.6666667	0	103.6666667	248	286	27	135.6666667	7	165	537.6666667	64.33333333	186	472.6666667	30	18.66666667	49.33333333	66	108	19	232.6666667	45.66666667	175.6666667	27	25	236.3333333	356	23.33333333	13	57.33333333	37	32	137.6666667	39.66666667	64	64	445	20	428.6666667	31	80.66666667	161.6666667	37	31	236.3333333	157	44.33333333	195.3333333	97.33333333	3
K00009	150.375	101.1333333	38.25	14.675	2.5	46.23445378	18.15	24.07142857	21.625	16.875	249.4642857	176.375	19.375	28.76785714	4.75	140.5857143	51.89285714	8.426470588	43.90833333	39.70833333	47.23214286	34.5	13.875	12.75	9.25	9.75	130.2083333	34.55	181.3392857	22.13690476	6.958333333	26.08333333	216.05	15.04166667	39.33333333	14.83333333	38.625	13.375	89.14166667	18.97598039	8.208333333	176.5	18.75	11.42857143	4.5	12.66666667	118.0416667	63.375	82.29761905	91	49.16666667	15.375	567.75	32.45833333	42.67424242	21.91666667	11.25	25.875	4.333333333	4	44.375	241.622549	47.16666667	76.875	79.125	11.25	23.625	35.04166667	21.16666667	54.875	249.3464286	120.0833333	22.91666667	24.36904762
K00010	239.075	72.9	148.3666667	84.025	124.65	274.122549	280.6833333	72.05	72.425	104.325	56.98333333	347.475	53.275	291.925	92.8	98.05	47.8	88.32647059	296.1416667	80.275	125.275	146.85	141.3416667	52.05	52.48333333	111.55	296.475	193.4	185.925	91.975	96.725	185.05	63.75	68.375	73.75	499.9666667	123.875	166.225	63.475	128.6926471	75.975	356.4	273.05	80.23333333	86.75	108.7	271.675	208.325	78.2	86.8	441.15	56.225	81.75	259.975	184.75	103.85	200.8833333	54.725	41.3	88.85	326.1083333	351.8558824	91	225.125	108.625	83.85	201.875	37.625	53.05	157.375	179.325	205.25	63.25	149.2
K00011	1683.2082	1048.074291	1193.108371	477.8215608	1556.315404	702.817951	2213.034465	678.494689	1255.875415	963.8166903	929.2478478	2181.966251	1081.065571	1317.313966	544.4725397	686.8394911	1736.566895	768.5643886	1030.199374	1639.272077	1539.442738	1444.330845	2121.410071	2116.489219	1077.675447	1340.178212	1694.042785	1308.744074	1418.527421	1003.713807	1608.958679	757.9780266	1421.90054	806.0616867	3054.712925	1494.757071	2241.931611	861.2896355	1000.14811	798.9281749	1453.135257	929.7776328	1900.334241	1580.296711	2069.293822	553.3020883	763.8362853	1298.161799	513.9156183	1377.778183	1139.467021	1185.052276	1703.764868	1708.075996	2356.209132	1680.939641	777.8292641	1258.356879	529.9599723	1164.929947	1532.936939	2198.833872	1171.926478	2653.950009	2033.259471	539.7067439	1215.168699	1649.034941	906.4817071	1124.476074	739.6767541	2343.613757	968.6112568	1154.489731
