reactions	GI_11
K00001	40.5146616042787
K00003	34.6390619772884
K00004	0.199117647058824
K00005	0.266736694677871
K00006	43.5608083932696
K00007	0.199117647058824
K00008	0.125
K00009	0.2253081232493
K00010	0.237689075630252
K00011	40.5146616042787
K00012	6.6528834836687
K00013	32.035810654537
K00014	33.3190619772884
K00015	0.125
K00016	17.8005439572199
K00018	0.125
K00019	0.343571428571429
K00020	8.93316526610644
K00021	0
K00022	8.93316526610644
K00024	2.07645491224013
K00025	2.07645491224013
K00026	2.07645491224013
K00027	8.5155462184874
K00028	8.5155462184874
K00029	23.5093820831085
K00030	0.0414285714285714
K00031	15.7471930074782
K00033	0.355204603580563
K00034	0.165
K00036	0.493776032151991
K00039	0
K00040	8.41904761904762
K00041	8.25840336134454
K00042	4.50173669467787
K00043	0
K00045	0.125
K00046	0.163571428571429
K00048	8.2555462184874
K00049	0.125
K00050	0.125
K00052	32.6590619772884
K00053	32.6590619772884
K00054	0
K00057	43.5608083932696
K00058	43.3652619772884
K00059	43.4481893456505
K00060	0.3503081232493
K00066	0
K00067	14.9927076355517
K00068	0.237689075630252
K00073	0.0385714285714286
K00074	0
K00075	43.5608083932696
K00077	32.6590619772884
K00082	6.55526443604965
K00086	0
K00087	4.77275132275132
K00088	43.3721023891288
K00090	0.0385714285714286
K00094	0.112689075630252
K00096	43.5608083932696
K00097	2.46015861594383
K00098	0.163571428571429
K00099	43.3652619772884
K00100	0.484249922191099
K00101	17.8005439572199
K00102	0.417689075630252
K00103	0
K00104	4.45642857142857
K00105	0
K00106	4.77275132275132
K00110	4.6403081232493
K00111	0
K00112	0
K00113	0
K00116	0.379117647058824
K00121	40.5146616042787
K00122	0.736736694677871
K00123	0
K00125	0
K00126	0
K00128	0.459117647058824
K00130	0.379117647058824
K00132	9.06083687871284
K00133	43.3652619772884
K00134	43.1826893456505
K00135	0.5303081232493
K00137	0.459117647058824
K00139	0.237689075630252
K00140	0.417689075630252
K00145	33.3190619772884
K00146	0.199117647058824
K00147	34.5264429296693
K00149	0.459117647058824
K00150	43.1826893456505
K00151	0.237689075630252
K00156	0.237689075630252
K00158	0
K00160	0.5303081232493
K00161	33.3190619772884
K00162	33.3190619772884
K00163	33.3190619772884
K00164	0.417689075630252
K00165	0.125
K00166	0.125
K00167	0.125
K00169	40.3014961406785
K00170	40.3014961406785
K00171	40.3014961406785
K00172	40.3014961406785
K00174	6.00114678899082
K00175	6.00114678899082
K00176	6.00114678899082
K00177	6.00114678899082
K00179	0
K00199	0
K00207	0
K00208	6.25383586462108
K00209	0.582689075630252
K00210	15.403515758801
K00211	15.138015758801
K00215	12.7164285714286
K00216	0.112689075630252
K00220	33.2776334058598
K00226	8.77285714285714
K00228	8.86197478991597
K00229	0.2253081232493
K00231	0
K00238	2.42145491224013
K00239	6.53145491224012
K00240	6.53145491224012
K00241	6.53145491224012
K00242	6.53145491224012
K00244	6.53145491224012
K00245	6.53145491224012
K00246	6.53145491224012
K00247	6.53145491224012
K00248	17.753174789916
K00249	0.343571428571429
K00252	0.125
K00253	0.305
K00254	42.1647214367478
K00259	0.125
K00260	2.14383586462108
K00261	34.5264429296693
K00262	34.3464429296693
K00263	0
K00264	40.3191151882975
K00265	40.3191151882975
K00266	40.3191151882975
K00271	0
K00273	0.125
K00274	0.0741176470588235
K00275	0.417689075630252
K00276	0.0741176470588235
K00278	6.95526443604965
K00281	6.57015861594383
K00282	6.57015861594383
K00283	6.57015861594383
K00284	0.125
K00285	0.417689075630252
K00286	41.5264961406785
K00287	19.6094570006982
K00288	43.4481893456505
K00294	0.417689075630252
K00297	33.2735214367478
K00299	0.0385714285714286
