reactions	air_23
K00001	54.8942693105141
K00003	60.5406544456492
K00004	5.61705882352941
K00005	14.0306302521008
K00006	55.9392693105141
K00007	5.61705882352941
K00008	0
K00009	13.8106302521008
K00010	6.45991596638655
K00011	60.8005193105141
K00012	19.9368802521008
K00013	12.7331659663866
K00014	60.5406544456492
K00015	0.375
K00016	60.7285193105141
K00018	0.375
K00019	1.13485714285714
K00020	14.1026302521008
K00021	0.22
K00022	14.1026302521008
K00024	20.3118802521008
K00025	20.3118802521008
K00026	20.3118802521008
K00027	12.4411659663866
K00028	12.4411659663866
K00029	7.20191596638655
K00030	0
K00031	12.7331659663866
K00033	52.3029401599349
K00034	0
K00036	46.4686901599349
K00039	0
K00040	8.19357142857143
K00041	5.69205882352941
K00042	14.0306302521008
K00043	0
K00045	0
K00046	1.06285714285714
K00048	6.45991596638655
K00049	0.375
K00050	0.375
K00052	14.4776302521008
K00053	20.3838802521008
K00054	0
K00057	55.9392693105141
K00058	21.0538802521008
K00059	54.5698050247998
K00060	13.8106302521008
K00066	0
K00067	7.41610714285714
K00068	7.34991596638655
K00073	0.842857142857143
K00074	0
K00075	61.8455193105141
K00077	59.8706544456492
K00082	7.87191596638655
K00086	0
K00087	7.34771428571429
K00088	54.5698050247998
K00090	0.842857142857143
K00094	6.45991596638655
K00096	55.9392693105141
K00097	14.1026302521008
K00098	0.842857142857143
K00099	20.3838802521008
K00100	6.28705882352941
K00101	60.7285193105141
K00102	6.60691596638655
K00103	0
K00104	0.292
K00105	0
K00106	7.34771428571429
K00110	14.1026302521008
K00111	0
K00112	0
K00113	0
K00116	5.76405882352941
K00121	54.8942693105141
K00122	14.4776302521008
K00123	0
K00125	0
K00126	0
K00128	47.3586901599349
K00130	5.90905882352941
K00132	6.53491596638655
K00133	60.5406544456492
K00134	54.5698050247998
K00135	14.1026302521008
K00137	47.3586901599349
K00139	6.75491596638655
K00140	6.75191596638655
K00145	14.1026302521008
K00146	5.61705882352941
K00147	13.7781659663866
K00149	47.3586901599349
K00150	54.5698050247998
K00151	6.53491596638655
K00156	6.53491596638655
K00158	0.22
K00160	20.3838802521008
K00161	59.8706544456492
K00162	59.8706544456492
K00163	59.8706544456492
K00164	13.1081659663866
K00165	0.22
K00166	0.22
K00167	0.22
K00169	13.1111659663866
K00170	13.1111659663866
K00171	13.1111659663866
K00172	13.1111659663866
K00174	5.90625
K00175	5.90625
K00176	5.90625
K00177	5.90625
K00179	0
K00199	0
K00207	0
K00208	53.2649401599349
K00209	6.82691596638655
K00210	53.9644044456492
K00211	53.9644044456492
K00215	0.842857142857143
K00216	6.53491596638655
K00220	53.9644044456492
K00226	0.842857142857143
K00228	7.49691596638655
K00229	13.8106302521008
K00231	0
K00238	20.3838802521008
K00239	20.3838802521008
K00240	20.3838802521008
K00241	20.3838802521008
K00242	20.3838802521008
K00244	20.3838802521008
K00245	20.3838802521008
K00246	20.3838802521008
K00247	20.3838802521008
K00248	7.49691596638655
K00249	1.13485714285714
K00252	0.22
K00253	0.292
K00254	61.8455193105141
K00259	5.90625
K00260	7.42191596638655
K00261	53.2649401599349
K00262	7.12991596638655
K00263	0
K00264	14.7726302521008
K00265	14.7726302521008
K00266	14.7726302521008
K00271	0
K00273	0
K00274	5.69205882352941
K00275	7.20191596638655
K00276	5.69205882352941
K00278	6.60691596638655
K00281	60.5406544456492
K00282	60.5406544456492
K00283	60.5406544456492
K00284	0.22
K00285	6.82691596638655
K00286	13.7781659663866
K00287	61.8455193105141
K00288	54.5698050247998
K00294	6.82691596638655
K00297	55.9392693105141
K00299	0.842857142857143
K00301	0.22
K00302	0.22
K00303	0.22
K00304	0.22
K00305	0.22
K00306	0.22
K00318	6.82691596638655
K00319	0
K00320	0
K00322	20.3838802521008
K00323	20.3838802521008
K00324	20.3838802521008
K00325	20.3838802521008
K00329	13.1081659663866
K00357	46.3966901599349
K00360	7.20191596638655
K00361	14.1026302521008
K00362	14.1026302521008
K00364	53.2974044456492
K00365	0
K00366	0
K00368	0
K00370	7.20191596638655
K00371	7.20191596638655
K00372	7.20191596638655
K00374	7.20191596638655
K00376	0
K00380	14.1026302521008
K00381	14.1026302521008
K00382	61.8455193105141
K00383	14.4776302521008
K00384	54.5698050247998
K00385	14.1026302521008
K00390	14.1026302521008
K00392	0.842857142857143
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	6.53491596638655
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	5.90905882352941
K00449	5.90905882352941
K00451	0.22
K00453	0.22
K00455	6.53491596638655
K00457	5.90905882352941
K00463	0.22
K00466	0
K00472	0
K00480	0.22
K00483	6.53491596638655
K00484	6.53491596638655
K00491	0
K00500	0
K00518	53.9644044456492
K00522	46.6886901599349
K00524	55.2692693105141
K00525	55.2692693105141
K00526	55.2692693105141
K00527	16.1604951169657
K00528	0.292
K00529	0
K00531	0
K00540	6.53491596638655
K00547	5.69205882352941
K00548	0
K00549	53.9644044456492
K00560	61.1755193105141
K00568	0.667
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	0.842857142857143
K00591	0
K00593	12.3661659663866
K00595	0.842857142857143
K00598	5.91205882352941
K00599	53.9644044456492
K00600	1.50985714285714
K00601	61.8455193105141
K00602	61.8455193105141
K00603	40.7517741935484
K00605	60.5406544456492
K00606	54.6344044456492
K00607	6.82691596638655
K00608	61.4705193105141
K00609	61.4705193105141
K00610	61.4705193105141
K00611	20.3838802521008
K00615	60.5406544456492
K00616	54.6344044456492
K00618	14.1026302521008
K00620	14.1026302521008
K00625	48.5915550247998
K00626	14.7726302521008
K00627	14.4776302521008
K00629	55.9392693105141
K00632	14.7726302521008
K00634	0
K00639	13.8106302521008
K00640	61.8455193105141
K00641	6.57325
K00643	0
K00645	53.8998050247998
K00647	54.5698050247998
K00648	54.5698050247998
K00651	13.8106302521008
K00652	6.82691596638655
K00655	61.8455193105141
K00656	15.4904951169657
K00657	6.75491596638655
K00658	0
K00661	6.75491596638655
K00665	61.8455193105141
K00667	54.5698050247998
K00668	61.8455193105141
K00672	0
K00673	6.53491596638655
K00674	20.3838802521008
K00677	14.4776302521008
K00681	14.7726302521008
K00688	13.8106302521008
K00690	0
K00691	0
K00697	6.53491596638655
K00703	0.842857142857143
K00705	21.6887451169657
K00713	14.4776302521008
K00748	14.4776302521008
K00756	61.8455193105141
K00757	61.7735193105141
K00758	55.9392693105141
K00759	61.8455193105141
K00760	61.8455193105141
K00761	46.6886901599349
K00762	61.8455193105141
K00763	54.5698050247998
K00764	61.8455193105141
K00765	12.7331659663866
K00766	7.20191596638655
K00767	54.2594044456492
K00768	53.1899401599349
K00769	61.8455193105141
K00772	0
K00777	0
K00787	60.9276621676569
K00788	20.3838802521008
K00790	61.8455193105141
K00793	7.02905882352941
K00794	7.87191596638655
K00795	60.9276621676569
K00796	20.3838802521008
K00797	14.0306302521008
K00798	53.2649401599349
K00800	13.1081659663866
K00804	60.9276621676569
K00805	48.0994884792627
K00806	40.8237741935484
K00810	6.60691596638655
K00811	61.8455193105141
K00812	61.8455193105141
K00813	61.8455193105141
K00814	6.45991596638655
K00815	60.5406544456492
K00817	60.5406544456492
K00818	14.0306302521008
K00819	0
K00820	61.8455193105141
K00821	20.0088802521008
K00822	0.292
K00823	1.06285714285714
K00824	0.22
K00826	61.1755193105141
K00827	5.61705882352941
K00830	5.61705882352941
K00831	13.1081659663866
K00832	61.8455193105141
K00833	6.82691596638655
K00835	14.0306302521008
K00838	60.5406544456492
K00840	6.53491596638655
K00841	39.4867741935484
K00844	59.2756544456492
K00845	46.0936901599349
K00848	6.53491596638655
K00849	12.8161659663866
K00850	61.6255193105141
K00851	13.8826302521008
K00852	19.7168802521008
K00853	19.7168802521008
K00855	0.375
K00856	40.7517741935484
K00857	47.0666901599349
K00858	61.8455193105141
K00859	61.8455193105141
K00860	13.8826302521008
K00861	61.8455193105141
K00863	5.69205882352941
K00864	60.1656544456492
K00865	52.2199401599349
K00867	61.8455193105141
K00868	53.2649401599349
K00869	0
K00872	54.6344044456492
K00873	54.5698050247998
K00875	20.0918802521008
K00876	54.5698050247998
K00877	13.0361659663866
K00878	6.90991596638655
K00879	6.45991596638655
K00882	48.4435550247998
K00883	6.67991596638655
K00884	0
K00885	14.1106302521008
K00891	53.9644044456492
K00892	6.53491596638655
K00893	40.7517741935484
K00895	5.90625
K00899	5.69205882352941
K00901	16.4524951169657
K00904	39.4867741935484
K00912	7.20191596638655
K00917	61.6255193105141
K00919	13.7781659663866
K00925	55.8672693105141
K00926	0
K00927	61.8455193105141
K00928	0
K00929	0
K00930	14.1026302521008
K00931	13.4031659663866
K00932	55.8672693105141
K00938	0
K00939	61.8455193105141
K00940	53.9644044456492
K00941	13.0361659663866
K00942	61.8455193105141
K00943	61.8455193105141
K00944	6.83491596638655
K00945	61.8455193105141
K00948	54.5698050247998
K00949	41.4616390584133
K00950	20.3838802521008
K00951	61.8455193105141
K00952	61.8455193105141
K00953	61.8455193105141
K00954	60.5406544456492
K00955	14.1026302521008
K00956	14.1026302521008
K00957	14.1026302521008
K00958	14.1026302521008
K00963	52.5949401599349
K00964	6.90991596638655
K00966	0
K00969	61.8455193105141
K00971	7.04110714285714
K00972	61.8455193105141
K00973	20.3838802521008
K00975	20.0918802521008
K00978	0.842857142857143
K00979	47.3586901599349
K00980	40.1567741935484
K00981	61.8455193105141
K00983	0.595
K00991	21.0538802521008
K00995	54.5698050247998
K00997	54.5698050247998
K00998	47.3586901599349
K01000	61.8455193105141
K01005	61.8455193105141
K01006	5.90625
K01007	7.49691596638655
K01008	7.20191596638655
K01011	14.2576302521008
K01012	13.7781659663866
K01027	0
K01028	0
K01029	0
K01034	0.842857142857143
K01035	0.842857142857143
K01047	1.06285714285714
K01048	20.0088802521008
K01053	0.22
K01055	5.90905882352941
K01057	52.3749401599349
K01069	15.0830308312514
K01077	6.50705882352941
K01078	5.83705882352941
K01079	20.3838802521008
K01080	0
K01081	15.1476302521008
K01082	15.1476302521008
K01085	0.842857142857143
K01086	54.6344044456492
K01087	6.53491596638655
K01089	12.7331659663866
K01091	14.4776302521008
K01092	46.6886901599349
K01093	5.83705882352941
K01094	47.3586901599349
K01101	5.83705882352941
K01112	0.595
K01113	6.50705882352941
K01119	14.1856302521008
K01126	59.8706544456492
K01129	1.80785714285714
K01133	0.842857142857143
K01139	14.4776302521008
K01176	0
K01182	0
K01187	12.6611659663866
K01188	6.60691596638655
