reactions	oral_8
K00001	45.7875900900901
K00003	9.88017647058824
K00004	0.557857142857143
K00005	0
K00006	54.6544610051228
K00007	0.125
K00008	0.125
K00009	0.734642857142857
K00010	0.125
K00011	46.7465900900901
K00012	1.1828373015873
K00013	7.98831932773109
K00014	10.7076764705882
K00015	0.885
K00016	46.1315900900901
K00018	0.885
K00019	0.142142857142857
K00020	0.125
K00021	0
K00022	0.125
K00024	9.22587091503268
K00025	9.22587091503268
K00026	9.22587091503268
K00027	0.694642857142857
K00028	0.694642857142857
K00029	9.24017647058823
K00030	0.0171428571428571
K00031	0.805
K00033	2.33535714285714
K00034	0
K00036	2.30035714285714
K00039	0
K00040	0.125
K00041	0
K00042	0.859642857142857
K00043	0.0171428571428571
K00045	0.125
K00046	0.16
K00048	0
K00049	0.885
K00050	0.885
K00052	1.715
K00053	9.88017647058824
K00054	0
K00057	54.6544610051228
K00058	9.19401377217554
K00059	54.6544610051228
K00060	0.292142857142857
K00066	0
K00067	3.14719444444444
K00068	0.142142857142857
K00073	0
K00074	0
K00075	55.1584610051228
K00077	9.10731932773109
K00082	9.59187091503268
K00086	0
K00087	0.142142857142857
K00088	55.1584610051228
K00090	0
K00094	0.0171428571428571
K00096	54.6544610051228
K00097	0.565694444444444
K00098	0.16
K00099	9.67587091503268
K00100	0.04
K00101	46.1315900900901
K00102	0.402142857142857
K00103	0
K00104	0.182142857142857
K00105	0
K00106	0.142142857142857
K00110	0.16
K00111	0
K00112	0
K00113	0
K00116	0.902857142857143
K00121	45.7875900900901
K00122	0.792142857142857
K00123	0
K00125	0
K00126	0
K00128	1.715
K00130	0.125
K00132	0.804642857142857
K00133	9.62687091503268
K00134	55.0084610051228
K00135	0.592857142857143
K00137	1.715
K00139	0.275
K00140	0.235
K00145	0.217142857142857
K00146	0.125
K00147	1.9075
K00149	1.715
K00150	55.1584610051228
K00151	0.125
K00156	0.125
K00158	0.6775
K00160	2.16685714285714
K00161	2.8965
K00162	2.8965
K00163	2.8965
K00164	1.424
K00165	0.125
K00166	0.125
K00167	0.125
K00169	8.64151377217554
K00170	8.64151377217554
K00171	8.64151377217554
K00172	8.64151377217554
K00174	7.96901377217554
K00175	7.96901377217554
K00176	7.96901377217554
K00177	7.96901377217554
K00179	0
K00199	0
K00207	0.0171428571428571
K00208	9.05403361344538
K00209	0.557857142857143
K00210	8.60331932773109
K00211	8.60331932773109
K00215	0.0171428571428571
K00216	0
K00220	9.88017647058824
K00226	0.177142857142857
K00228	1.61535714285714
K00229	0.11
K00231	0.737857142857143
K00238	10.7912280578898
K00239	10.7912280578898
K00240	10.7912280578898
K00241	10.7912280578898
K00242	10.7912280578898
K00244	10.7912280578898
K00245	10.7912280578898
K00246	10.7912280578898
K00247	10.7912280578898
K00248	0.725
K00249	0.16
K00252	0.125
K00253	0.16
K00254	55.1584610051228
K00259	0.8025
K00260	0.425
K00261	2.46969444444444
K00262	2.01969444444444
K00263	0
K00264	0.367142857142857
K00265	0.367142857142857
K00266	0.367142857142857
K00271	0
K00273	0.125
K00274	0
K00275	1.075
K00276	0
K00278	0.517142857142857
K00281	2.5425
K00282	2.5425
K00283	2.5425
K00284	0.125
K00285	0.125
K00286	2.3925
K00287	55.0577665606783
K00288	55.1584610051228
K00294	0.592857142857143
K00297	46.8432845345345
K00299	0
K00301	0.125
K00302	0.125
K00303	0.125
K00304	0.125
K00305	0.125
K00306	0.125
K00318	0.592857142857143
K00319	0
K00320	0
K00322	0.795
K00323	0.795
K00324	0.795
K00325	0.795
K00329	2.88719444444444
K00357	8.74403361344538
K00360	1.09285714285714
K00361	0.425
K00362	0.425
K00364	0.6775
K00365	0
K00366	0
K00368	0
K00370	1.09285714285714
K00371	1.09285714285714
K00372	1.09285714285714
K00374	1.09285714285714
K00376	0
K00380	0.235
K00381	0.235
K00382	47.3965900900901
K00383	0.735
K00384	55.1584610051228
K00385	0.235
K00390	0.165
K00392	0
K00394	0
K00395	0
K00399	0
K00401	0
K00402	0
K00411	0
K00432	0.125
K00436	0
K00440	0
K00441	0
K00442	0
K00443	0
K00448	0.125
K00449	0.125
K00451	0.125
K00453	0.125
K00455	0.125
K00457	0.125
K00463	0.125
K00466	0
K00472	0
K00480	0
K00483	0.125
K00484	0.125
K00491	0
K00500	0.125
K00518	10.1865336134454
K00522	1.61035714285714
K00524	54.9077665606783
K00525	54.9077665606783
K00526	54.9077665606783
K00527	46.4844273916774
K00528	1.12285714285714
K00529	0
K00531	0
K00540	0
K00547	0
K00548	0
K00549	1.24285714285714
K00560	47.3794472329472
K00568	0.775
K00577	0
K00578	0
K00579	0
K00580	0
K00581	0
K00582	0
K00583	0
K00584	0
K00589	0.0171428571428571
K00591	0.235
K00593	0.275
K00595	0.292142857142857
K00598	0
K00599	2.42435714285714
K00600	10.3043709150327
K00601	54.5537665606783
K00602	54.6544610051228
K00603	2.52535714285714
K00605	2.5425
K00606	3.14719444444444
K00607	0.31
K00608	54.5484610051228
K00609	54.5484610051228
K00610	54.5484610051228
K00611	2.10964285714286
K00615	10.8083709150327
K00616	9.39017647058824
K00618	0.217142857142857
K00620	1.1775
K00625	54.5613181479799
K00626	0.142142857142857
K00627	1.61964285714286
K00629	54.4037665606783
K00632	0.142142857142857
K00634	0
K00639	0.275
K00640	47.2465900900901
K00641	1.69785714285714
K00643	0
K00645	54.0144610051228
