reactions	air_8
K00001	178.761896824651
K00003	539.554689604444
K00004	30
K00005	0
K00006	543.511896811651
K00007	0
K00008	0
K00009	0.5
K00010	0
K00011	543.511896811651
K00012	397.785714272714
K00013	5.2563025210084
K00014	540.054689604444
K00015	32.2857142857143
K00016	178.505594303643
K00018	32.2857142857143
K00019	1.25
K00020	3.03571428571429
K00021	0
K00022	3.03571428571429
K00024	5.53571428571429
K00025	5.53571428571429
K00026	5.53571428571429
K00027	2.78571428571429
K00028	2.78571428571429
K00029	32.5063025210084
K00030	0
K00031	397.785714272714
K00033	537.298387083435
K00034	1
K00036	536.548387083435
K00039	0
K00040	0
K00041	0
K00042	2.03571428571429
K00043	0
K00045	0
K00046	0
K00048	0
K00049	32.2857142857143
K00050	32.2857142857143
K00052	397.256302508008
K00053	399.006302508008
K00054	0
K00057	543.511896811651
K00058	370.006302508008
K00059	545.261896811651
K00060	1
K00066	0
K00067	399.035714272714
K00068	1
K00073	0
K00074	0
K00075	545.261896811651
K00077	175.554689617444
K00082	397.785714272714
K00086	0
K00087	1.25
K00088	545.261896811651
K00090	1
K00094	0
K00096	543.511896811651
K00097	31.5357142857143
K00098	0
K00099	36.0063025210084
K00100	1
K00101	178.505594303643
K00102	31
K00103	0
K00104	1.25
K00105	0
K00106	1.25
K00110	1.25
K00111	0
K00112	0
K00113	0
K00116	364.499999987
K00121	178.761896824651
K00122	2
K00123	0
K00125	0
K00126	0
K00128	537.33410136915
K00130	2.5
K00132	0.5
K00133	539.554689604444
K00134	515.261896811651
K00135	32.5
K00137	537.33410136915
K00139	31.5
K00140	2.75
K00145	3.5063025210084
K00146	0
K00147	370.506302508008
K00149	537.33410136915
K00150	545.261896811651
K00151	1
K00156	1.5
K00158	1.5
K00160	398.249999987
K00161	539.054689604444
K00162	539.054689604444
K00163	539.054689604444
K00164	35.5357142857143
K00165	0
K00166	0
K00167	0
K00169	3.72058823529412
K00170	3.72058823529412
K00171	3.72058823529412
K00172	3.72058823529412
K00174	1.75
K00175	1.75
K00176	1.75
K00177	1.75
K00179	0
K00199	0.25
K00207	0
K00208	176.08410138215
K00209	33.0357142857143
K00210	171.83410138215
K00211	171.83410138215
K00215	1
K00216	0
K00220	536.804689604444
K00226	1
K00228	367.535714272714
K00229	0
K00231	364.499999987
K00238	399.035714272714
K00239	399.035714272714
K00240	399.035714272714
K00241	399.035714272714
K00242	399.035714272714
K00244	399.035714272714
K00245	399.035714272714
K00246	399.035714272714
K00247	399.035714272714
K00248	34.0357142857143
K00249	2.78571428571429
K00252	1.5
K00253	1
K00254	545.261896811651
K00259	3.75
K00260	3.5
K00261	539.304689604444
K00262	397.006302508008
K00263	0
K00264	4.5063025210084
K00265	4.5063025210084
K00266	4.5063025210084
K00271	0
K00273	0
K00274	0
K00275	32
K00276	0
K00278	31.5357142857143
K00281	539.298387083435
K00282	539.298387083435
K00283	539.298387083435
K00284	2.78571428571429
K00285	1.28571428571429
K00286	400.506302508008
K00287	544.791308576357
K00288	545.261896811651
K00294	33.0357142857143
K00297	543.511896811651
K00299	1
K00301	1.5
K00302	1.5
K00303	1.5
K00304	1.5
K00305	1.5
K00306	1.5
