reactions	oral_6
K00001	57.2202937397566
K00003	34.2629899314592
K00004	19.8
K00005	0.19551242975
K00006	76.6953407605491
K00007	0
K00008	0
K00009	1.22405402177778
K00010	0
K00011	58.3202937397566
K00012	28.6934984662222
K00013	4.21425010020915
K00014	41.1674775017092
K00015	29.0310051792778
K00016	57.8202937397566
K00018	29.0310051792778
K00019	0.612942910666667
K00020	0.806623540861111
K00021	0
K00022	0.806623540861111
K00024	20.3528247985703
K00025	20.3528247985703
K00026	20.3528247985703
K00027	1.11294291066667
K00028	1.11294291066667
K00029	39.5545345910425
K00030	0.612942910666667
K00031	20.8
K00033	30.3353530053647
K00034	0
K00036	30.3353530053647
K00039	0
K00040	0
K00041	0
K00042	1.11294291066667
K00043	0.612942910666667
K00045	0
K00046	0
K00048	0.111111111111111
K00049	29.0310051792778
K00050	29.0310051792778
K00052	30.6439480899444
K00053	34.0674775017092
K00054	0
K00057	76.6953407605491
K00058	20.8657677092369
K00059	76.6953407605491
K00060	7.21294291066667
K00066	0
K00067	38.7467258677222
K00068	0.612942910666667
K00073	0
K00074	0
K00075	77.2953407605491
K00077	33.5674775017092
K00082	40.6657677092369
K00086	0
K00087	0.612942910666667
K00088	76.9909929344622
K00090	0
K00094	0.612942910666667
K00096	76.6953407605491
K00097	27.3027777777778
K00098	0
K00099	40.7657677092369
K00100	0.306623540861111
K00101	57.8202937397566
K00102	20.6907206884444
K00103	0
K00104	0.612942910666667
K00105	0
K00106	0.612942910666667
K00110	0.111111111111111
K00111	0
K00112	0
K00113	0
K00116	0.611111111111111
K00121	57.2202937397566
K00122	9.84394808994444
K00123	0
K00125	0
K00126	0
K00128	30.8394605196944
K00130	0
K00132	1.6950685145314
K00133	40.6657677092369
K00134	57.4953407605491
K00135	20.3
K00137	30.8394605196944
K00139	19.8
K00140	0.166666666666667
K00145	1.41956645152778
K00146	0
K00147	10.4265176090278
K00149	30.8394605196944
K00150	77.2953407605491
K00151	0
K00156	0
K00158	0.5
K00160	30.6310051792778
K00161	31.7439480899444
K00162	31.7439480899444
K00163	31.7439480899444
K00164	30.1310051792778
K00165	0
K00166	0
K00167	0
K00169	11.1347625299592
K00170	11.1347625299592
K00171	11.1347625299592
K00172	11.1347625299592
K00174	10.4392501002092
K00175	10.4392501002092
K00176	10.4392501002092
K00177	10.4392501002092
K00179	0
K00199	0
K00207	0.612942910666667
K00208	39.1500470207925
K00209	20.3
K00210	32.9674775017092
K00211	32.9674775017092
K00215	0.612942910666667
K00216	0
K00220	34.0674775017092
K00226	0.612942910666667
K00228	1.69551242975
K00229	0.277777777777778
K00231	0.5
K00238	40.9573123688203
K00239	40.9573123688203
K00240	40.9573123688203
K00241	40.9573123688203
K00242	40.9573123688203
K00244	40.9573123688203
K00245	40.9573123688203
K00246	40.9573123688203
K00247	40.9573123688203
K00248	27.7084553404167
K00249	0
K00252	0
K00253	0
K00254	76.9909929344622
K00259	0.5
K00260	0.808455340416667
K00261	38.4422382974722
K00262	31.0337829570556
K00263	0.19551242975
K00264	7.21294291066667
K00265	7.21294291066667
K00266	7.21294291066667
K00271	0
K00273	0
K00274	0
K00275	36.1310051792778
K00276	0
