function.	GI_11
K00001	12.9466689
K00002	1.1820878
K00003	135.9671258
K00004	0.0052637
K00005	45.0150237
K00007	0.5148963
K00008	38.9191234
K00009	10.1559408
K00010	17.7624894
K00011	0
K00012	71.0443163
K00013	87.6444871
K00014	121.9937678
K00015	0.0486326
K00016	109.9003106
K00018	16.7342576
K00019	2.1292925
K00020	4.1377933
K00021	0.0085251
K00023	0.4147535
K00024	7.1130921
K00027	108.3134591
K00028	0.023703
K00029	9.8393504
K00030	23.1404562
K00031	68.5348962
K00032	0.2361922
K00033	14.478944
K00034	0.9044266
K00035	0.0472384
K00036	11.4655464
K00038	0.1762626
K00039	0.2776433
K00040	26.8640382
K00041	26.6071041
K00042	11.2760661
K00043	2.3639314
K00045	0.2225605
K00046	43.9681745
K00048	25.3245759
K00050	5.6295661
K00052	79.3932575
K00053	83.2183574
K00054	2.623627
K00055	2.6871122
K00057	97.6151387
K00058	118.8414413
K00059	182.3089938
K00060	1.8001977
K00064	0.2113583
K00065	16.9653314
K00066	0.718969
K00067	64.5857869
K00068	19.5817839
K00073	0.5740828
K00074	74.9529681
K00075	99.9384294
K00076	2.6017551
K00077	64.5816428
K00082	0.0188954
K00086	12.8094278
K00087	15.623639
K00088	97.7000564
K00090	1.2879263
K00091	3.2793861
K00094	0.7248834
K00096	28.4637225
K00097	58.5770233
K00098	0.5337229
K00099	97.0773115
K00100	57.9123238
K00101	1.4001744
K00102	3.3683755
K00103	0.0105274
K00104	36.5326125
K00105	0.1370018
K00108	1.6184011
K00111	80.0862694
K00112	3.9194136
K00113	1.9779137
K00114	0.5607877
K00116	1.7621558
K00117	1.2925342
K00118	0
K00119	0.3669482
K00121	8.4323384
K00122	0.1894434
K00123	32.9463429
K00124	14.3064318
K00125	0.5031005
K00126	0.3343132
K00127	3.9498736
K00128	41.1349402
K00130	3.0925255
K00131	29.8636067
K00132	17.6937696
K00133	103.3840866
K00134	123.0653879
K00135	5.3554232
K00137	1.1036074
K00138	0.5105625
K00140	3.3282226
K00141	0.3028659
K00145	80.1284609
K00146	1.2007583
K00147	86.5959678
K00148	0.5128967
K00150	0.0042626
K00151	0.8885803
K00152	0.0094477
K00153	0
K00154	0.6440685
K00155	0.5135493
K00156	3.5011464
K00158	0.5548398
K00161	24.3978312
K00162	24.4010927
K00163	1.6850896
K00164	1.5026298
K00166	0.403611
K00167	0.4035355
K00169	77.9470733
K00170	50.1384702
K00171	62.2400854
K00172	77.8169564
K00174	77.7510939
K00175	76.1485874
K00176	65.9454914
K00177	60.7716243
K00178	0
K00179	55.8551081
K00180	54.0956963
K00183	0.5247302
K00184	11.7186721
K00185	10.773592
K00192	0.0042626
K00193	0.0042626
K00194	4.3912544
K00195	0.0042626
K00196	51.2377157
K00197	4.3912544
K00198	95.4177568
K00200	0.0315823
K00201	0.0315823
K00202	0.0315823
K00203	0
K00207	0.0525021
K00208	38.0370763
K00209	0.3994458
K00210	1.2448121
K00215	151.5804917
K00216	0.8453428
K00217	0.0210548
K00218	0.0210548
K00219	4.1917137
K00220	0
K00221	0
K00224	0
K00226	106.01757
K00228	1.3706706
K00230	13.6649278
K00231	1.7716114
K00232	0.0188954
K00239	7.3774405
K00240	10.2947573
K00241	4.7696454
K00242	1.5150511
K00243	58.2449189
K00244	22.8236265
K00245	7.0042866
K00246	8.0571386
K00247	0.8253501
K00248	55.1782844
K00249	1.3416502
K00252	0.5596546
K00253	0.5327146
K00255	0.0315823
K00256	0.0579008
K00257	8.7170694
K00258	0
K00259	13.9416724
K00260	14.121941
