function.	air_12
K00001	19.8324456
K00002	8.8635296
K00003	97.4151651
K00004	23.2434933
K00005	55.9427069
K00007	0.269382
K00008	13.6213076
K00009	17.4735804
K00010	23.0958317
K00011	0
K00012	86.3330795
K00013	95.469247
K00014	177.2271756
K00015	0.9473267
K00016	162.7203566
K00018	1.7881528
K00019	7.6000053
K00020	5.4112675
K00021	3.5190065
K00023	1.4906495
K00024	84.5710983
K00027	30.2387906
K00028	0.2168386
K00029	5.8786757
K00030	0.013714
K00031	97.7569501
K00032	0.0690723
K00033	97.4759106
K00034	3.9530087
K00035	0.8273482
K00036	101.2950127
K00038	3.7901844
K00039	0.6779447
K00040	6.6680411
K00041	1.2615652
K00042	1.2727798
K00043	0
K00045	10.6205659
K00046	51.2679267
K00048	0.3066058
K00050	2.008334
K00052	103.6382209
K00053	98.7256301
K00054	18.2411703
K00055	2.0660462
K00057	102.1282766
K00058	105.6367835
K00059	100.9506008
K00060	0.8851124
K00064	0.7243613
K00065	1.6042256
K00066	0.7728501
K00067	53.4032688
K00068	0.7542942
K00073	0.813662
K00074	32.7475777
K00075	105.1341861
K00076	0.0027629
K00077	109.5982002
K00082	0.0055258
K00086	0
K00087	0.027428
K00088	219.5674038
K00090	0.6827798
K00091	1.2035918
K00094	0.1373849
K00096	1.6538225
K00097	4.2045821
K00098	51.8620249
K00099	80.2471294
K00100	19.8562205
K00101	22.1202256
K00102	1.9459742
K00103	0
K00104	7.578685
K00105	1.1384029
K00106	0
K00108	78.4557861
K00111	87.5193657
K00112	2.287246
K00113	2.156963
K00114	1.901768
K00116	111.1904285
K00117	1.6761087
K00118	0.269382
K00119	1.3642472
K00121	3.6064434
K00122	11.5235321
K00123	27.8968201
K00124	6.8422106
K00126	1.1298849
K00127	2.1869927
K00128	86.0421834
K00129	0
K00130	57.9879036
K00131	1.7372862
K00132	0.013714
K00133	100.3651343
K00134	190.9228183
K00135	191.1223837
K00137	0.0718352
K00138	0
K00140	19.5830224
K00141	0.1902942
K00145	94.0446842
K00146	5.7461983
K00147	83.3775045
K00148	1.8562045
K00150	0
K00151	5.0043374
K00152	0.0027629
K00153	21.1717635
K00154	1.6580118
K00155	0.5594857
K00156	79.5635777
K00158	17.1044978
K00161	27.7598659
K00162	27.7598659
K00163	80.1339725
K00164	30.260081
K00166	16.3353958
K00167	16.3353958
K00169	0.573049
K00170	0.4851325
K00171	0.552478
K00172	0.566192
K00174	19.7818076
K00175	19.700993
K00176	0.5441518
K00177	0.6318234
K00179	1.443153
K00180	1.443153
K00184	0.8081461
K00185	0.8081461
K00194	0.006857
K00196	0.134691
K00197	0.006857
K00198	0.148405
K00200	0
K00201	0
K00202	0
K00207	0.1494034
K00208	23.4075031
K00209	0.0731664
K00210	0.0936818
K00211	0
K00214	0
K00215	99.7437819
K00216	7.1341616
K00217	9.0686941
K00218	0
K00219	9.7544439
K00220	1.1332003
K00221	0.3839335
K00224	0
K00226	104.9832969
K00228	1.9655908
K00230	0.6915072
K00231	94.0293395
K00232	10.5625452
K00239	96.1019602
K00240	96.1690608
K00241	94.4098841
K00242	1.5606198
K00243	20.0134495
K00244	4.5809302
K00245	1.7994721
K00246	1.7994721
K00247	1.7994721
K00248	1.716246
K00249	21.2284188
K00252	38.7585336
K00253	1.6790788
K00254	0
K00255	0.0502846
K00256	0.8135337
K00257	26.7761504
K00258	0
K00259	69.0790671
K00260	16.6007322
K00261	4.8416722
K00262	79.9293092
K00263	3.1051208
K00265	38.8570673
K00266	41.1509554
K00270	0
K00271	0
K00273	0
K00274	3.570958
K00275	5.6740557
K00276	0.7669099
K00278	23.4874242
K00279	0
K00280	0.0577247
K00281	48.5124633
K00282	16.9039678
K00283	17.2879013
K00284	0.027428
K00285	17.1945277
K00286	99.8119787
K00287	99.6035882
K00290	0.7759942
K00292	0
K00293	0
K00294	16.7794224
K00297	77.0451005
K00298	0
K00299	86.8936219
K00301	9.0907972
K00302	0.5355176
K00303	1.5301778
K00304	0.3999287
K00305	0.3999287
K00309	0
K00311	1.5722239
K00313	1.4485056
K00314	0
K00315	0
K00316	0.0303918
K00317	6.983445
K00318	17.5087471
K00320	0
K00322	0.4795
K00324	11.8016992
K00325	11.6147321
K00329	0.9473267
K00330	4.2994754
K00331	3.9258336
K00332	3.6035619
K00333	3.6612866
K00334	3.7975797
K00335	4.456726
K00336	3.7200887
K00337	4.2701888
K00338	4.9079236
K00339	4.2729517
K00340	4.2729517
K00341	4.2729517
K00342	4.2729517
K00343	4.2729517
K00344	23.3731383
K00346	2.4175313
K00347	2.4175313
K00348	2.4175313
K00349	2.4175313
K00350	2.4175313
K00351	2.4175313
K00353	0
K00354	0.2711779
K00355	1.6580168
K00356	2.0571529
K00358	5.9582651
K00359	3.2660578
K00360	0
K00362	21.6511507
K00363	20.5198647
K00364	18.2603582
K00365	0.5387641
K00366	0.8203907
K00367	0.5387641
K00368	56.3388007
K00370	45.8967738
K00371	46.6646409
K00372	1.5247022
K00373	46.7223657
K00374	46.6646409
K00375	84.9058481
K00376	1.0816034
K00378	0.6799098
K00380	19.9144068
K00381	4.9602852
K00382	190.9047417
K00383	84.6356412
K00384	126.0304086
K00385	0
K00386	0
K00387	0
K00389	16.3369448
K00390	28.5574271
K00392	23.3499634
K00394	0.027428
K00395	0.027428
K00397	0.2711779
K00404	2.0280322
K00405	2.2200532
K00406	2.2311048
K00407	1.5180712
K00410	0.6761488
K00411	1.4517618
K00412	0.3688461
K00413	0.3688461
K00423	0.2711779
K00425	88.0273453
K00426	88.7952124
K00427	0.6321498
K00428	5.4633839
K00432	102.9713621
K00433	1.4726733
K00435	0
K00436	1.077528
K00437	0
K00441	0.006857
K00446	2.6215948
K00448	11.7117012
K00449	13.3383784
