function.	oral_14
K00001	35.5075736
K00002	0.7918962
K00003	75.3725255
K00004	16.7648691
K00005	43.1012799
K00007	0
K00008	0.4797956
K00009	15.8214175
K00010	3.7353342
K00011	0
K00012	53.3700365
K00013	55.2421029
K00014	116.9899907
K00015	0.2974217
K00016	77.0865647
K00018	16.6790294
K00019	13.4755836
K00020	9.4437657
K00021	0.0138509
K00023	0.020229
K00024	33.8014857
K00027	29.3305983
K00028	3.8689574
K00029	42.2117136
K00030	0.4320111
K00031	57.6005446
K00032	0
K00033	55.4992081
K00034	0.7711782
K00035	0
K00036	54.1435639
K00038	0.4793045
K00039	0
K00040	1.3791748
K00041	1.5080764
K00042	1.1583597
K00043	0.0106619
K00045	0.9505849
K00046	35.2649816
K00048	0.6433771
K00050	0.0348097
K00052	73.1500866
K00053	78.7561822
K00054	52.1600579
K00055	0.7141786
K00057	97.8656094
K00058	63.3981059
K00059	167.6551861
K00060	0.6261825
K00064	0.0926856
K00065	1.0915997
K00066	0.0154476
K00067	67.1787832
K00068	7.2938843
K00073	0.5398076
K00074	13.0694911
K00075	99.1800053
K00076	16.2789172
K00077	39.4934854
K00082	0
K00086	0.3230758
K00087	0.0953348
K00088	102.0782946
K00090	0.8808259
K00091	1.2893726
K00094	0.0453129
K00096	0.7675232
K00097	37.7608612
K00098	0.2053243
K00099	46.1946946
K00100	14.9805227
K00101	27.6121758
K00102	0.4658732
K00103	0
K00104	18.8744465
K00105	20.4373557
K00108	1.0744354
K00111	14.0585693
K00112	11.0780814
K00113	10.3216642
K00114	0.006743
K00116	35.3943244
K00117	0.604001
K00118	0.4356222
K00119	0.006743
K00121	25.8716359
K00122	0.4672736
K00123	27.7942421
K00124	26.4259923
K00125	0.0171478
K00126	0.006743
K00127	18.8391219
K00128	7.3645985
K00130	0.8867803
K00131	31.2291116
K00132	1.2453063
K00133	90.0016208
K00134	125.1144649
K00135	44.6283091
K00137	0
K00138	0
K00140	3.5093934
K00141	0
K00145	48.4173071
K00146	0.0170399
K00147	92.1563137
K00148	0.0138509
K00150	0.0190016
K00151	1.45926
K00152	0
K00153	0.3525913
K00154	0.2677276
K00155	1.1678382
K00156	1.1666367
K00158	19.6038621
K00161	54.7012002
K00162	54.9971782
K00163	28.4024612
K00164	32.2576506
K00166	0.315873
K00167	0.3155373
K00169	0.7157612
K00170	0.6873296
K00171	0.6481528
K00172	0.7086533
K00174	17.9594502
K00175	17.9945622
K00176	16.7002072
K00177	16.714312
K00178	0
K00179	0.7185321
K00180	0.7114242
K00183	2.2976328
K00184	11.7355173
K00185	8.5811589
K00192	0.003554
K00193	0.003554
K00194	1.3621426
K00195	0.003554
K00196	1.9919037
K00197	1.3621426
K00198	6.9809363
K00200	0
K00201	0
K00202	0
K00203	0
K00207	0
K00208	47.0679329
K00209	0.003554
K00210	3.6771812
K00215	86.6680918
K00216	0.0459198
K00217	0
K00218	0
K00219	1.8160473
K00220	0
K00221	0
K00224	8.9082415
K00226	133.0574611
K00228	2.8636162
K00230	4.534033
K00231	1.3099303
K00232	0.5187216
K00239	37.1702354
K00240	35.9611371
K00241	27.7319468
K00242	16.9052147
K00243	53.2160779
K00244	47.8967872
K00245	26.3637731
K00246	26.3673271
K00247	10.4787528
K00248	1.4554389
K00249	1.4458199
K00252	5.3044771
K00253	0.0985826
K00255	0
K00256	0
K00257	11.8141731
K00258	0.7785588
K00259	21.9599092
K00260	15.8621814
K00261	2.6875463
K00262	74.2308056
K00263	2.4335722
K00265	12.3345526
K00266	25.2378632
K00270	0
K00271	0.0391768
K00274	2.0231861
K00275	30.2060537
K00276	0.1175304
K00278	22.4233563
K00280	0
K00281	20.1573222
K00282	1.6519177
K00283	1.6448098
K00284	2.846297
K00285	18.3234059
K00286	94.7047769
K00287	83.4418647
K00290	19.9932964
K00292	0.3892794
K00293	0
K00294	5.1065148
K00297	67.9086222
K00298	0.1924689
K00299	0.6870747
K00301	0.1210844
K00302	0.0619975
K00303	0.3583975
K00304	0.013486
K00305	0.013486
K00309	0.3928334
K00311	16.5742874
K00313	3.9482123
K00315	0
K00316	1.9863522
K00317	7.7827558
K00318	4.7785543
K00320	0.0391768
K00322	0.0783536
K00324	29.446724
K00325	27.9237257
K00329	0.0444847
K00330	36.0819561
K00331	35.8903201
K00332	33.7393375
K00333	33.8756474
K00334	36.0455773
K00335	38.8767901
K00336	36.5372687
K00337	36.0681052
K00338	35.9861976
K00339	34.992839
K00340	34.0386573
K00341	34.7559179
K00342	36.0609973
K00343	36.0645512
K00344	1.1222232
K00346	30.8651755
K00347	30.8722834
K00348	30.8722834
K00349	30.8722834
K00350	30.8722834
K00351	30.8722834
K00353	0
K00354	0.9898046
K00355	10.712887
K00356	7.8767081
K00358	11.679653
K00359	14.470297
K00362	0.6203563
K00363	0.510017
K00364	42.6231764
K00365	0
K00366	0.1057857
K00367	0.2290363
K00368	14.4308406
K00370	1.1339071
K00371	1.1339071
K00372	0.1985017
K00373	1.1339071
K00374	1.1082822
K00375	10.3891262
K00376	8.7751227
K00378	2.250265
K00380	24.2736254
K00381	16.7850981
K00382	124.8314081
K00383	63.1822875
K00384	173.2556418
K00385	0.2997762
K00387	0
K00389	1.3290177
K00390	20.0207585
K00392	1.3433612
K00394	0.3371037
K00395	0.3406577
K00404	32.0210356
K00405	32.0210356
K00406	26.6467111
K00407	23.1409558
K00411	32.4044181
K00412	32.4305276
K00413	32.4044181
K00423	0
K00425	37.1650585
K00426	36.8080753
K00427	0.003554
K00428	41.4306487
K00432	57.4142849
K00433	3.3139165
K00435	1.197017
K00436	0
K00441	0.1410921
K00442	0
K00446	0.0142158
K00448	0.2418039
K00449	0.6619785
K00450	0.2309355
K00451	3.2000673
K00452	2.8433872
K00453	3.3099046
K00455	1.3381756
