function.	skin_16
K00001	37.3335841
K00002	0.9018759
K00003	99.765699
K00004	0
K00005	4.9732475
K00007	0
K00008	65.1767683
K00009	74.2022837
K00010	14.4300144
K00011	0
K00012	16.3562478
K00013	87.5022197
K00014	97.3352829
K00015	0
K00016	187.8144477
K00018	0.2083333
K00019	4.1922416
K00020	0.9018759
K00021	0
K00023	0
K00024	31.589496
K00027	127.68295
K00028	0.1041341
K00029	1.5625
K00030	0
K00031	95.1967492
K00032	0
K00033	95.7113856
K00034	13.4427611
K00035	0
K00036	93.9987837
K00038	0
K00039	0
K00040	9.018759
K00041	0.9018759
K00042	0
K00043	0
K00045	0
K00046	0.9111736
K00048	0
K00050	0
K00052	93.7835329
K00053	95.7825687
K00054	78.0653871
K00055	0
K00057	103.6199804
K00058	100.0446297
K00059	217.3529696
K00060	11.7243867
K00064	0
K00065	0.9018759
K00066	0
K00067	5.731096
K00068	2.9394212
K00073	3.8407889
K00074	1.998495
K00075	100.0000008
K00076	1.6666667
K00077	186.9365491
K00082	0
K00086	0
K00087	0
K00088	125.252526
K00090	0
K00091	0.0260335
K00094	0
K00096	23.4617902
K00097	5.065837
K00098	0
K00099	18.1337182
K00100	0.5468343
K00101	1.0060426
K00102	0
K00103	0
K00104	3.6912278
K00105	0.5467042
K00106	0
K00108	74.8953831
K00111	94.1847049
K00112	11.7243867
K00113	11.7243867
K00114	0
K00116	172.5817717
K00117	0
K00118	0
K00119	0
K00121	1.9594447
K00122	57.6118331
K00123	82.582823
K00124	1.7708334
K00126	0
K00127	1.6666667
K00128	245.757578
K00129	0
K00130	76.6991349
K00131	0.7940227
K00132	0
K00133	99.6745491
K00134	180.6565672
K00135	24.7219403
K00137	0
K00138	0
K00140	12.6262626
K00141	0
K00145	80.6568607
K00146	0
K00147	15.3211887
K00148	0
K00150	0
K00151	0
K00152	0
K00153	0.9018759
K00154	0
K00155	0
K00156	10.8225108
K00158	82.0010123
K00161	106.0808387
K00162	106.0808387
K00163	12.6262626
K00164	93.282829
K00166	80.6565664
K00167	80.6565664
K00169	3.7878788
K00170	3.7878788
K00171	0
K00172	3.7878788
K00174	94.9494957
K00175	94.9494957
K00176	1.6666667
K00177	1.6666667
K00179	0
K00180	0
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0.2083333
K00200	0
K00201	0
K00202	0
K00207	0
K00208	94.845329
K00209	0
K00210	0
K00211	0
K00214	0
K00215	105.7682875
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	1.9203944
K00224	0.9375
K00226	114.3742291
K00228	0
K00230	0.9018759
K00231	104.1053398
K00232	0
K00239	107.1590916
K00240	107.1590916
K00241	106.3257583
K00242	0
K00243	85.6940547
K00244	9.8038313
K00245	1.6666667
K00246	1.6666667
K00247	0
K00248	0
K00249	0
K00252	67.2528556
K00253	0
K00254	0
K00255	0
K00256	0
K00257	27.8915647
K00258	0
K00259	170.8853646
K00260	86.3648396
K00261	0.1041667
K00262	13.1693779
K00263	5.7611833
K00265	91.2027096
K00266	93.748104
K00270	0
K00271	0
K00273	0
K00274	11.7243867
K00275	0.9018759
K00276	0
K00278	4.7041227
K00279	0
K00280	0.9018759
K00281	12.6262626
K00282	84.4444452
K00283	86.3648396
K00284	0
K00285	1.1102092
K00286	96.879631
K00287	106.0409454
K00290	1.3671184
K00292	0
K00293	0
K00294	80.6565664
K00297	14.4880181
K00298	0
K00299	61.3359794
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00309	0
K00311	0
K00313	9.9206349
K00314	0
K00315	0
K00316	0.2083333
K00317	32.8549737
K00318	92.3809531
K00320	0
K00322	0
K00324	12.6262626
K00325	12.6262626
K00329	0
K00330	14.2929293
K00331	14.2929293
K00332	24.0052309
K00333	24.9071068
K00334	17.9766414
K00335	18.1849748
K00336	14.2929293
K00337	14.2929293
K00338	24.2135642
K00339	14.1887626
K00340	14.084596
K00341	14.1887626
K00342	14.2929293
K00343	14.2929293
K00344	0
K00346	0
K00347	3.7878788
K00348	3.7878788
K00349	3.7878788
K00350	3.7878788
K00351	3.7878788
K00353	0
K00354	0.1041667
K00355	0.2863689
K00356	0.2082683
K00358	8.5539614
K00359	4.1922416
K00360	0
K00362	78.736172
K00363	79.6380479
K00364	79.8165635
K00365	0
K00366	0
K00367	0
K00368	12.6262626
K00370	85.7178939
K00371	89.5586828
K00372	0
K00373	90.4605587
K00374	89.5586828
K00375	100.1267717
K00376	0.3125
K00378	4.6897547
K00380	78.9445053
K00381	15.3631555
K00382	205.9868336
K00383	24.5223964
K00384	183.5598267
K00385	0
K00386	0
K00387	0
K00389	0
K00390	17.1669073
K00392	1.8037518
K00394	0
K00395	0
K00397	0
K00404	1.5625
K00405	1.5625
K00406	1.6666667
K00407	1.5625
K00410	0
K00411	1.6666667
K00412	1.6666667
K00413	1.6666667
K00423	0
K00425	91.0435579
K00426	94.8843468
K00427	0
K00428	2.8125001
K00432	147.919228
K00433	0.0781006
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0
K00448	0
K00449	0
K00450	0
K00451	0
K00452	0
K00453	0
K00455	0
K00456	0
K00457	0
K00459	70.8008665
K00462	0
K00464	0
K00466	0
K00467	0
K00468	0
K00469	0
K00470	0
K00471	0
K00472	0
K00476	0
K00477	0
K00478	0
K00479	0
K00480	0
K00481	0
K00483	0
K00484	0
K00485	0
K00486	0
K00491	80.6565664
K00492	13.4427611
K00493	0
K00494	0
K00495	0
K00496	0
K00499	0
K00500	0
K00504	0
K00505	0
K00507	0
K00508	0
K00510	55.6914387
K00514	0
K00517	0.9929933
K00518	0
K00520	5.8132504
K00523	0
K00524	0
K00525	112.2054996
K00526	101.6168149
K00527	95.2862224
K00528	0
K00529	0
K00530	0
K00531	0
K00532	0
K00533	0
K00534	0
K00535	0
K00537	10.0445422
K00538	0
K00539	0
K00540	113.5440185
K00543	0
K00547	84.1036415
K00548	3.6075036
K00549	87.7158281
K00554	98.0926231
K00555	0
K00556	0
K00557	1.2109172
K00558	21.6807095
K00559	0
K00560	98.3862442
K00561	34.6842508
K00563	13.4333021
K00564	13.8888889
K00566	99.7462731
K00567	97.0470545
K00568	0.1041667
K00569	0
K00570	0
