function.	GI_1
K00001	55.204007
K00002	0.073046
K00003	96.4450936
K00004	0
K00005	12.8999269
K00007	0
K00008	1.6070124
K00009	0.5843682
K00010	1.9235452
K00011	0
K00012	105.3723607
K00013	99.4156317
K00014	102.0818114
K00015	0
K00016	85.8095933
K00018	4.3427597
K00019	169.5325053
K00020	142.8487946
K00021	0
K00023	89.1891891
K00024	99.2277991
K00027	6.5010957
K00028	0
K00029	246.216216
K00030	1.3878744
K00031	107.1658144
K00032	0
K00033	5.0714807
K00034	8.9189189
K00035	0
K00036	4.8523427
K00038	0
K00039	0
K00040	10.477234
K00041	3.3514209
K00042	36.1869978
K00043	17.9839299
K00045	0
K00046	131.3659604
K00048	6.6715364
K00050	0
K00052	133.6790844
K00053	98.6729972
K00054	8.9189189
K00055	9.0650109
K00057	99.8539079
K00058	217.5651325
K00059	1046.3633507
K00060	0
K00064	0
K00065	2.3009496
K00066	0
K00067	106.4210928
K00068	1.1687363
K00073	0
K00074	237.6503528
K00075	99.099099
K00076	0.146092
K00077	141.493617
K00082	0
K00086	0.8035062
K00087	1.8504991
K00088	102.3896482
K00090	0
K00091	0.5965425
K00094	0
K00096	1.5461407
K00097	140.9544678
K00098	8.9189189
K00099	99.9999999
K00100	6.868065
K00101	196.216216
K00102	53.5865595
K00103	0
K00104	91.0153396
K00105	0
K00108	53.5135135
K00111	93.5354272
K00112	0
K00113	0
K00114	0
K00116	8.9189189
K00117	8.9189189
K00118	0
K00119	0
K00121	89.6274652
K00122	71.3513513
K00123	134.3681518
K00124	115.9459458
K00126	62.4324324
K00127	151.6216215
K00128	367.0635497
K00130	8.9919649
K00131	1.8261505
K00132	1.0956903
K00133	100.36523
K00134	101.0956902
K00135	365.6756753
K00137	0
K00138	0
K00140	241.334307
K00141	8.9189189
K00145	116.7421474
K00146	0
K00147	99.1964937
K00148	0
K00150	0
K00151	35.6756756
K00152	0
K00153	0
K00154	0
K00155	0
K00156	57.3745173
K00158	0
K00161	54.7552958
K00162	54.7552958
K00163	178.3783782
K00164	89.1891891
K00166	8.9189189
K00167	8.9189189
K00169	0.5843682
K00170	0.5843682
K00171	0.5113221
K00172	0.5843682
K00174	13.409162
K00175	13.7865665
K00176	7.3898222
K00177	7.0976382
K00179	8.2298515
K00180	8.2298515
K00184	0.073046
K00185	0.073046
K00194	1.120039
K00196	1.2417823
K00197	1.120039
K00198	4.8453859
K00200	0
K00201	0
K00202	0
K00207	0
K00208	175.0109567
K00209	0
K00210	2.3166023
K00215	101.5339663
K00216	0
K00217	8.9189189
K00218	0
K00219	26.9028488
K00220	0
K00221	0
K00224	0
K00226	108.7133464
K00228	89.1891891
K00230	0.8035062
K00231	3.0888031
K00232	0
K00239	105.3883612
K00240	95.264183
K00241	94.5945945
K00242	89.1891891
K00243	9.1672754
K00244	107.9035791
K00245	8.9189189
K00246	8.9189189
K00247	8.9189189
K00248	2.8487947
K00249	169.4594593
K00252	133.7837836
K00253	62.4324324
K00255	0
K00256	0
K00257	244.2648438
K00258	0
K00259	4.8523427
K00260	0.8765522
K00261	89.3352811
K00262	95.7682005
K00263	0
K00265	92.4971302
K00266	109.3394552
K00270	0
K00274	10.3798393
K00275	92.2779922
K00276	0
K00278	19.3644996
K00280	0
K00281	94.5945945
K00282	1.3878744
K00283	1.3148283
K00284	0.4382761
K00285	445.9459455
K00286	145.5859333
K00287	98.7460432
K00290	4.6766844
K00292	0
K00294	27.5289575
K00297	99.8347768
K00298	0.6574142
