function.	air_12
K00001	15.8098507
K00002	10.0410491
K00003	99.4737221
K00004	26.0174419
K00005	61.174919
K00007	0
K00008	9.5123627
K00009	13.0341341
K00010	24.6966696
K00011	0
K00012	91.6361087
K00013	98.3326381
K00014	182.6543772
K00015	0
K00016	169.1039604
K00018	0.4370629
K00019	4.70885
K00020	2.0356823
K00021	4.0026834
K00023	0
K00024	89.5997365
K00027	24.4433316
K00028	0.0396511
K00029	0.4807692
K00030	0.0874126
K00031	99.1682286
K00032	0
K00033	99.3450492
K00034	2.0032051
K00035	0
K00036	103.2740949
K00038	4.0026834
K00039	0
K00040	6.6533757
K00041	0.3402847
K00042	0.0437063
K00043	0
K00045	12.0080501
K00046	54.8202352
K00048	0.305944
K00050	0.1311189
K00052	103.6046277
K00053	99.792733
K00054	11.9664056
K00055	2.0013417
K00057	102.3561951
K00058	99.9576775
K00059	72.5110729
K00060	0.4464285
K00064	0
K00065	0.2091658
K00066	0
K00067	55.0352585
K00068	0.3651203
K00073	0.5723443
K00074	30.9042175
K00075	105.9166124
K00076	0
K00077	103.9923756
K00082	0
K00086	0
K00087	0.1748252
K00088	235.051431
K00090	0
K00091	0.0536191
K00094	0
K00096	1.1163449
K00097	0.2684815
K00098	58.0389088
K00099	86.0272963
K00100	14.4086059
K00101	20.4411141
K00102	0
K00103	0
K00104	6.3776098
K00105	0.2081681
K00106	0
K00108	81.2076732
K00111	87.5455213
K00112	0.9271977
K00113	0.8834915
K00114	0
K00116	111.570721
K00117	0
K00118	0
K00119	0
K00121	0.5195728
K00122	8.5851649
K00123	19.6707847
K00124	4.3523337
K00126	0
K00127	0.0874126
K00128	72.2129615
K00129	0
K00130	59.261596
K00131	0.389752
K00132	0.0874126
K00133	99.9594477
K00134	196.031875
K00135	210.3032324
K00137	0
K00138	0
K00140	18.6239632
K00141	0
K00145	97.1000434
K00146	6.004025
K00147	87.92715
K00148	2.0013417
K00150	0
K00151	4.0026834
K00152	0
K00153	24.0504408
K00154	0
K00155	0
K00156	88.4711219
K00158	12.2220885
K00161	18.7054419
K00162	18.7054419
K00163	87.0192307
K00164	22.9874776
K00166	12.0192308
K00167	12.0192308
K00169	0.2185315
K00170	0.0874126
K00171	0.0874126
K00172	0.1748252
K00174	12.5437063
K00175	12.5437063
K00176	0
K00177	0.0437063
K00179	0.2185315
K00180	0.2185315
K00184	0
K00185	0
K00194	0.0437063
K00196	0
K00197	0.0437063
K00198	0.0874126
K00200	0
K00201	0
K00202	0
K00207	0
K00208	12.9807692
K00209	0.0437063
K00210	0
K00211	0
K00214	0
K00215	100.2826747
K00216	8.0053667
K00217	10.0067084
K00218	0
K00219	10.0067084
K00220	0
K00221	0.2861722
K00224	0
K00226	102.8386164
K00228	0
K00230	0.1654595
K00231	98.9697802
K00232	12.0080501
K00239	99.1695804
K00240	99.0821678
K00241	97.0371198
K00242	0
K00243	12.9321065
K00244	1.8863439
K00245	0.4807692
K00246	0.4807692
K00247	0.4807692
K00248	0.1748252
K00249	18.0120751
K00252	36.0483367
K00253	0
K00254	0
K00255	0
K00256	0
K00257	18.0501427
K00258	0
K00259	63.315626
K00260	12.305403
K00261	4.0026834
K00262	85.724753
