function.	oral_15
K00001	18.3612964
K00002	0
K00003	83.6533928
K00004	58.8235294
K00005	15.8277744
K00007	0
K00008	0.0816994
K00009	7.3259888
K00010	2.4435532
K00011	0
K00012	26.7328685
K00013	76.4476176
K00014	103.627543
K00015	0
K00016	29.7116098
K00018	25.415924
K00019	4.9120679
K00020	26.2254902
K00021	0
K00023	0
K00024	22.4041508
K00027	24.0516138
K00028	1.4554275
K00029	63.3986929
K00030	0
K00031	84.6726055
K00032	0
K00033	73.1933495
K00034	0
K00035	0
K00036	73.6650159
K00038	0
K00039	0
K00040	0.2450981
K00041	0.7352941
K00042	0.6535948
K00043	0
K00045	0.0816994
K00046	14.1238798
K00048	2.7777778
K00050	0.0816994
K00052	83.7433616
K00053	87.7500752
K00054	22.0402938
K00055	0
K00057	99.22757
K00058	38.7051996
K00059	142.8777622
K00060	0.0816994
K00064	1.9607843
K00065	0.8169935
K00066	0
K00067	81.7928374
K00068	3.5981403
K00073	0
K00074	3.1340543
K00075	99.3092693
K00076	10.4575165
K00077	12.8242706
K00082	0
K00086	0
K00087	0
K00088	99.1830067
K00090	0
K00091	0.3638569
K00094	0
K00096	0.2636278
K00097	79.3300656
K00098	0.6535948
K00099	75.2450982
K00100	5.6442993
K00101	65.1218063
K00102	0
K00103	0
K00104	11.1111113
K00105	7.6409945
K00108	0
K00111	4.248366
K00112	1.9607843
K00113	1.8419489
K00114	0
K00116	69.3998813
K00117	0
K00118	0
K00119	0
K00121	63.8850604
K00122	0
K00123	17.0157459
K00124	15.3297684
K00126	0
K00127	12.0023769
K00128	1.6013072
K00130	0.0816994
K00131	13.712014
K00132	0
K00133	95.3549291
K00134	158.7418303
K00135	70.7836399
K00137	0
K00138	0
K00140	2.2801545
K00141	0
K00145	75.4077312
K00146	0
K00147	90.2035823
K00148	0
K00150	0.0816994
K00151	0
K00152	0
K00153	0
K00154	0
K00155	0
K00156	2.6143791
K00158	6.185567
K00161	25.1002291
K00162	25.1002291
K00163	62.745098
K00164	69.9346405
K00166	0
K00167	0
K00169	0
K00170	0
K00171	0
K00172	0
K00174	12.0098041
K00175	12.0098041
K00176	11.3562093
K00177	11.3562093
K00179	1.1437909
K00180	1.1437909
K00184	7.1895425
K00185	7.1895425
K00194	0.1633987
K00196	0.0816994
K00197	0.1633987
K00198	1.5522876
K00200	0
K00201	0
K00202	0
K00207	0
K00208	77.7777779
K00209	0.1633987
K00210	13.0718954
K00215	94.0890103
K00216	0
K00217	0
K00218	0
K00219	0
K00220	0
K00221	0
K00224	5.882353
K00226	113.5410352
K00228	0
K00230	5.466429
K00231	0
K00232	0
K00239	77.9411766
K00240	74.5098041
K00241	69.2810458
K00242	58.8235294
K00243	20.0795095
K00244	21.0362419
K00245	14.3790851
K00246	14.3790851
K00247	3.9215686
K00248	0
K00249	0
K00252	2.5065696
K00253	0
K00255	0
K00256	0
K00257	26.1437909
K00258	0
K00259	14.9982236
K00260	55.5555555
K00261	3.3496732
K00262	84.9308734
K00263	0
K00265	5.9228581
K00266	11.3150151
K00270	0
K00274	0
K00275	69.8158051
K00276	0
K00278	60.5686948
K00280	0
K00281	60.7843137
K00282	0.3267974
K00283	0.3267974
K00284	0
K00285	56.8627451
K00286	90.121883
K00287	88.6808503
K00290	10.2823261
K00292	0
K00294	7.8431373
K00297	82.1094512
K00298	0
K00299	0
K00301	0
K00302	0
K00303	0
K00304	0
K00305	0
K00309	0
K00311	58.8235294
K00313	0
K00315	0
K00316	1.3071896
K00317	3.5644498
K00318	7.8431373
K00322	0
K00324	62.745098
K00325	62.7079619
K00329	0
K00330	71.2418302
K00331	71.2418302
K00332	69.9346406
K00333	69.9346406
K00334	70.9967322
K00335	75.5718956
K00336	71.6503269
K00337	71.2418302
K00338	71.2418302
K00339	70.5882354
K00340	69.9346406
K00341	70.5882354
K00342	71.2418302
K00343	71.2418302
K00344	0
K00346	68.627451
K00347	68.7091503
K00348	68.7091503
K00349	68.7091503
K00350	68.7091503
K00351	68.7091503
K00353	0
K00354	0.6535948
K00355	4.1658244
K00356	2.9108551
