function.	skin_15
K00001	37.78929
K00002	1.7118081
K00003	100.0000001
K00004	2.5620812
K00005	9.7865871
K00007	0
K00008	65.3753027
K00009	74.5312237
K00010	13.987274
K00011	0
K00012	20.9752801
K00013	92.2518161
K00014	108.8068023
K00015	0
K00016	194.093136
K00018	0
K00019	4.2682584
K00020	0.9234754
K00021	0.3941663
K00023	0
K00024	36.0774819
K00027	120.4009236
K00028	0
K00029	0
K00030	0
K00031	100.0000001
K00032	0
K00033	101.4527846
K00034	13.559322
K00035	0
K00036	100.3941664
K00038	0.3941663
K00039	0
K00040	7.855172
K00041	0.7263922
K00042	0
K00043	0
K00045	1.182499
K00046	5.3212456
K00048	0
K00050	0
K00052	98.9413819
K00053	100.0000001
K00054	77.4818403
K00055	0.1970832
K00057	103.5869138
K00058	103.6319613
K00059	209.2234925
K00060	9.4430992
K00064	0
K00065	0.7263922
K00066	0
K00067	6.0476378
K00068	2.6634383
K00073	3.874092
K00074	4.8932936
K00075	100.5912496
K00076	0
K00077	188.073653
K00082	0
K00086	0
K00087	0
K00088	133.5435555
K00090	0
K00091	0
K00094	0
K00096	18.8861985
K00097	2.905569
K00098	5.7154119
K00099	22.3210766
K00100	1.3795822
K00101	2.6972239
K00102	0
K00103	0
K00104	2.5282955
K00105	0
K00106	0
K00108	82.4427052
K00111	99.5438933
K00112	9.4430992
K00113	9.4430992
K00114	0
K00116	180.8716709
K00117	0
K00118	0
K00119	0
K00121	1.937046
K00122	58.1113802
K00123	78.270173
K00124	0.3941663
K00126	0
K00127	0
K00128	247.615294
K00129	0
K00130	81.7275749
K00131	0
K00132	0
K00133	100.0000001
K00134	189.6334255
K00135	41.8041557
K00137	0
K00138	0
K00140	11.94324
K00141	0
K00145	85.7142858
K00146	0.5912495
K00147	18.6440678
K00148	0.1970832
K00150	0
K00151	0.3941663
K00152	0
K00153	3.0913903
K00154	0
K00155	0
K00156	17.3883665
K00158	82.0823245
K00161	103.5418662
K00162	103.5418662
K00163	18.6440678
K00164	92.5108396
K00166	81.3559323
K00167	81.3559323
K00169	0
K00170	0
K00171	0
K00172	0
K00174	91.5254238
K00175	91.5254238
K00176	0
K00177	0
K00179	0
K00180	0
K00184	0
K00185	0
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0
K00201	0
K00202	0
K00207	0
K00208	91.5254238
K00209	0
K00210	0
K00211	0
K00214	0
K00215	107.9903148
K00216	0.7883327
K00217	0.9854158
K00218	0
K00219	0.9854158
K00220	0
K00221	1.937046
K00224	0
K00226	111.092967
K00228	0
K00230	0.7263922
K00231	108.7167071
K00232	1.182499
K00239	110.1694916
K00240	110.1694916
K00241	109.9724084
K00242	0
K00243	81.3559323
K00244	7.748184
K00245	0
K00246	0
K00247	0
K00248	0
K00249	1.7737485
K00252	70.3586915
K00253	0
K00254	0
K00255	0
K00256	0
K00257	29.2246185
K00258	0
K00259	171.7382737
K00260	83.2929783
K00261	0.3941663
K00262	17.7205924
K00263	6.0082212
K00265	91.0299004
K00266	92.9669464
K00270	0
K00271	0
K00273	0
K00274	9.4430992
K00275	0.9234754
K00276	0
K00278	6.2841376
K00279	0
K00280	0.7263922
K00281	15.2936539
K00282	81.3559323
K00283	83.2929783
K00284	0
K00285	2.1059744
K00286	100.7263923
K00287	107.551101
K00290	0
K00292	0
K00293	0
K00294	81.3559323
K00297	18.0528183
K00298	0
K00299	69.7787039
K00301	0.9854158
K00302	0
K00303	0
K00304	0
K00305	0
K00309	0
K00311	0
K00313	7.9903147
K00314	0
K00315	0
K00316	0
K00317	32.9297821
K00318	90.7990315
K00320	0
K00322	0
K00324	10.760741
K00325	10.9578242
K00329	0
K00330	10.1694915
K00331	10.1694915
K00332	18.1598062
K00333	18.8861985
K00334	10.1694915
K00335	10.1694915
K00336	10.1694915
K00337	10.1694915
K00338	18.1598062
K00339	10.1694915
K00340	10.1694915
K00341	10.1694915
K00342	10.1694915
K00343	10.1694915
K00344	1.9708317
K00346	0
K00347	0
K00348	0
K00349	0
K00350	0
K00351	0
K00353	0
K00354	0
K00355	0
K00356	0
K00358	8.1423504
K00359	4.0711752
K00360	0
K00362	79.8130526
K00363	80.5394449
K00364	79.4188863
K00365	0
K00366	0
K00367	0
K00368	16.2790698
K00370	87.6119152
K00371	91.4860072
K00372	0
K00373	92.2123994
K00374	91.4860072
K00375	101.3739513
K00376	0
K00378	0.7263922
K00380	79.6159695
K00381	15.4963681
K00382	213.4973818
K00383	29.5399516
K00384	181.7500987
K00385	0
K00386	0
K00387	0
K00389	1.7737485
K00390	19.5112338
K00392	4.0148657
K00394	0
K00395	0
K00397	0
K00404	0
K00405	0
K00406	0
K00407	0
K00410	0
K00411	0
K00412	0
K00413	0
K00423	0
K00425	95.1404922
K00426	99.0145843
K00427	0
K00428	0
K00432	155.4310492
K00433	0
K00435	0
K00436	0
K00437	0
K00441	0
K00446	0.1970832
K00448	1.182499
K00449	1.3795822
K00450	1.182499
K00451	0
K00452	0
K00453	0
K00455	0
K00456	0
K00457	1.182499
K00459	75.6461514
K00462	0
K00464	0
K00466	0
K00467	0
K00468	0
K00469	0
K00470	0
K00471	0
K00472	0
K00476	0
K00477	0
K00478	0
K00479	0.1970832
K00480	1.9708317
K00481	1.182499
K00483	0
K00484	0
K00485	0.5912495
K00486	0
K00491	81.3559323
K00492	14.1505716
K00493	0
K00494	0
K00495	0
K00496	0.3941663
K00499	0
K00500	0
K00504	0
K00505	0.1970832
K00507	0
K00508	6.7008278
K00510	64.4518273
K00514	0
K00517	1.3176418
K00518	0
K00520	7.7819697
K00523	0
K00524	0
K00525	110.124444
K00526	109.1840758
K00527	94.6393379
K00528	9.6570753
K00529	0
K00530	0.3941663
K00531	0
K00532	0
K00533	0
K00534	0
K00535	0
K00537	10.6706459
K00538	0
K00539	0
K00540	113.7282506
K00543	0
K00547	84.4135369
K00548	10.0005631
K00549	88.388986
K00554	98.4571204
K00555	0
K00556	0
K00557	0
K00558	17.118081
K00559	0
K00560	103.8740921
K00561	34.8668281
K00563	18.6440678
K00564	10.1694915
K00566	98.0629541
K00567	96.244158
K00568	0.3941663
K00569	0
K00570	0
K00571	47.2774369
K00573	0.9234754
K00574	11.0366575
K00575	0
K00577	0
K00584	0
K00587	0
K00588	0.3941663
K00590	0
K00594	0
K00595	17.2644856
K00596	0
K00598	0.7263922
K00599	10.2370629
K00600	100.0000001
K00602	100.0000001
K00603	0
K00604	100.3941664
K00605	96.6495862
K00606	82.2118364
K00607	0
K00608	0
K00609	100.0000001
K00610	0
K00611	180.1452786
K00612	0
K00613	7.2639225
K00614	0
K00615	100.7263923
K00616	100.7263923
K00617	0
K00619	0
K00620	86.8629991
K00624	0.5912495
K00625	81.3559323
K00626	161.7996511
K00627	104.2682584
K00631	0
K00632	35.4580776
K00633	3.874092
K00634	5.811138
K00635	0
K00638	0
K00639	84.9878935
K00640	101.1205587
K00641	90.6019484
K00643	7.748184
K00645	92.251816
K00646	0.7263922
K00647	0
K00648	92.3137565
K00651	1.937046
K00652	84.0306324
K00653	0
K00654	0
K00655	100.2871784
K00656	83.5914185
K00657	23.2445521
K00658	98.8175011
K00661	10.0850273
K00662	0
K00663	0
K00666	12.3542993
K00672	0
K00673	0
K00674	36.9671716
K00675	0.1970832
K00676	0
K00677	0
K00680	31.3587477
K00681	76.7272933
K00683	0.5912495
K00684	10.1694915
K00685	0
K00686	0
K00687	0
K00688	18.0528183
K00689	1.937046
K00690	0
K00691	0
K00692	0
K00693	0
K00694	1.6498677
K00695	0
K00696	0
K00697	17.9176755
K00698	0
K00700	19.702686
K00701	0
K00702	0
K00703	0.1970832
K00705	18.7792105
K00712	147.2154965
K00713	0
K00720	0
K00721	19.1733769
K00737	0
K00745	0
K00748	0
K00752	0
K00754	5.7829833
K00756	79.4188863
K00757	0
K00758	15.1585112
K00759	100.0000001
K00760	100.0000001
K00761	100.0000001
K00762	100.0000001
K00763	100.0000001
K00764	100.0000001
K00765	92.2518161
K00766	86.9249396
K00767	7.860803
K00768	10.124444
K00769	0
K00772	0
K00773	100.0000001
K00776	1.3795822
K00777	0
K00782	17.0674024
K00783	75.5447943
K00784	82.2794077
K00785	0
K00786	0.7883327
K00788	104.746889
K00789	103.4968186
K00790	181.9471819
K00791	100.0000001
K00793	99.2736078
K00794	99.2736078
K00795	0
K00796	109.5331946
K00797	1.3795822
K00798	16.2790698
K00799	3.874092
K00800	100.0000001
K00801	1.937046
K00803	1.8469508
K00805	100.0000001
K00806	100.0000001
K00808	0
K00809	0
K00810	0.3941663
K00812	0
K00813	0
K00817	188.4340337
K00818	7.6299341
K00819	142.857143
K00820	100.0000001
K00821	0.7263922
K00822	0
K00823	76.9975788
K00824	81.3559323
K00826	100.7263923
K00829	0
K00830	0
K00831	18.6440678
K00832	1.4527845
K00833	86.9530943
K00835	0
K00836	0.1970832
K00837	0
K00839	40.6779661
K00840	0
K00841	83.2929783
K00842	0
K00843	0
K00844	0
K00845	105.9744356
K00847	85.5791431
K00848	1.4527845
K00849	41.550763
K00850	109.4430993
K00851	95.5684443
K00852	109.5050398
K00853	83.7772398
K00854	21.6622558
K00855	0
K00856	0
K00857	90.2697225
K00858	100.0000001
K00859	100.0000001
K00860	15.4963681
K00862	0
K00863	9.6401824
K00864	100.0000001
K00865	179.4188864
K00867	18.6440678
K00868	108.5196239
K00869	79.3287911
K00870	0
K00872	99.2736078
K00873	101.7737486
K00874	24.4552058
K00875	0
K00876	90.0726393
K00878	90.7708768
K00879	0
K00880	0
K00881	0
K00882	89.8305086
K00883	0
K00884	0
K00885	0
K00886	18.6440678
K00887	0
K00891	99.0765247
K00892	0
K00895	10.1694915
K00897	6.0082212
K00899	0
K00901	79.4188863
K00903	1.937046
K00906	0
K00912	0
K00917	79.4188863
K00918	0
K00919	98.0629541
K00924	3.874092
K00925	91.2832931
K00926	153.9951575
K00927	100.0000001
K00928	177.4818404
K00929	5.811138
K00930	88.3777241
K00931	18.2499015
K00932	0
K00934	0
K00936	67.8303959
K00937	29.5399516
K00938	79.3287911
K00939	100.0000001
K00940	99.2736078
K00941	91.4578524
K00942	100.0000001
K00943	100.0000001
K00945	99.0145843
K00946	18.6440678
K00947	0
K00948	99.5157386
K00949	7.748184
K00950	98.0629541
K00951	100.0000001
K00952	0
K00954	100.0000001
K00955	0
K00956	2.3030576
K00957	4.0148657
K00958	15.4963681
K00960	0
K00962	100.0000001
K00963	106.796554
K00965	14.4490118
K00966	8.08041
K00968	0
K00969	100.0000001
K00970	18.2499015
K00971	2.1791767
K00972	8.716707
K00973	20.0968523
K00974	81.3559323
K00975	18.4469846
K00978	0.7263922
K00979	0
K00980	82.2794077
K00981	100.0000001
K00982	18.2499015
K00983	0.7263922
K00984	54.2372882
K00985	0
K00986	0
K00988	0
K00989	18.6440678
K00990	7.4891605
K00991	151.1796837
K00992	0
K00995	128.2842503
K00996	0
K00997	99.0145843
K00998	0
K00999	0
K01000	100.0000001
K01002	2.1341292
K01003	0.1970832
K01004	0
K01005	0
K01006	29.5399516
K01007	3.4236162
K01008	0.3941663
K01011	23.4022187
K01012	103.9754492
K01013	0
K01014	0
K01023	0
K01026	3.874092
K01027	0.1970832
K01028	3.9078777
K01029	4.1049609
K01031	0
K01032	0
K01034	0
K01035	0
K01036	0
K01039	0
K01040	0
K01041	1.1205586
K01042	0.3941663
K01043	0
K01046	84.295287
K01048	2.6634383
K01051	0
K01053	0
K01054	0
K01055	1.9088913
K01056	107.8833269
K01057	18.6440678
K01058	0
K01060	7.9903147
K01061	0
K01066	1.1205586
K01067	0
K01069	4.0711752
K01070	0
K01071	0
K01073	0
K01075	0
K01076	0.3941663
K01077	80.4043021
K01078	0.1970832
K01079	17.7205924
K01081	11.3688834
K01082	8.2774931
K01083	0
K01085	0
K01087	17.326426
K01089	0
K01090	46.5679374
K01091	82.4764909
K01092	103.0688666
K01093	0
K01095	0
K01096	0
K01101	1.937046
K01103	0
K01104	305.0115438
K01112	1.937046
K01113	3.1533307
K01114	60.0484262
K01115	0
K01117	0
K01118	75.5447943
K01119	9.68523
K01120	0
K01121	0
K01126	395.3488376
K01128	0
K01129	18.6440678
K01130	0.5912495
K01133	0
K01138	1.937046
K01139	0.3941663
K01141	0
K01142	27.3157273
K01143	0
K01144	0
K01145	0
K01146	0
K01147	0
K01150	0
K01151	91.5254238
K01152	0
K01153	104.6905796
K01154	141.2973705
K01155	1.937046
K01156	1.9088913
K01157	0
K01158	0
K01159	18.4469846
K01160	0
K01161	0
K01163	0
K01166	0
K01167	1.4527845
K01169	0
K01173	0
K01174	79.6159695
K01175	27.7549412
K01176	0.7263922
K01178	0
K01179	7.748184
K01180	0
K01181	0
K01182	3.3898305
K01183	0
K01184	0
K01185	0
K01186	6.5544231
K01187	98.6879892
K01190	8.716707
K01191	15.9806295
K01192	7.9903147
K01193	97.2633596
K01194	0
K01195	11.3350977
K01197	0.7263922
K01198	0
K01199	0
K01200	0
K01201	0
K01202	0
K01205	0
K01206	10.1694915
K01207	28.8586069
K01208	0.3941663
K01209	9.4430992
K01210	0
K01212	1.4527845
K01214	0
K01215	0
K01216	0
K01218	0
K01219	0
K01220	79.4188863
K01222	9.4430992
K01223	81.8570866
K01224	0
K01225	0
K01226	77.4818403
K01227	16.2227603
K01230	0
K01232	3.874092
K01233	0
K01234	0
K01235	0
K01236	3.9529253
K01238	1.937046
K01239	94.5605047
K01240	0
K01241	4.9270792
K01243	93.8172195
K01246	92.798018
K01247	7.748184
K01249	0.3941663
K01250	0.7263922
K01251	8.8068022
K01252	0
K01253	0
K01255	97.3985023
K01256	26.043133
K01258	82.0823245
K01259	18.3794132
K01261	65.8595642
K01262	38.0764683
K01263	3.874092
K01264	0
K01265	116.476153
K01266	0
K01267	0.3941663
K01269	40.2556451
K01270	0
K01271	87.5612367
K01273	0.7263922
K01274	0.1970832
K01277	0
K01278	0
K01281	0
K01283	0
K01284	9.5331945
K01286	0.3941663
K01289	0
K01295	0.7263922
K01297	0.7263922
K01299	0
K01301	0
K01303	0
K01304	82.2794077
K01305	0
K01308	0
K01317	0
K01318	52.3002422
K01322	8.5477786
K01325	0
K01338	0
K01342	0
K01343	0
K01347	0
K01354	8.4745763
K01355	0
K01356	101.0135707
K01358	121.1723634
K01361	0.7263922
K01362	49.7437919
K01364	0
K01372	6.1208401
K01376	0
K01387	0
K01390	0
K01392	0
K01399	0
K01400	0
K01401	73.6077483
K01406	0
K01407	0
K01408	0
K01409	101.9370461
K01412	0
K01414	0
K01415	0
K01416	0
K01417	45.8415452
K01419	81.3559323
K01420	5.7829833
K01421	104.639901
K01422	0
K01423	14.1505716
K01424	102.5620813
K01425	2.364998
K01426	5.7379357
K01428	83.000169
K01429	84.7401319
K01430	84.937215
K01431	0
K01432	0
K01433	12.5626443
K01434	0
K01436	16.2847007
K01437	0
K01438	18.1598063
K01439	187.4992963
K01442	81.3559323
K01443	98.0911088
K01444	0
K01446	13.559322
K01447	21.3075061
K01448	88.816938
K01449	0
K01451	14.7587139
K01452	0
K01453	0.7263922
K01454	0
K01455	7.9452672
K01457	0.1970832
K01458	0
K01459	0
K01460	0
K01461	0
K01462	189.8305087
K01463	1.937046
K01464	0.1970832
K01465	100.0000001
K01466	4.7975674
K01467	15.8905344
K01468	80.0551834
K01469	0.1970832
K01470	0.3941663
K01471	0
K01473	0.1970832
K01474	0.1970832
K01476	72.5941777
K01477	0.1970832
K01478	97.0043359
K01479	78.270173
K01480	1.937046
K01481	0
K01482	0
K01483	0
K01484	0
K01485	0.3941663
K01486	0
K01487	0
K01488	25.2097528
K01489	96.9086098
K01491	100.0000001
K01492	0
K01493	90.7990315
K01494	13.6043696
K01495	18.841151
K01496	18.4469846
K01497	0
K01498	0
K01499	0
K01500	0
K01501	0
K01502	0
K01503	0
K01504	0
K01505	0
K01506	0
K01507	19.5675432
K01512	87.0150347
K01515	99.6058338
K01518	0
K01520	70.2179177
K01521	0
K01523	18.4469846
K01524	44.1241061
K01525	0
K01529	4.8313531
K01531	0
K01533	114.6686188
K01534	24.3988964
K01535	0
K01537	0.1970832
K01539	0
K01541	0
K01545	11.622276
K01546	95.5515514
K01547	97.4885974
K01548	95.5515514
K01550	0
K01551	10.9578242
K01552	2.8943071
K01553	0
K01554	0
K01555	0
K01556	0
K01560	3.874092
K01561	0
K01563	0
K01564	0
K01565	0
K01567	0
K01568	0
K01569	0
K01571	16.4761529
K01572	0.7263922
K01573	0
K01574	1.937046
K01575	150.4814462
K01576	0
K01577	0
K01578	0
K01579	77.7127091
K01580	2.3762599
K01581	3.874092
K01582	3.874092
K01583	0
K01584	0
K01585	0
K01586	170.9837268
K01588	100.0000001
K01589	98.0629541
K01590	0
K01591	100.0000001
K01593	0
K01594	0
K01595	7.6862436
K01596	9.2009686
K01597	79.3287911
K01598	0
K01599	100.0000001
K01601	0
K01602	0
K01607	7.0724703
K01608	0
K01609	100.0000001
K01610	81.3559323
K01611	0
K01612	0
K01613	0
K01615	0
K01616	7.4891605
K01617	0
K01618	0
K01619	169.9757871
K01620	76.4682697
K01621	0
K01622	0
K01623	91.722507
K01624	101.2557014
K01625	28.0421195
K01626	19.8265668
K01627	0
K01628	2.1791767
K01629	0.7263922
K01630	0
K01631	0
K01632	0
K01633	99.2736078
K01635	79.4188863
K01636	0.1970832
K01637	2.7591644
K01638	2.5620812
K01639	79.8130526
K01640	0.3941663
K01641	77.8760066
K01643	0
K01644	20.2826736
K01646	0
K01647	110.7607411
K01649	105.0847459
K01652	167.4305988
K01653	87.6513318
K01654	0.7263922
K01655	0
K01657	92.9331608
K01658	88.6480096
K01659	1.9708317
K01661	99.8029169
K01662	22.3210766
K01664	85.4440003
K01665	77.8760066
K01666	0.1970832
K01667	7.2639225
K01668	0
K01669	81.2264205
K01671	0
K01673	20.0123881
K01674	0
K01676	0
K01677	0
K01678	0
K01679	100.0000001
K01681	99.6058338
K01682	0
K01684	3.874092
K01685	0.7263922
K01686	11.8644068
K01687	94.6731236
K01689	101.4527846
K01690	0
K01692	18.4469846
K01693	92.2518161
K01695	99.8029169
K01696	100.6250353
K01697	5.5915311
