function.	GI_4
K00001	48.42
K00002	0
K00003	69.31
K00004	19.9
K00005	24.73
K00007	2
K00008	20.79
K00009	1.68
K00010	38.56
K00011	0
K00012	33.28
K00013	66.85
K00014	89.41
K00015	2
K00016	79.37
K00018	25.5
K00019	12.32
K00020	56.47
K00021	0
K00023	12.65
K00024	24.77
K00025	0
K00027	29.84
K00028	0
K00029	34.22
K00030	5
K00031	67.74
K00032	0
K00033	44.08
K00034	0.5
K00036	39.1
K00038	0
K00039	0
K00040	19.45
K00041	4.39
K00042	13.83
K00043	0
K00045	0
K00046	16.77
K00048	19.28
K00050	3.1
K00052	70.05
K00053	85.59
K00054	3.92
K00055	0.27
K00057	55.05
K00058	100.06
K00059	167.96
K00060	14.84
K00064	0
K00065	18.81
K00066	0
K00067	39.34
K00068	16.62
K00073	0
K00074	39.62
K00075	58.14
K00076	0
K00077	52.11
K00078	0
K00082	0.5
K00086	4.55
K00087	1.02
K00088	90.66
K00090	2.55
K00091	0.55
K00094	0
K00096	51.57
K00097	34.88
K00098	3.33
K00099	70.86
K00100	49.25
K00101	15.98
K00102	10.69
K00103	0
K00104	39.81
K00105	0
K00108	21.64
K00111	26.35
K00112	0.4
K00113	0
K00114	0
K00116	2
K00117	3.33
K00118	0
K00121	9.49
K00122	0
K00123	30.01
K00124	23.18
K00125	0
K00126	10.99
K00127	20.92
K00128	81.14
K00130	6.87
K00131	2.7
K00132	1.67
K00133	71.46
K00134	73.19
K00135	33.06
K00137	0
K00138	5.66
K00140	24.14
K00141	0
K00145	71.01
K00146	0
K00147	68.29
K00148	2
K00150	2.85
K00151	3.66
K00153	0
K00154	2
K00156	21.33
K00158	0.36
K00161	46.13
K00162	46.13
K00163	15.98
K00164	23.33
K00166	17.67
K00167	17.67
K00169	3.08
K00170	3.08
K00171	2.58
K00172	3.08
K00174	22.9
K00175	22.9
K00176	21.08
K00177	21.2
K00179	24.28
K00180	19.72
K00183	2.38
K00184	21.26
K00185	18.46
K00194	0.47
K00196	7.31
K00197	0.67
K00198	22.92
K00200	0
K00201	0
K00202	0
K00208	44.66
K00209	1.32
K00210	0
K00215	71.58
K00216	0
K00217	0
K00218	0
K00219	3.32
K00220	0
K00221	0
K00226	21.94
K00227	0
K00228	8.99
K00230	1.64
K00231	0
K00232	0
K00239	43.1
K00240	46.22
K00241	23.83
K00242	8.99
K00243	7.98
K00244	11.5
K00245	1.34
K00246	0.9
K00247	0
K00248	18.75
K00249	40.61
K00252	8.99
K00253	8.99
K00254	23.83
K00256	0
K00257	44.61
K00259	2.03
K00260	0.93
K00261	25.99
K00262	49.31
K00263	2.2
K00265	43
K00266	76.5
K00273	0
K00274	4.39
K00275	25.33
K00276	0
K00278	60.99
K00280	0
K00281	23.83
K00282	17.06
K00283	17.06
K00284	5.28
K00285	44.95
K00286	72.7
K00287	68.43
K00288	0
K00290	39.28
K00293	0
K00294	0
K00297	62.68
K00298	0.28
K00299	9.46
K00301	0
K00302	2.47
K00303	9.32
K00304	2
K00305	2
K00311	8.99
K00313	1.65
K00316	0
K00317	2
K00318	0
K00322	0
K00324	54.64
K00325	27.32
K00330	24.38
K00331	24.38
K00332	23.88
K00333	23.88
K00334	30.5
K00335	29.73
K00336	33.9
K00337	25.28
K00338	24.38
K00339	24.38
K00340	23.83
K00341	24.38
K00342	24.38
K00343	24.38
K00344	25.37
K00346	0.5
K00347	0.5
K00348	0.5
K00349	0.5
K00350	0.5
K00351	0.5
K00354	0.67
K00355	23.64
K00356	21.99
K00362	25.99
K00363	8.99
K00364	0.59
K00365	0
K00366	7.79
K00367	0
K00368	0
K00370	3.33
K00371	3.33
K00372	9.07
K00373	3.33
K00374	4.23
K00375	65.76
K00376	0
K00380	21.33
K00381	23.33
K00382	88.94
K00383	8.99
K00384	144.8
K00385	8.43
K00387	0
K00389	0.75
K00390	25.83
K00392	0.55
K00394	5.2
K00395	5.2
K00404	10.65
K00405	6.99
K00406	6.99
K00407	6.99
K00411	8.99
K00412	8.99
K00413	8.99
K00425	39.21
K00426	39.21
K00427	0
K00428	19.67
K00432	20.31
K00433	3.04
K00435	0
K00436	0
K00437	0.9
K00441	0
K00446	0
K00448	2
K00449	2
K00450	10.32
K00451	8.99
K00452	0
K00453	8.99
K00455	0
K00456	0
K00457	10.99
K00459	31.3
K00466	0
K00467	0
K00469	0
K00471	0
K00472	2
K00476	0
K00477	8.99
K00479	2
K00480	13.98
K00481	2
K00483	0
K00484	0
K00486	0
K00491	0
K00493	0
K00496	0
K00499	0
K00500	2
K00505	0
K00507	16.99
K00508	0
K00510	0.1
K00517	2
K00520	0
K00523	12.65
K00525	69.37
K00526	34.38
K00527	71.48
K00528	72.95
K00529	9.32
K00531	0.55
K00532	1.15
K00533	2.16
K00534	1.3
K00537	60.72
K00543	0
K00547	4.82
K00548	52.03
K00549	36.19
K00554	71.78
K00556	1.4
K00557	0.71
K00558	53.78
K00560	67.74
K00561	1.41
K00563	20.02
K00564	4.44
K00566	53.93
K00567	60.35
K00568	11.82
K00569	8.99
K00570	0
K00571	18.68
K00573	33.88
K00574	33.41
K00575	72.53
K00584	0.2
K00588	0.16
K00590	0.1
K00595	2.21
K00596	0
K00598	45.19
K00600	53.93
K00602	73.41
K00603	1.33
K00604	79.16
K00605	41.22
K00606	31.57
K00608	0
K00609	76.72
K00610	28.03
K00611	64.78
K00612	5.33
K00613	0.94
K00615	160.69
K00616	50.48
K00619	0.9
K00620	67.07
K00621	0
K00625	45.43
K00626	66.92
K00627	44.74
K00631	0
K00632	15.98
K00633	23.42
K00634	7.65
