function.	oral_14
K00001	9.03
K00002	2.64
K00003	161.18
K00004	29.7
K00005	85.19
K00007	0
K00008	2.55
K00009	6.29
K00010	3.04
K00011	0
K00012	40.81
K00013	96.99
K00014	194.41
K00015	0
K00016	125.32
K00018	47.43
K00019	1.32
K00020	43.17
K00021	0
K00023	0
K00024	68.63
K00025	0.25
K00027	55.53
K00028	0.8
K00029	95.26
K00030	0.96
K00031	150.29
K00032	0
K00033	134.05
K00034	1.09
K00036	140.6
K00038	0
K00039	0
K00040	1.99
K00041	0.93
K00042	0.89
K00043	0
K00045	2.3
K00046	6.38
K00048	1.18
K00050	0.79
K00052	169.08
K00053	172.14
K00054	96.01
K00055	0.25
K00057	187.72
K00058	162.96
K00059	321.09
K00060	1.29
K00064	0.66
K00065	0.2
K00066	0
K00067	126.92
K00068	5.27
K00073	8.5
K00074	20.56
K00075	188.47
K00076	20.61
K00077	90.7
K00078	0
K00082	0
K00086	0.62
K00087	0.2
K00088	191.31
K00090	0
K00091	0.42
K00094	0.33
K00096	0.7
K00097	77.9
K00098	0.51
K00099	92.21
K00100	15.72
K00101	50.58
K00102	0
K00103	0
K00104	45.33
K00105	78.65
K00108	0
K00111	22.18
K00112	19.56
K00113	19.56
K00114	0
K00116	83.99
K00117	1.45
K00118	0.66
K00121	42.45
K00122	0
K00123	123
K00124	59.85
K00125	0.12
K00126	0
K00127	59.51
K00128	13.85
K00130	0
K00131	77.98
K00132	0.12
K00133	187.47
K00134	233.21
K00135	47.79
K00137	0
K00138	2.63
K00140	2.53
K00141	0
K00145	91.96
K00146	0
K00147	181.14
K00148	0
K00150	0
K00151	2.35
K00153	0
K00154	0.91
K00156	1.48
K00158	8.39
K00161	98.57
K00162	98.57
K00163	49.45
K00164	57.63
K00166	0
K00167	0
K00169	2.29
K00170	2.29
K00171	2.29
K00172	2.58
K00174	44.29
K00175	44.29
K00176	43.18
K00177	43.18
K00179	3.72
K00180	1.72
K00183	0
K00184	14.2
K00185	14.2
K00194	2.55
K00196	2.55
K00197	2.75
K00198	9.75
K00200	0
K00201	0
K00202	0
K00208	92.41
K00209	11.58
K00210	29
K00215	187.14
K00216	0
K00217	0
K00218	0
K00219	2.56
K00220	0
K00221	0
K00226	81.4
K00227	0
K00228	5.67
K00230	18.85
K00231	9.2
K00232	0.27
K00239	70.03
K00240	70.95
K00241	71.41
K00242	29.25
K00243	97.23
K00244	131.06
K00245	57.04
K00246	57.04
K00247	18.35
K00248	4.18
K00249	0.27
K00252	8.43
K00253	0
K00254	95.73
K00256	0
K00257	43.34
K00259	25.3
K00260	29.48
K00261	11.29
K00262	152.89
K00263	4.15
K00265	37.03
K00266	49.07
K00273	0
K00274	2.1
K00275	53.9
K00276	0
K00278	33.35
K00280	0
K00281	38.03
K00282	11.87
K00283	11.58
K00284	6.04
K00285	32.72
K00286	189.24
K00287	146.92
K00288	0
K00290	111.74
K00293	0
K00294	8.82
K00297	164.03
K00298	0.77
K00299	2.2
K00301	0
K00302	0.12
K00303	0.81
K00304	0
K00305	0
K00311	29.25
K00313	5.62
K00316	4
K00317	0
K00318	8.4
K00322	0
K00324	50.1
K00325	49.6
K00330	73.93
K00331	73.93
K00332	69.35
K00333	69.35
K00334	43.7
K00335	70.8
K00336	74.4
K00337	73.93
K00338	73.93
K00339	73.93
K00340	73.93
K00341	73.93
K00342	73.93
K00343	73.93
K00344	1.78
K00346	54.76
K00347	54.77
K00348	55.03
K00349	54.76
K00350	54.76
K00351	54.76
K00354	5.5
K00355	71.59
K00356	0.8
K00362	1
K00363	1.27
K00364	88.45
K00365	0
K00366	0.35
K00367	1
K00368	54.5
K00370	0.97
K00371	0.97
K00372	0.75
K00373	0.97
K00374	0.97
K00375	21.6
K00376	7.37
K00380	46.01
K00381	29.87
K00382	220.56
K00383	118.88
K00384	334.43
K00385	0.55
K00387	0
K00389	3.81
K00390	36.36
K00392	2.26
K00394	0.26
K00395	0.26
K00404	68.76
K00405	66.14
K00406	72.57
K00407	57.57
K00411	67.69
K00412	67.69
K00413	67.69
K00425	65.2
K00426	65.19
K00427	3.71
K00428	101.4
K00432	120.46
K00433	2.46
K00435	2.88
K00436	0
K00437	0
K00441	0
K00446	0
K00448	0
K00449	1.33
K00450	0
K00451	5.62
K00452	5.42
K00453	5.42
K00455	2.35
K00456	0
K00457	5.62
K00459	70.91
K00466	0
K00467	0
K00469	0.27
K00471	0
K00472	0
K00476	0.17
K00477	0
K00479	0
K00480	0
K00481	0
K00483	2.6
K00484	44.95
K00486	5.42
K00491	0
K00493	0
K00496	0
K00499	0
K00500	5.42
K00505	0
K00507	1.5
K00508	6.14
K00510	0.66
K00517	1.31
K00520	0.25
K00523	29.25
K00525	200.57
K00526	190.94
K00527	128.78
K00528	64.12
K00529	0
K00531	0
K00532	0.55
K00533	0.14
K00534	0.14
K00537	221.24
K00543	0
K00547	74.43
K00548	25.28
K00549	191.06
K00554	188.47
K00556	8.7
K00557	87.09
K00558	437.51
K00560	148.88
K00561	68.48
K00563	87.05
K00564	107.77
K00566	226.15
K00567	190.85
K00568	45.15
K00569	0.93
K00570	0
K00571	196.41
K00573	76.39
K00574	34.88
K00575	44.87
K00584	0.2
K00588	2.58
K00590	0
K00595	2.5
K00596	0
K00598	0.4
K00600	189.21
K00602	189.3
K00603	1.43
K00604	213.5
K00605	49.59
K00606	68.9
K00608	0
K00609	170.25
K00610	30.62
K00611	175.48
K00612	0.66
K00613	0.33
K00615	355.31
K00616	108.87
K00619	9.44
K00620	40.89
K00621	0
K00625	89.09
K00626	103.81
K00627	146.25
K00631	18.34
K00632	7.97
K00633	2.83
K00634	1.62
K00635	0
K00638	0.2
K00639	17.94
K00640	189.45
K00641	49.66
K00643	0
K00645	186.86
K00646	0
K00647	29.73
K00648	239.06
K00651	88.97
K00652	89.32
K00655	224.53
K00656	187.68
K00657	249.38
K00658	68.51
K00661	92.56
K00662	45.36
K00663	0
K00666	2.09
K00672	0
K00673	0
K00674	170.79
K00675	0.2
K00677	95.88
K00680	19.77
K00681	47.8
K00683	0.66
K00684	74.14
K00685	36.69
K00686	0
K00687	87.19
K00688	196.99
K00689	2.3
K00690	70.49
K00691	45.29
K00692	0.55
K00694	1.2
K00696	0
K00697	0
K00700	119.23
K00702	0
K00703	121.17
K00705	173.03
K00709	0
K00712	1.7
K00720	0
K00721	18.33
K00728	0
K00737	0
K00745	0
K00748	95.63
K00752	4.22
K00754	15.66
K00756	89.19
K00757	30.44
K00758	1.95
K00759	184.38
K00760	142.96
K00761	187.97
K00762	188.49
K00763	162.75
K00764	188.31
K00765	96.99
K00766	50.93
K00767	42.64
K00768	5.37
K00769	51.04
K00772	2.71
K00773	188.14
K00782	88.18
K00783	186.77
K00784	97.74
K00785	47.37
K00786	5.86
K00788	162.38
K00789	191.01
K00790	279.09
K00791	189.22
K00793	102.39
K00794	102.39
K00795	65.05
K00796	178.57
K00797	102.6
K00798	14.76
K00799	7.16
K00800	188.47
K00801	0
K00803	0
K00805	167.66
K00806	189.6
K00808	0
K00809	8.2
K00812	58.4
K00813	47.35
K00817	174.69
K00818	40.73
K00819	8.28
K00820	186.14
K00821	49.03
K00822	0
K00823	1.53
K00824	7.74
K00826	199.84
K00830	0
K00831	171.8
K00832	30.19
K00833	89.75
K00835	29
K00836	15.84
K00839	0.5
K00840	0
K00841	88.31
K00842	0
K00844	0.51
K00845	126.94
K00847	116.78
K00848	2.24
K00849	111.13
K00850	125.35
K00851	54.28
K00852	33.98
K00853	2.07
K00854	23.44
K00855	0
K00856	0
K00857	117.97
K00858	188.47
K00859	188.87
K00860	40.34
K00862	0
K00863	79.79
K00864	113.45
K00865	143.86
K00867	107.98
K00868	177.86
K00869	96.34
K00870	0
K00872	154.94
K00873	195.84
K00874	106.59
K00876	125.42
K00878	44.55
K00879	15.61
K00880	19.77
K00881	0.51
K00882	177.44
K00883	0
K00884	18.35
K00885	18.35
K00886	4.59
K00887	88.01
K00891	187.05
K00892	0
K00895	2.58
K00897	1.2
K00899	0.67
K00901	97.26
K00906	0
K00912	94.03
K00917	148.82
K00918	0
K00919	104.8
K00924	3.87
K00925	213.43
K00926	100.23
K00927	188.59
K00928	192.22
K00929	1.62
K00930	91.96
K00931	182.15
K00932	0
K00936	41.88
K00937	89.78
K00938	88.14
K00939	188.97
K00940	178.46
K00941	109.34
K00942	189.11
K00943	179.32
K00945	148.95
K00946	97.07
K00947	0
K00948	267.91
K00949	94.85
K00950	163.05
K00951	189.72
K00954	183.76
K00955	3.47
K00956	36.36
K00957	39.25
K00958	39.06
K00962	188.21
K00963	214.14
K00965	118.24
K00966	0
K00968	0.83
K00969	170.05
K00970	52.21
K00971	17.68
K00972	0
K00973	180.83
K00974	180.34
K00975	197.39
K00978	2.31
K00979	96.31
K00980	4.33
K00981	193.3
K00982	50.2
K00983	72.63
K00984	0.25
K00986	0.2
K00988	0
K00989	52.43
K00990	86.01
K00991	62.46
K00992	29.25
K00993	0
K00995	187.66
K00996	17.23
K00997	160.01
K00998	18.36
K01000	188.97
K01002	0
K01003	0
K01004	1.83
K01006	18.59
K01007	32.49
K01008	60.42
K01011	15.97
K01012	100.95
K01023	38.26
K01026	1.83
K01027	0
K01028	5.62
K01029	5.82
K01031	0
K01032	0
K01034	5.3
K01035	5.3
K01039	0.13
K01040	0.13
K01042	59.89
K01046	0.2
K01048	6.95
K01051	0.27
K01053	3.43
K01055	0
K01056	188.47
K01057	48.4
K01058	71.19
K01060	9.72
K01061	1.27
K01066	1.7
K01067	0
K01069	47.96
K01070	40.88
K01071	88.1
K01073	0
K01075	0
K01077	5.41
K01078	0
K01079	168.81
K01081	115.98
K01082	85.47
K01083	1.87
K01085	1.36
K01086	0
K01087	0
K01089	55.85
K01090	94.72
K01091	278.03
K01092	195.48
K01093	0
K01095	86.29
K01096	18.35
K01101	18.76
K01104	252.56
K01113	1.58
K01114	0.32
K01117	0
K01118	74.6
K01119	92.76
K01120	0.25
K01121	0
K01126	118.35
K01129	34.05
K01130	0.79
K01133	0
K01134	0
K01135	0
K01136	0.16
K01137	0
K01138	4.87
K01139	72.57
K01141	18.35
K01142	219.82
K01144	7.75
K01146	0
K01147	47.59
K01150	10.62
K01151	31.83
K01153	284.43
K01154	308.84
K01155	63.63
K01156	162.5
K01158	0
K01159	100.06
K01160	0.33
K01163	10.24
K01165	0
K01166	18.35
K01167	0
K01169	0
K01173	37.8
K01174	1.62
K01175	18.35
K01176	27.44
