function.	skin_1
K00001	46.27
K00002	0
K00003	107.26
K00004	8.56
K00005	5.49
K00007	1.2
K00008	88.7300000000001
K00009	42.39
K00010	67.8
K00011	0
K00012	40.35
K00013	87.98
K00014	113.27
K00015	0
K00016	174.66
K00018	5.04
K00019	3.81
K00020	41.62
K00021	0
K00023	2.33
K00024	53.45
K00025	0
K00027	96.5
K00028	0.27
K00029	14.86
K00030	0.92
K00031	95.28
K00032	0
K00033	118.99
K00034	2.16
K00035	0
K00036	87.3
K00038	0
K00039	0
K00040	0
K00041	0.5
K00042	2.91
K00043	0
K00045	0.14
K00046	4.15
K00048	0.42
K00050	1.66
K00052	95.04
K00053	97.04
K00054	52.09
K00055	0
K00057	112.31
K00058	135.05
K00059	234.11
K00060	0.62
K00064	0.45
K00065	32.92
K00066	0
K00067	23.32
K00068	0.84
K00073	0.17
K00074	7.46
K00075	112.45
K00076	1
K00077	243.54
K00078	0
K00082	1
K00086	0
K00087	0
K00088	178.75
K00090	1.5
K00091	2.46
K00094	0.17
K00096	32.67
K00097	46.82
K00098	0.5
K00099	47.55
K00100	51.08
K00101	5.79
K00102	1.75
K00104	11.71
K00105	1.92
K00106	0
K00108	51.16
K00111	119.41
K00112	33.09
K00113	33.09
K00114	0.12
K00116	103.9
K00117	0.58
K00118	0
K00121	36.09
K00122	45.79
K00123	81.68
K00124	11.72
K00126	1.38
K00127	11.64
K00128	161.34
K00130	81.64
K00131	3.75
K00132	0
K00133	109.47
K00134	160.16
K00135	42.66
K00137	0.5
K00138	2.19
K00140	38.19
K00141	1.45
K00145	87.43
K00146	2.3
K00147	50.27
K00148	0.62
K00150	1.17
K00151	1.67
K00153	0.14
K00154	1.58
K00156	1.55
K00158	81.38
K00161	94.3
K00162	94.05
K00163	37.99
K00164	83.78
K00166	47.25
K00167	47.25
K00169	10.25
K00170	10.25
K00171	10.25
K00172	10.25
K00174	89.07
K00175	89.07
K00176	9.24
K00177	9.24
K00179	0.95
K00180	0.95
K00184	0.91
K00185	0.91
K00194	0.5
K00196	0
K00197	0.5
K00198	0.5
K00200	0
K00201	0
K00202	0
K00208	92.7
K00209	2.33
K00210	1
K00214	0.67
K00215	99.89
K00216	0
K00217	0.14
K00218	1.17
K00219	1.67
K00220	0.17
K00221	0
K00226	115.9
K00227	0
K00228	2.25
K00230	1.01
K00231	80.39
K00232	0
K00239	124.29
K00240	124.91
K00241	124.3
K00242	2.58
K00243	65.25
K00244	19.99
K00245	8.84
K00246	8.84
K00247	0.85
K00248	4.08
K00249	9.39
K00252	44.15
K00253	1.58
K00254	46.39
K00255	0
K00256	0.95
K00257	52.73
K00259	133.02
K00260	61.64
K00261	1.91
K00262	42.64
K00263	0.74
K00265	89.14
K00266	92.86
K00270	0
K00271	0
K00273	0
K00274	33.17
K00275	5.09
K00276	0
K00278	70.72
K00280	0
K00281	36.74
K00282	59.67
K00283	59.67
K00284	1.79
K00285	40.79
K00286	97.41
K00287	103.05
K00288	0
K00290	10.34
K00293	0
K00294	47.96
K00297	49.82
K00298	0
K00299	76.84
K00301	0.14
K00302	0.62
K00303	0.75
K00304	0.62
K00305	0.62
K00311	2.58
K00313	33
K00314	0
K00315	0
K00316	1.83
K00317	0
K00318	48.21
K00320	0
K00322	0
K00324	38.71
K00325	36.4
K00326	0
K00329	0
K00330	44.1
K00331	44.1
K00332	43.65
K00333	43.65
K00334	60
K00335	55.75
K00336	55.07
K00337	44.1
K00338	44.1
K00339	44.1
K00340	44.1
K00341	44.1
K00342	44.35
K00343	44.1
K00344	7.44
K00346	2.88
K00347	13.13
K00348	13.13
K00349	13.13
K00350	13.13
K00351	13.13
K00354	2
K00355	3.6
K00356	1
K00360	0
K00362	50.21
K00363	48.71
K00364	50.64
K00365	0
K00366	0.92
K00367	0.67
K00368	35.47
K00370	48.65
K00371	81.15
K00372	1.46
K00373	40.63
K00374	81.15
K00375	100.27
K00376	1.07
K00380	50.59
K00381	8.45
K00382	200.37
K00383	7.51
K00384	249.43
K00385	0.75
K00387	0
K00389	0.81
K00390	42.39
K00392	33.98
K00394	0
K00395	0
K00404	10.32
K00405	9.33
K00406	10.49
K00407	4.15
K00410	0
K00411	10.57
K00412	10.57
K00413	10.57
K00423	0
K00425	87.22
K00426	92.19
K00427	1.24
K00428	18.98
K00432	99.3500000000001
K00433	0.88
K00435	0.5
K00436	0.67
K00441	0.67
K00446	0.8
K00448	1.22
K00449	1.22
K00450	0.98
K00451	1.33
K00452	0.13
K00453	2.16
K00455	0.96
K00456	0
K00457	4.9
K00459	63.48
K00462	0
K00464	0.67
K00466	0
K00467	0
K00471	0.12
K00472	0.83
K00476	0.62
K00477	1
K00479	0.62
K00480	1.73
K00481	2.14
K00483	0.72
K00484	1.84
K00486	0
K00491	46.8
K00493	0.67
K00496	0.62
K00499	0.95
K00500	1.58
K00504	0
K00505	0.5
K00507	3.92
K00508	0.34
K00510	1.14
K00514	0.67
K00517	33.42
K00518	0
K00520	0.39
K00523	3.21
K00525	114.28
K00526	79.45
K00527	70.93
K00528	6.08
K00529	1.11
K00531	0
K00532	0.5
K00533	0
K00534	0
K00537	60.92
K00543	0.5
K00544	0
K00547	48.95
K00548	41.34
K00549	75.61
K00554	112.31
K00556	1.08
K00557	9.84
K00558	70.18
K00560	92.03
K00561	0.65
K00563	35.87
K00564	79.21
K00566	122.55
K00567	143.8
K00568	4.01
K00569	0
K00570	0
K00571	60.64
K00573	13.06
K00574	11.47
K00575	14.46
K00577	0
K00584	0
K00587	0
K00588	2.17
K00590	0
K00594	0
K00595	35.76
K00596	0.58
K00598	1.84
K00600	112.48
K00602	112.84
K00603	1.58
K00604	114.98
K00605	96.74
K00606	48.12
K00608	0
K00609	112.87
K00610	15.87
K00611	146.1
K00612	1.2
K00613	0
K00615	127.32
K00616	141.4
K00619	1.34
K00620	78.14
K00621	0
K00624	0
K00625	67.42
K00626	140.23
K00627	97.56
K00631	1.35
K00632	43.92
K00633	0.25
K00634	5.96
K00635	0
K00638	0.64
K00639	52.31
K00640	114.15
K00641	83.91
K00643	0
K00645	101.96
K00646	0.5
K00647	4.62
K00648	114.19
K00651	6.93
K00652	55.42
K00655	206.48
K00656	70.69
K00657	13.54
K00658	85.19
K00661	7.51
K00662	9.18
K00663	0
K00666	50.07
K00672	0
K00673	1.37
K00674	89.72
K00675	1.25
K00677	15.9
K00680	95.3000000000001
K00681	62.33
K00683	0.14
K00684	45.15
K00685	9.57
K00686	0
K00687	44.19
K00688	56.76
K00689	0.75
K00690	2.65
K00691	1.58
K00692	0.62
K00693	0
K00694	3.09
K00695	0.67
K00696	0
K00697	35.62
K00698	0
K00700	54.74
K00701	0
K00702	0.2
K00703	21.56
K00705	87.9
K00709	0
K00712	93.1700000000001
K00713	0
K00720	2.37
K00721	39.64
K00728	0
K00737	0
K00745	0
K00748	16.12
K00752	0
K00754	44.69
K00756	51.8
K00757	15.32
K00758	1.58
K00759	112.81
K00760	114.41
K00761	112.23
K00762	111.98
K00763	112.54
K00764	112.39
K00765	88.48
K00766	87.15
K00767	39.53
K00768	37.47
K00769	8.02
K00772	1.59
K00773	112.31
K00782	44.05
K00783	78.17
K00784	53.58
K00785	1.68
K00786	0.64
K00788	158.14
K00789	112.91
K00790	164.09
K00791	113.01
K00793	97.51
K00794	97.64
K00795	4.43
K00796	142.36
K00797	6.34
K00798	39.17
K00799	28.43
K00800	111.06
K00801	0.87
K00803	33
K00805	96.49
K00806	112.31
K00808	0
K00809	1.58
K00812	14.87
K00813	1.85
K00817	140.22
K00818	42.66
K00819	83.8100000000001
K00820	113.47
K00821	3.88
K00822	2.08
K00823	80.3
K00824	49.13
K00826	110.68
K00830	0.63
K00831	49.09
K00832	38.63
K00833	55.51
K00835	1.67
K00836	1
K00839	0.17
K00840	0.13
K00841	51.59
K00842	10.75
K00844	0.75
K00845	59.89
K00847	89.3500000000001
K00848	2.62
K00849	75.66
K00850	114.66
K00851	84.34
K00852	100.4
K00853	106.54
K00854	45.08
K00855	1.34
K00856	1.58
K00857	66.6
K00858	112.98
K00859	111.23
K00860	16.65
K00862	0
K00863	35.29
K00864	91.0500000000001
K00865	177.59
K00867	37.66
K00868	133.97
K00869	51.59
K00870	0.75
K00872	62.03
K00873	113.87
K00874	11.72
K00875	0
K00876	80.38
K00878	95.12
K00879	0.84
K00880	0.51
K00881	0.5
K00882	78.08
K00883	0.95
K00884	0.85
K00885	0.85
K00886	32.97
K00887	11.45
K00891	67.26
K00892	0
K00895	33.7
K00897	1.25
K00899	0.25
K00901	66.71
K00906	1.58
K00912	14.45
K00917	62.12
K00918	0
K00919	107.75
K00924	1.23
K00925	111.85
K00926	100.77
K00927	112.81
K00928	156.31
K00929	0.99
K00930	86.52
K00931	49.77
K00932	0
K00936	27.44
K00937	62.93
K00938	50.68
K00939	112.98
K00940	96.69
K00941	106.68
K00942	111.97
K00943	110.7
K00945	103.27
K00946	46.59
K00947	0
K00948	149.86
K00949	66.55
K00950	96.68
K00951	115.21
K00952	0
K00954	112.31
K00955	0
K00956	36.23
K00957	36.48
K00958	14.57
K00960	0
K00962	112.31
K00963	111.16
K00965	9.16
K00966	1.14
K00968	0.25
K00969	151.32
K00970	37.99
K00971	37.72
K00972	40.52
K00973	44.08
K00974	66.98
K00975	66.92
K00978	8.75
K00979	14.78
K00980	49.31
K00981	114.77
K00982	36.65
K00983	13.67
K00984	0.12
K00986	0.87
K00988	0.67
K00989	37.82
K00990	11.89
K00991	137.79
K00992	2.58
K00995	144.56
K00996	0.51
K00997	107.18
K00998	0.85
K00999	0
K01000	112.31
K01002	0.17
K01003	0
K01004	0
K01006	55.92
K01007	6.51
K01008	24.18
K01011	37.81
K01012	96.27
K01014	0
K01015	0
K01023	6.99
K01026	0.25
K01027	0
K01028	2.22
K01029	2.22
K01031	1.91
K01032	1.91
K01034	2.61
