KO	GI_3
K00001	98.05
K00002	1.14
K00003	75.94
K00004	13.68
K00005	67.57
K00007	0
K00008	44.28
K00009	31.26
K00010	26.06
K00011	0
K00012	80.35
K00013	71.33
K00014	98.56
K00015	4.33
K00016	91.26
K00018	44.78
K00019	40.15
K00020	175.88
K00021	0
K00023	70.95
K00024	60.54
K00025	0
K00027	38.7
K00028	0
K00029	93.67
K00030	12.45
K00031	98.05
K00032	1.88
K00033	42.5
K00034	0
K00036	33.59
K00038	0
K00039	0
K00040	14.51
K00041	14.8
K00042	45.06
K00043	0.23
K00045	6.88
K00046	79.11
K00048	16
K00050	7.38
K00052	88.82
K00053	72.44
K00054	8.78
K00055	2.2
K00057	89.21
K00058	250.19
K00059	464.65
K00060	0.5
K00064	3.76
K00065	18.38
K00066	0
K00067	82.55
K00068	6.34
K00073	4.33
K00074	164.22
K00075	96.67
K00076	1
K00077	154.91
K00078	0
K00082	0.25
K00086	10.97
K00087	4.88
K00088	91.31
K00090	2.1
K00091	0.22
K00094	0
K00096	28.39
K00097	100.3
K00098	4.58
K00099	84.72
K00100	90.69
K00101	78.62
K00102	36.59
K00103	0
K00104	62.02
K00105	1
K00108	109.7
K00111	85.41
K00112	6.66
K00113	6.66
K00114	1.88
K00116	2.13
K00117	3.76
K00118	0
K00121	41.53
K00122	0.23
K00123	94.07
K00124	71.42
K00125	0
K00126	33.71
K00127	71.42
K00128	180.79
K00130	1.83
K00131	8.54
K00132	11.86
K00133	89.3
K00134	93.17
K00135	146.33
K00137	0
K00138	35.84
K00140	110.53
K00141	0
K00145	76.36
K00146	0
K00147	74.7
K00148	0
K00150	0
K00151	29.38
K00153	0
K00154	0
K00156	39.19
K00158	2
K00161	43.5
K00162	43.5
K00163	70.21
K00164	36.75
K00166	0
K00167	0
K00169	16.58
K00170	16.58
K00171	15.12
K00172	16.58
K00174	51.06
K00175	51.08
K00176	33.06
K00177	33.06
K00179	51.48
K00180	22.33
K00183	2.92
K00184	7.3
K00185	4.38
K00194	5
K00196	11.31
K00197	6
K00198	29.18
K00200	0
K00201	0
K00202	0
K00208	93.41
K00209	2.74
K00210	7.27
K00215	97.7
K00216	0
K00217	0
K00218	0
K00219	2.11
K00220	0
K00221	0
K00226	16.7
K00227	0
K00228	35.59
K00230	7.59
K00231	7.13
K00232	0
K00239	54.28
K00240	83.43
K00241	53.11
K00242	35.59
K00243	42.01
K00244	51.56
K00245	4.99
K00246	4.99
K00247	4.99
K00248	43.72
K00249	195.48
K00252	35.82
K00253	35.59
K00254	36.73
K00256	0
K00257	157.25
K00259	15.75
K00260	9.85
K00261	37.59
K00262	90.42
K00263	1
K00265	57.58
K00266	125.78
K00273	0
K00274	11.64
K00275	41.98
K00276	0
K00278	41.36
K00280	0
K00281	46.11
K00282	13.22
K00283	13.22
K00284	7.61
K00285	176.53
K00286	120.97
K00287	78.51
K00288	0
K00290	25.02
K00293	0
K00294	0.5
K00297	73.92
K00298	4.85
K00299	38.22
K00301	0
K00302	4.21
K00303	71.19
K00304	0.23
K00305	0.23
K00311	35.59
K00313	1.46
K00316	0
K00317	0
K00318	0.5
K00322	0
K00324	74.18
K00325	37.42
K00330	54.48
K00331	52.6
K00332	35.83
K00333	35.83
K00334	69.33
K00335	68.99
K00336	69.42
K00337	52.6
K00338	52.6
K00339	52.6
K00340	52.36
K00341	52.6
K00342	52.6
K00343	52.6
K00344	115.32
K00346	17.93
K00347	17.93
K00348	17.93
K00349	17.93
K00350	17.93
K00351	17.93
K00354	5.62
K00355	8.2
K00356	34.71
K00362	46.95
K00363	37.24
K00364	2.61
K00365	0
K00366	12.79
K00367	0
K00368	2.13
K00370	4.08
K00371	4.08
K00372	8.79
K00373	4.08
K00374	4.08
K00375	200.68
K00376	0
K00380	37.47
K00381	35.59
K00382	185.26
K00383	39.57
K00384	142.36
K00385	24.38
K00387	0
K00389	0.45
K00390	37.59
K00392	4.22
K00394	6.18
K00395	6.18
K00404	64.74
K00405	35.59
K00406	35.59
K00407	35.59
K00411	35.59
K00412	35.59
K00413	35.59
K00425	122.4
K00426	122.4
K00427	0
K00428	12.7
K00432	78.66
K00433	22.06
K00435	0
K00436	0
K00437	0
