function.	air_9
K00001	460.66
K00002	0.34
K00003	584.81
K00004	134.15
K00005	112.9
K00007	0.75
K00008	503.17
K00009	283.61
K00010	477.76
K00011	0
K00012	255.89
K00013	483.48
K00014	913.53
K00015	37.89
K00016	954.24
K00018	10.54
K00019	133.72
K00020	194.3
K00021	6.95
K00023	16.2
K00024	346.02
K00025	0
K00027	469.14
K00028	2.46
K00029	54.73
K00030	6
K00031	581.16
K00032	0.2
K00033	588.45
K00034	38.01
K00035	10.83
K00036	603.95
K00038	37.68
K00039	2
K00040	43.72
K00041	6.74
K00042	10.7
K00043	2.5
K00045	128.09
K00046	81.8
K00048	2.16
K00050	5.15
K00052	587.32
K00053	587.64
K00054	362.49
K00055	37.69
K00057	607.68
K00058	628.77
K00059	1533.51
K00060	1.57
K00064	8.16
K00065	17.61
K00066	0.2
K00067	100.05
K00068	5.52
K00073	2.19
K00074	155.91
K00075	607.17
K00076	2.45
K00077	912.45
K00078	0
K00082	36
K00086	0
K00087	0.24
K00088	980.44
K00090	4.39
K00091	16.06
K00094	0.11
K00096	1
K00097	46.01
K00098	56.42
K00099	241.45
K00100	41.11
K00101	203.48
K00102	12.21
K00104	32.35
K00105	21.98
K00106	0
K00108	412.3
K00111	550.82
K00112	5.73
K00113	5.73
K00114	13.43
K00116	884.63
K00117	16.35
K00118	2.5
K00121	37.29
K00122	288.11
K00123	386.75
K00124	35.73
K00126	5.44
K00127	19.53
K00128	1115.92
K00130	512.5
K00131	23.59
K00132	0
K00133	613.63
K00134	1138.62
K00135	670.46
K00137	0.84
K00138	215.73
K00140	249.25
K00141	5.08
K00145	478.02
K00146	40.64
K00147	271.01
K00148	2.69
K00150	0
K00151	11.31
K00153	147.39
K00154	10.85
K00156	218.01
K00158	347.25
K00161	511.63
K00162	511.63
K00163	225.67
K00164	494.25
K00166	331.14
K00167	331.14
K00169	0.67
K00170	0.67
K00171	0.67
K00172	0.67
K00174	328.61
K00175	328.61
K00176	0
K00177	0
K00179	5.88
K00180	5
K00184	17.95
K00185	17.95
K00194	0
K00196	0
K00197	0
K00198	0
K00200	0.7
K00201	0.7
K00202	0.7
K00208	382.9
K00209	13.08
K00210	5.98
K00214	0
K00215	616.07
K00216	9.54
K00217	63.87
K00218	0
K00219	14.57
K00220	9.03
K00221	0.97
K00226	346.68
K00227	1
K00228	24.18
K00230	5.94
K00231	519.32
K00232	24.4
K00239	567.13
K00240	567.7
K00241	564.8
K00242	22.31
K00243	380.43
K00244	131.08
K00245	8.06
K00246	8.06
K00247	8.06
K00248	12.64
K00249	104.1
K00252	438.91
K00253	15.24
K00254	239.49
K00255	2.5
K00256	0.25
K00257	317.77
K00259	747.07
K00260	323.89
K00261	14.88
K00262	267.41
K00263	45.73
K00265	479.27
K00266	479.87
K00270	0
K00271	1
K00273	4.95
K00274	7.53
K00275	53.75
K00276	3.75
K00278	67.47
K00280	0
K00281	105.49
K00282	326.61
K00283	326.61
K00284	5
K00285	174.58
K00286	612.98
K00287	612.16
K00288	0
K00290	15.02
K00293	0
K00294	336.78
K00297	280
K00298	1.66
K00299	477.19
K00301	33.57
K00302	8.63
K00303	11.08
K00304	5.63
K00305	5.63
K00311	20.54
K00313	2.22
K00314	0
K00315	2
K00316	0
K00317	0.5
K00318	342.44
K00320	0
K00322	1.44
K00324	51.92
K00325	37.99
K00326	0
K00329	0
K00330	44.48
K00331	44.48
K00332	42.17
K00333	42.17
K00334	41.82
K00335	40.15
K00336	40.65
K00337	44.48
K00338	44.48
K00339	44.48
K00340	45.48
K00341	44.48
K00342	44.48
K00343	44.48
K00344	185.23
K00346	13.68
K00347	14.35
K00348	14.48
