function.	skin_17
K00001	166.68
K00002	0
K00003	179.47
K00004	54.69
K00005	13.56
K00007	0.25
K00008	237.92
K00009	127
K00010	26.82
K00011	0
K00012	45.02
K00013	135.31
K00014	191.17
K00015	1
K00016	325.28
K00018	13.63
K00019	26.36
K00020	25.55
K00021	0
K00023	3.58
K00024	82.13
K00025	0
K00027	176.15
K00028	0.95
K00029	16.83
K00030	1.9
K00031	179.84
K00032	0.2
K00033	184.64
K00034	25.32
K00035	1
K00036	173.93
K00038	2.33
K00039	1
K00040	2.86
K00041	5.45
K00042	3.89
K00043	0.33
K00045	2.2
K00046	17.44
K00048	11.06
K00050	1.95
K00052	181.48
K00053	180.87
K00054	157.7
K00055	0
K00057	188.48
K00058	205.74
K00059	482.58
K00060	0.25
K00064	0
K00065	12.21
K00066	3.2
K00067	37.53
K00068	4.31
K00073	2.14
K00074	39.37
K00075	191.36
K00076	1.33
K00077	377.74
K00078	0
K00082	0
K00086	0.5
K00087	1
K00088	214.55
K00090	0.45
K00091	0.5
K00094	0
K00096	13.18
K00097	28.02
K00098	1
K00099	32.41
K00100	32.25
K00101	8.07
K00102	2.8
K00104	5.36
K00105	3.99
K00106	0
K00108	159.97
K00111	184.06
K00112	12.16
K00113	12.16
K00114	0
K00116	318.5
K00117	0.65
K00118	0
K00121	18.72
K00122	127.36
K00123	159.22
K00124	5.66
K00126	2.78
K00127	5.41
K00128	469.41
K00130	163.4
K00131	7.41
K00132	1.1
K00133	189.61
K00134	342.29
K00135	34.7
K00137	0.4
K00138	5.11
K00140	17.39
K00141	0.25
K00145	150.76
K00146	0.65
K00147	35.98
K00148	1.2
K00150	0.5
K00151	1.58
K00153	0
K00154	1.45
K00156	5.22
K00158	162.88
K00161	220.6
K00162	220.6
K00163	14.66
K00164	163.63
K00166	150.75
K00167	150.75
K00169	0.22
K00170	0.22
K00171	0.22
K00172	0.22
K00174	185.35
K00175	185.35
K00176	13.86
K00177	13.96
K00179	13.53
K00180	12.53
K00184	0.1
K00185	0
K00194	0.58
K00196	1.86
K00197	0.58
K00198	4.04
K00200	0
K00201	0
K00202	0
K00208	195.71
K00209	0.08
K00210	5.84
K00214	0
K00215	189.91
K00216	1
K00217	0
K00218	0
K00219	0.78
K00220	1
K00221	0
K00226	185.87
K00227	0
K00228	2.78
K00230	1.63
K00231	163.24
K00232	0
K00239	185.17
K00240	187.17
K00241	186.17
K00242	3.78
K00243	171.82
K00244	31.15
K00245	0.3
K00246	0.3
K00247	0.3
K00248	7.71
K00249	12.33
K00252	107.19
K00253	2.78
K00254	15.77
K00255	0
K00256	0.25
K00257	126.54
K00259	300.29
K00260	153.56
K00261	2.24
K00262	44.61
K00263	20.6
K00265	172.43
K00266	194.84
K00270	0
K00271	0
K00273	0
K00274	12.4
K00275	10.77
K00276	0
K00278	41.61
K00280	0
K00281	23.62
K00282	154.14
K00283	154.14
K00284	2.45
K00285	23.71
K00286	192.97
K00287	187.18
K00288	0
K00290	15.94
K00293	0
K00294	151.55
K00297	36.18
K00298	1
K00299	119.98
K00301	0.2
K00302	2.53
K00303	4.73
K00304	2.53
K00305	2.53
K00311	2.78
K00313	11
K00314	0
K00315	1
K00316	0
K00317	0
K00318	150.55
K00320	0
K00322	0.2
K00324	17.86
K00325	15.08
K00326	0
K00329	0
K00330	22.62
K00331	22.62
K00332	13.58
K00333	13.58
K00334	18.21
K00335	18.21
K00336	19.01
K00337	22.62
K00338	22.62
K00339	22.62
K00340	23.41
K00341	22.62
K00342	22.62
K00343	22.62
K00344	5.31
K00346	11.14
K00347	11.14
K00348	11.14
K00349	11.14
K00350	11.14
K00351	11.14
K00354	0.1
K00355	1.2
K00356	2.99
K00360	0
K00362	153.11
K00363	152
K00364	157.29
K00365	0
K00366	1.31
K00367	0
K00368	11
K00370	150.8
K00371	161.8
K00372	1.73
K00373	62.61
K00374	161.8
K00375	186.1
K00376	1
K00380	154.95
K00381	52.88
K00382	432.93
K00383	31.07
K00384	465
K00385	2.36
K00387	0
K00389	1.91
K00390	64.38
K00392	11
K00394	0.2
K00395	0.2
K00404	3.98
K00405	2.98
K00406	2.98
K00407	2.98
K00410	0
K00411	2.78
K00412	2.78
K00413	2.78
K00423	0
K00425	154.36
K00426	179.2
K00427	0.25
K00428	6.88
K00432	266.26
K00433	4.3
K00435	0
K00436	0
K00441	0
K00446	0
K00448	1.2
K00449	1.2
K00450	4.58
K00451	3.53
K00452	0
K00453	1.83
K00455	0.33
K00456	0
K00457	2.98
K00459	155.36
K00462	0
K00464	0
K00466	0.2
K00467	0
K00471	0.2
K00472	0.25
K00476	0
K00477	1.33
K00479	3.2
K00480	6.74
K00481	1.45
K00483	0.25
K00484	0.3
K00486	0
K00491	149.55
K00493	0
K00496	1
K00499	0
K00500	0.45
K00504	0
K00505	1
K00507	1.58
K00508	0
K00510	0.08
K00514	0
K00517	11
K00518	0
K00520	0
K00523	3.11
K00525	199.89
K00526	172.21
K00527	183
K00528	17.23
K00529	6.1
K00531	0
K00532	1.48
K00533	1.47
K00534	1
K00537	173.3
K00543	0
K00544	0
K00547	158.56
K00548	34.37
K00549	159.98
K00554	189.86
K00556	0
K00557	0.66
K00558	42.84
K00560	192.59
K00561	5.85
K00563	18.82
K00564	120.69
K00566	206.54
K00567	196.89
K00568	3.08
K00569	1.53
K00570	1
K00571	178.01
K00573	6.02
K00574	8.33
K00575	8.31
K00577	0
K00584	0
K00587	0
K00588	0
K00590	0
K00594	0
K00595	21.04
K00596	0
K00598	1.16
K00600	189.42
K00602	198.48
K00603	8.04
K00604	193.77
K00605	177.38
K00606	142.43
K00608	0
K00609	190.64
K00610	14.89
K00611	275.05
K00612	0.2
K00613	0
K00615	219.94
K00616	194.61
K00619	0
K00620	141.37
K00621	0
K00624	0
K00625	182.77
K00626	322.67
K00627	222.68
K00631	0.5
K00632	108.39
K00633	2.98
K00634	45.88
K00635	0
K00638	2
K00639	163.6
K00640	197.37
K00641	160.63
K00643	1
K00645	188.11
K00646	0
K00647	10.95
K00648	204.98
K00651	23.49
K00652	122.05
K00655	228.67
K00656	190.25
K00657	62.96
K00658	171.32
K00661	58.33
K00662	1.2
K00663	1
K00666	119.54
K00672	0
K00673	0.8
K00674	120.44
K00675	0.45
K00677	23.76
K00680	234.94
K00681	160.14
K00683	0
K00684	16.98
K00685	2.78
K00686	1.66
K00687	105.99
K00688	44.59
K00689	1
K00690	5.19
K00691	2.17
K00692	0.2
K00693	0
K00694	1.33
K00695	0
K00696	0
K00697	11.25
K00698	0
K00700	38.31
K00701	0
K00702	3.32
K00703	27.66
K00705	50.43
K00709	0
K00712	273.04
K00713	0
K00720	0
K00721	28.1
K00728	0
K00737	1
K00745	0
K00748	13.92
K00752	0.2
K00754	106.18
K00756	161.49
K00757	15.77
K00758	1
K00759	188.86
K00760	189.46
K00761	189.86
K00762	192.77
K00763	186.01
K00764	200.36
K00765	133.81
K00766	178.57
K00767	33.19
K00768	25.72
K00769	1.3
K00772	0
K00773	189.86
K00782	23.19
K00783	177.36
K00784	172.88
K00785	0.3
K00786	1.96
K00788	206.95
K00789	191.56
K00790	350.81
K00791	200.7
K00793	181.69
K00794	183.14
K00795	2.88
K00796	194.11
K00797	7.02
K00798	24.72
K00799	27.12
K00800	187.86
K00801	2.33
K00803	11.25
K00805	169.8
K00806	191.82
K00808	0
K00809	0
K00812	28.53
K00813	0.3
K00817	293.32
K00818	45.21
K00819	231.56
K00820	187.96
K00821	7.24
K00822	2.78
K00823	161.18
K00824	153.66
K00826	191.6
K00830	3.58
K00831	34
K00832	15.14
K00833	119.63
K00835	0
K00836	1.83
K00839	0.14
K00840	0
K00841	158.75
K00842	0.5
K00844	4.19
K00845	192.78
K00847	195.13
K00848	14.3
K00849	49.2
K00850	211.13
K00851	162.46
K00852	201.06
K00853	162.18
K00854	78.61
K00855	1
K00856	1.58
K00857	174.09
K00858	189.86
