KO	GI_5
K00001	0.000626561492657066
K00002	8.99466782618276e-05
K00003	0.000266589498096173
K00004	9.6692061210529e-06
K00005	6.69765485379624e-05
K00007	0
K00008	0.000250384980421119
K00009	5.06780989296999e-06
K00010	0.000146924419841754
K00012	0.000218779594010264
K00013	0.000276172826311237
K00014	0.000368663607314464
K00015	0.000822332564481898
K00016	0.000232014942203058
K00018	0.000481551897174911
K00019	0.00129116853506982
K00020	0.000988624207221348
K00021	0
K00023	0.00116974487607359
K00024	0.00021243520608662
K00027	0.000557806167167852
K00029	0.000515045723272232
K00030	3.25340796267678e-05
K00031	0.000317255118646791
K00032	1.70565850111387e-05
K00033	0.00012839664401308
K00034	0.000614767323628276
K00035	0
K00036	0.000105326344636837
K00038	0.000867452232584868
K00039	2.20962528525565e-05
K00040	0.000147881791374497
K00041	2.75394570839436e-05
K00042	0.000370780833543323
K00043	0.000221649497653112
K00045	5.6751702346686e-05
K00046	0.00136391401060605
K00048	0.000110963710458314
K00050	8.93367322014318e-05
K00052	0.00052603397320413
K00053	0.000266890343921147
K00054	4.42993266260746e-05
K00055	0.000174636107302278
K00057	0.000215211961262992
K00058	0.00129344468990324
K00059	0.00681127987446911
K00060	0.000199212502742
K00064	3.89514071373466e-05
K00065	0.000709774045852573
K00066	1.73267001617069e-08
K00067	0.000267212623401585
K00068	0.000110566431012772
K00073	0.000164828518942742
K00074	0.000771630931516606
K00075	0.000269354216598447
K00076	0.000133572331711882
K00077	0.000294352673842979
K00082	6.80989297220929e-09
K00086	4.04417992722538e-05
K00087	0.000124836913207953
K00088	0.000357501066837726
K00090	0.000423953270900142
K00091	3.56160471432833e-05
K00094	0
K00096	0.000197959786500737
K00097	0.000208144244250579
K00098	5.7275418226354e-05
K00099	0.000269793999667841
K00100	0.000173883658399815
K00101	0.000470762936060607
K00102	0.000458653152783542
K00103	4.15079190687043e-06
K00104	0.00068067240918406
K00105	0
K00108	0.000344153272483687
K00111	0.000343577294121805
K00112	0
K00113	0
K00114	0
K00116	2.51882556169982e-08
K00117	2.67749741918812e-05
K00118	4.23394143012629e-06
K00121	0.000395534435254064
K00122	9.67823510182213e-05
K00123	0.000362920621212294
K00124	0.000426826867580174
K00125	0
K00126	5.79458712866064e-05
K00127	0.000182302790844879
K00128	0.00168250334194431
K00129	0
K00130	0.000651942413097431
K00131	0.000174948999331107
K00132	8.44916263117043e-06
K00133	0.000269499244410858
K00134	0.000274852533449369
K00135	0.00138851223739111
K00137	0.000202449208102184
K00138	0.000310299683010341
K00140	0.000742567470356247
K00141	7.15881473825026e-05
K00145	0.000299424856567524
K00146	0.000370000096714174
K00147	0.000265225225869253
K00148	1.67434055798471e-05
K00150	6.53749725332092e-05
K00151	0.000254555976032006
K00152	0
K00153	4.29588334682873e-05
K00154	7.0350759921413e-05
K00156	0.000209759637571311
K00158	4.8974584418609e-06
K00161	0.000179466199847674
K00162	0.000332620044231425
K00163	0.000290694042387343
K00164	0.000156402608698993
K00166	7.99027442072556e-05
K00167	0.000109796493539675
K00169	2.19276054661846e-05
K00170	0
K00171	0
K00172	2.26633238115125e-05
K00174	0.000117350403037428
K00175	0.000117387722083931
K00176	9.04576150561547e-05
K00177	9.04576150561547e-05
K00179	9.66396494169454e-05
K00180	9.64847920342502e-05
K00183	0
K00184	3.56535880478877e-05
K00185	2.14699711382872e-05
K00186	7.6270801288744e-05
K00187	1.17674950559776e-05
K00188	4.86680351080557e-06
K00193	0
K00194	0
K00196	1.48343469100489e-05
K00197	0
K00198	7.92279563711291e-05
K00200	8.12369273201783e-06
K00201	0
K00202	6.05081690224036e-05
K00205	1.87928055600051e-07
K00208	0.000471235364710757
K00209	6.68277497006138e-06
K00210	0.000136778970311148
K00214	0
K00215	0.00027186592171035
K00216	0.000354799468839904
K00217	7.75079973649753e-05
K00218	1.96077227523461e-05
K00219	0.000360672910275077
K00220	7.367655634695e-05
K00221	0
K00226	4.11765930741513e-05
K00228	0.000140639976432653
K00230	1.72880482921153e-05
K00231	1.54846429569848e-05
K00232	0
K00239	0.000251176643917385
K00240	0.000216483458783121
K00241	0.00017193617776234
K00242	0.000140410913229659
K00243	4.99755345587199e-05
K00244	0.000440091562336231
K00245	4.8450118532945e-05
K00246	4.8450118532945e-05
K00247	4.8450118532945e-05
K00248	0.00054325742615218
K00249	0.0023807579606737
K00252	0.000410802436255754
K00253	0.000678072851390839
K00254	0.000169523917167209
K00255	4.75992371006661e-05
K00256	2.04618642701296e-05
K00257	0
K00259	7.13068137284241e-05
K00260	9.45250764411754e-05
K00261	0.000202444498277838
K00262	0.000204886053374486
K00263	0
K00265	0.000384311445677365
K00266	0.000488383260945651
K00271	0
K00273	4.15079190687043e-06
K00274	0.000138689798747951
K00275	0.000177735433948583
K00276	0
K00278	0.00019563430551491
K00281	0.000294759696576537
K00282	0.000218207130544178
K00283	0.0001325233154869
K00284	0.000303030425928897
K00285	0.000789047096508242
K00286	0.00030354841171546
K00287	0.000267821740775371
K00288	0
K00290	0.000306751178124705
K00293	0
K00294	0.00011754201958561
K00297	0.000334125743001788
K00298	1.58870532811726e-06
