KO	oral_8
K00001	0.000407783134469141
K00002	0.000100037715130059
K00003	0.000431215791224599
K00004	3.33142931535283e-05
K00005	0.000304812947724769
K00007	6.64961443447442e-07
K00008	4.31817809825513e-05
K00009	6.52437317405849e-05
K00010	0.000142223267878192
K00012	0.000690044890923713
K00013	0.000137944338998921
K00014	0.000622394555460308
K00015	5.46610659417452e-05
K00016	0.00055571856337312
K00018	6.63123645318657e-05
K00019	0.000167950345239499
K00020	0.000163449964193784
K00021	1.68135559417931e-08
K00023	0.000243280115573687
K00024	7.80365156456543e-05
K00027	0.000334423139321646
K00029	0.000444050971909679
K00030	0.000267992094463477
K00031	0.00032679158225542
K00032	6.51624737328533e-07
K00033	0.000385094119763652
K00034	0.000116089787477624
K00035	5.88195494332148e-05
K00036	0.00036199311082346
K00038	0.000142035971198756
K00039	0
K00040	1.35557566137814e-05
K00041	1.06273982709136e-06
K00042	2.95736064405997e-06
K00043	0.00013327114317714
K00045	2.7715413368939e-06
K00046	0.000261665947753802
K00048	5.2362363544673e-05
K00050	5.90926434870938e-07
K00052	0.000484461007694932
K00053	0.000398829483439944
K00054	0.000464081229044088
K00055	1.38689453326436e-05
K00057	0.000523961124270049
K00058	0.000558241977524379
K00059	0.00225030077499337
K00060	1.08282246141037e-05
K00064	2.02681417634683e-05
K00065	0.000250908819838608
K00066	3.25762646372242e-06
K00067	0.000539804292866616
K00068	9.52846000972167e-05
K00073	5.7045993373941e-07
K00074	7.17089110592861e-05
K00075	0.000523856573077012
K00076	4.52215854080559e-05
K00077	0.000411538086089576
K00082	0
K00086	7.0536246460003e-05
K00087	1.18220315215733e-06
K00088	0.000585107711277402
K00090	4.14388119670232e-06
K00091	1.64917917407653e-05
K00094	1.3298569203383e-06
K00096	5.53269804879883e-06
K00097	4.75082304039093e-05
K00098	5.54720122174105e-06
K00099	6.27329446914864e-05
K00100	3.48221816439674e-06
K00101	9.17955927485568e-05
K00102	3.66199114829977e-06
K00103	2.66437272873525e-08
K00104	5.36602802474993e-05
K00105	0.000444142078507448
K00108	1.71902312467031e-05
K00111	0.000406533755440575
K00112	9.75244625026578e-06
K00113	9.75244625026578e-06
K00114	0
K00116	5.17214421861831e-05
K00117	0
K00118	6.30508347817243e-07
K00121	4.85338172892813e-05
K00122	6.56779528976294e-07
K00123	0.000125058791057167
K00124	6.4736407216171e-05
K00125	0
K00126	6.10025731998321e-07
K00127	5.45898771625216e-05
K00128	0.000465973716242454
K00129	0
K00130	0.000113567421587144
K00131	0.000374312835053924
K00132	0.000211484328133318
K00133	0.00044927870349434
K00134	0.000622747589023525
K00135	0.000327033330779375
K00137	1.12188835851216e-05
K00138	1.59441471584275e-05
K00140	0.000303084406317935
K00141	0.000197117941027799
K00145	0.000143146246574389
K00146	1.673427560247e-05
K00147	0.000512678246733907
K00148	1.19661349362868e-05
K00150	3.47075335045728e-06
K00151	1.20502687159445e-05
K00152	0
K00153	4.53177874993643e-06
K00154	1.79328299674656e-05
K00156	1.49704903519812e-05
K00158	0.000159200990858142
K00161	0.000457304472820881
K00162	0.000458857388711475
K00163	1.95601655590992e-05
K00164	1.8516199981159e-05
K00166	1.63026352372165e-06
K00167	8.86717938267992e-05
K00169	9.90798832284239e-07
K00170	7.13997270992195e-07
K00171	9.45762521725864e-07
K00172	7.09321891294398e-07
K00174	4.73108850774577e-05
K00175	4.73381028207499e-05
K00176	4.59745670283406e-05
K00177	4.59745670283406e-05
K00179	8.05526301090047e-06
K00180	1.60617239222934e-06
K00183	7.09321891294398e-07
K00184	2.38166720164026e-05
K00185	0
K00186	8.9322015940776e-07
K00187	6.56779528976294e-07
K00188	0
K00193	0
K00194	2.36440630431466e-07
K00196	1.98551124770523e-06
K00197	2.36440630431466e-07
K00198	3.80932126806251e-06
K00200	0
K00201	5.36632660475564e-07
K00202	1.05084724636207e-06
K00205	2.36440630431466e-07
K00208	6.54291707208937e-05
K00209	7.24446017335486e-05
K00210	6.56779528976294e-07
K00214	0
K00215	0.000427334619063524
K00216	5.92189237570204e-06
K00217	9.35075939559471e-09
K00218	1.27918314319359e-06
K00219	0.000104972366375703
K00220	0.000201364970195261
K00221	5.60451864726438e-09
K00226	0.000462570454452203
K00228	1.18220315215733e-06
K00230	7.88135434771553e-06
K00231	8.00756093547829e-05
K00232	0
K00239	0.000108751247655742
K00240	7.36793843156045e-05
K00241	3.96876965375911e-05
K00242	3.05306153309727e-06
K00243	0.000463033496042445
K00244	0.00132534554715969
K00245	5.34314471989955e-05
K00246	5.29060235758145e-05
K00247	9.61111702569717e-06
K00248	1.49027630331025e-05
K00249	1.88241272842072e-05
K00252	3.26871300112138e-05
K00253	2.47689168666379e-06
K00254	6.5614488182562e-05
K00255	1.523728507225e-06
K00256	0
K00257	0
K00259	0.000193021169980401
K00260	1.8724911022814e-06
K00261	3.75985696387333e-06
K00262	0.000402241178017808
K00263	2.37549375597738e-07
K00265	5.40369021969427e-05
K00266	6.34265676781115e-05
K00271	0
K00273	0
K00274	3.6196020923767e-06
K00275	1.09301200619338e-05
K00276	0
K00278	0.000242102698410565
K00281	0.000141094439297514
K00282	8.09686143379487e-05
K00283	7.90716086364195e-05
K00284	4.56301242260462e-05
K00285	0.0004664052555963
K00286	0.00051585171369755
K00287	0.000493678547248109
K00288	0
K00290	0.000109296970597066
K00293	0
K00294	1.75773717415038e-06
K00297	0.000531520023889077
K00298	1.68733777800051e-05
K00299	1.74855627730801e-05
K00301	0
K00302	6.60286063749642e-07
K00303	3.55640549012452e-06
K00304	5.27037742362418e-07
K00305	6.56779528976294e-07
K00311	6.54311255030312e-05
K00313	2.10169449272414e-06
K00315	0
K00316	1.67877403302496e-07
K00317	3.20452215100519e-07
K00318	1.23786243427397e-07
K00320	0
K00322	1.43703360940013e-05
K00324	1.93615065889619e-05
K00325	1.30305058548897e-05
K00329	2.8910555899301e-05
K00330	4.98964899196947e-05
K00331	6.43607017010377e-05
K00332	4.23427526546685e-05
K00333	5.33905570138485e-05
K00334	4.93665068353207e-05
K00335	5.99999016357157e-05
K00336	4.94788413259379e-05
K00337	5.16303878761921e-05
K00338	5.16566590573511e-05
K00339	4.99037271596834e-05
K00340	4.98964899196947e-05
K00341	5.0553269448671e-05
K00342	5.01382094781179e-05
K00343	5.01011748677257e-05
K00344	0.000372216590399028
K00346	1.16118620723009e-05
K00347	1.16118620723009e-05
