KO	skin_18
K00001	0.000992470376779069
K00002	5.44705341353711e-05
K00003	0.000430530700846296
K00004	0.00053129286177757
K00005	4.93362906714581e-05
K00007	1.9630078676686e-06
K00008	0.000642727565513728
K00009	0.000221811278092057
K00010	0.000400077707609621
K00012	0.000212436333940148
K00013	0.000351758086360725
K00014	0.000474183801142778
K00015	0.000992811848340719
K00016	0.000780634398712885
K00018	0.00053095454579389
K00019	0.000156896084862557
K00020	0.000250509749445741
K00021	5.8890236030058e-06
K00023	0.000134060263989163
K00024	0.000362791599006251
K00027	0.000497457391739357
K00029	0.000324378650981236
K00030	2.46286319680582e-05
K00031	0.000386095332378383
K00032	4.44291987178861e-06
K00033	0.000527196468514142
K00034	0.000275497558835099
K00035	1.9630078676686e-06
K00036	0.000394381353040853
K00038	0.000517275743105549
K00039	0
K00040	7.8520314706744e-06
K00041	1.0156432010981e-05
K00042	1.72249384131553e-05
K00043	0.000111727864468138
K00045	3.9260157353372e-06
K00046	0.000319374874567948
K00048	5.61529983512282e-05
K00050	1.9630078676686e-06
K00052	0.000405136737428531
K00053	0.000389644238597144
K00054	0.000224270915042754
K00055	0.000140737659801769
K00057	0.000449718757823897
K00058	0.00161154244086276
K00059	0.00270490593971954
K00060	3.15266709408713e-05
K00064	3.67597230807167e-08
K00065	0.000229087650552467
K00066	1.03057913052602e-05
K00067	0.000437272825656292
K00068	9.03879287225772e-05
K00073	1.47462787034631e-05
K00074	0.000137770226411997
K00075	0.000451526349289692
K00076	1.26422657333684e-05
K00077	0.00102144873082029
K00082	0
K00086	2.62161123196611e-05
K00087	5.8890236030058e-05
K00088	0.000769907196585632
K00090	0.000558637867546201
K00091	0.000424760438845696
K00094	5.95263959871729e-06
K00096	0.000140099018033826
K00097	0.000165782877098592
K00098	5.70302610234789e-06
K00099	0.000172466769774593
K00100	7.46310586944876e-05
K00101	1.96062696204398e-05
K00102	0.000143629433911865
K00103	0
K00104	0.000296600308758085
K00105	1.2345633432159e-05
K00106	0
K00108	0.000225801401997117
K00109	0
K00111	0.000552375706598079
K00112	0.00014119075075641
K00113	0.00014119075075641
K00114	0
K00116	0.000446083209587457
K00117	1.9630078676686e-06
K00118	0.00035138493330885
K00121	0.000202910468760599
K00122	0.000186002313540959
K00123	0.000495654985392921
K00124	6.28530114884759e-05
K00125	0
K00126	1.9630078676686e-06
K00127	7.88879119375512e-06
K00128	0.00149048818665002
K00129	0
K00130	0.000715336237012208
K00131	2.15930865443546e-05
K00132	0.000191950553069537
K00133	0.000441606662799627
K00134	0.000678555729993903
K00135	0.00130841285280921
K00137	0.000475987926156856
K00138	0.00053509901669575
K00140	0.000180384103009062
K00141	1.00519302332361e-05
K00145	0.000380834653153387
K00146	0.000209055611175745
K00147	0.000174694247160102
K00148	0.000138671976120231
K00150	4.27430236292777e-05
K00151	0.000469235919042393
K00152	0
K00153	0.000144783690088534
K00154	0.000244334491899014
K00156	0.00029092869046436
K00158	0.000371965415578719
K00161	0.000631062646381828
K00162	0.00063998908789153
K00163	0.000151197658780985
K00164	0.000368568149472196
K00166	0.000221764417006102
K00167	0.000286251797555529
K00169	3.2596441324851e-05
K00170	2.70544440778548e-05
K00171	2.69212507565979e-05
K00172	2.88842586242665e-05
K00174	0.000376588571515804
K00175	0.000371837899524694
K00176	5.92578332608652e-06
K00177	5.92578332608652e-06
K00179	7.8520314706744e-06
K00180	7.8520314706744e-06
K00183	0
K00184	6.80691154112862e-06
K00185	0
K00186	3.9260157353372e-06
K00187	3.9260157353372e-06
K00193	0
K00194	0
K00196	0
K00197	0
K00198	3.88925601225649e-06
K00200	1.09055992648256e-06
K00201	0
K00202	0
K00205	1.92624814458788e-06
K00208	0.000558598213814518
K00209	7.8520314706744e-06
K00210	0
K00214	0
K00215	0.000398490597134763
K00216	3.50831823709934e-05
K00217	0
K00218	1.57040629413488e-05
K00219	0.000338387443732898
K00220	7.87366241136497e-06
K00221	3.22942496284865e-05
K00226	0.000513153127220637
K00228	3.9260157353372e-06
K00230	3.9260157353372e-06
K00231	0.000364179840707706
K00232	0
K00239	0.000620888200376136
K00240	0.000510463203088706
K00241	0.000510441831800205
K00242	5.8890236030058e-06
K00243	0.000297259801665997
K00244	0.000501762105531579
K00245	1.91756787073183e-06
K00246	1.91756787073183e-06
K00247	1.91756787073183e-06
K00248	0.00022919503013686
K00249	0.000103173258302084
K00252	0.000229391546772768
K00253	3.69845428409076e-05
K00254	0.000355627153575404
K00255	1.17780472060116e-05
K00256	0
K00257	0
K00259	0.0005979835886237
K00260	0.000274842732412332
K00261	0.000274842732412332
K00262	0.000230028437066953
K00263	3.55344235205783e-05
K00265	0.000401194776751978
K00266	0.000563449207167025
K00270	0
K00271	5.26912638163677e-06
K00273	0
K00274	0.00027675579421473
K00275	1.00097178045581e-05
K00276	0
K00278	0.000430736748220774
K00281	0.000407194121657221
K00282	0.000410137188427711
K00283	0.000402431813738101
K00284	0.000607939527373371
K00285	0.000286690089000322
K00286	0.000421093513282437
K00287	0.000486454367699142
K00288	0
K00290	2.15930865443546e-05
K00293	0
K00294	0.000250463772822585
K00297	0.000399947334179037
K00298	0
K00299	0.000337390673224089
K00301	0
K00302	1.24204044716331e-05
K00303	1.43384922507967e-05
K00304	1.9630078676686e-06
K00305	1.9630078676686e-06
K00311	1.63015001184653e-05
K00313	0.000135447542869133
K00314	0
K00315	0
K00316	0
K00317	2.69913581804433e-05
K00318	0.0002178933176549
K00320	0
K00322	0.000191028165591487
K00324	0.000209039065744511
K00325	0.000147225590075145
K00329	0.000134301678795548
K00330	0.000145262582207476
K00331	0.000151151605810482
K00332	0.000145262582207476
K00333	0.000148591160765697
K00334	0.000206143959204194
K00335	0.000219841752396493
K00336	0.000369521102306224
K00337	0.000145262582207476
K00338	0.000149188597942814
K00339	0.000145284213148167
K00340	0.000145262582207476
K00341	0.000177043889571834
K00342	0.000145370736910929
K00343	0.000149399499614547
K00344	0.000822236781290217
K00346	7.8520314706744e-06
K00347	6.28162517653952e-05
K00348	5.8890236030058e-05
K00349	0.000109928440589442
K00350	0.00011189144845711
K00351	5.49858512354114e-05
K00354	0.000325718631406474
K00355	4.26817211306392e-05
K00356	0.000134301678795548
K00360	0
K00362	0.000324448628610202
K00363	0.000221819889044589
K00364	0.000568979223297437
K00365	0
K00366	5.8890236030058e-06
K00367	9.815039338343e-06
K00368	0.000189650939194279
K00370	0.000471157108898815
K00371	0.000361826675993469
K00372	5.8890236030058e-05
K00373	0.000361826675993469
K00374	0.000361826675993469
K00375	0.000720180607216425
K00376	2.16309406905631e-08
K00380	0.000397671201049796
K00381	3.35671679618202e-05
K00382	0.00148870413374528
K00383	0.000558088905387101
K00384	0.00124506192969888
K00385	7.8520314706744e-06
K00387	0
K00389	0
K00390	0.000170082150730249
K00392	0.000161037732216027
K00394	1.9630078676686e-06
K00395	1.9630078676686e-06
K00400	0.000219261154412721
K00404	1.9630078676686e-06
K00405	1.9630078676686e-06
K00406	9.815039338343e-06
K00407	1.9630078676686e-06
K00410	0
K00411	3.9260157353372e-06
K00412	3.9260157353372e-06
K00413	3.9260157353372e-06
K00423	0
K00424	4.52345291245374e-06
K00425	0.000351362818460705
K00426	0.000373171284836956
K00427	7.53560366483561e-06
K00428	9.2721301575506e-06
K00432	0.000457365119636511
K00433	6.54335955889533e-07
K00435	0.000215930865441583
K00436	0
K00437	0
K00440	0
K00441	0
K00442	0
K00446	1.9630078676686e-06
K00448	1.9630078676686e-06
K00449	2.71082038868521e-06
K00450	5.8890236030058e-06
K00451	1.9630078676686e-06
K00452	0
K00453	2.02960452829706e-06
K00455	3.9260157353372e-06
K00456	0
K00457	8.19342414331242e-06
K00459	0.000271915530949804
K00462	0
K00464	0
K00466	0
K00467	1.99976759074932e-06
K00469	0
K00471	0
K00472	0
K00476	1.9630078676686e-06
K00477	1.9630078676686e-06
K00479	1.9630078676686e-06
K00480	2.4348394023733e-05
K00481	3.9260157353372e-06
K00483	1.9630078676686e-06
K00484	5.8890236030058e-06
K00485	0
K00486	3.90411134543615e-06
K00491	0.000215875368224393
K00493	0
K00494	1.70696336319009e-07
K00496	5.8890236030058e-06
K00499	1.9630078676686e-06
K00500	1.9630078676686e-06
K00504	0
K00505	1.9630078676686e-06
K00507	7.8520314706744e-06
K00508	2.06115826105203e-05
K00514	0
K00518	0
K00520	0.000322148164448739
K00523	5.10814664407647e-05
K00524	0
K00525	0.000484303658040391
K00526	0.000324182789742198
K00527	0
K00528	9.69401916072381e-05
K00529	0.000186450407110079
K00531	0
K00532	3.88925601225649e-06
K00533	1.95933189536053e-05
K00534	1.9630078676686e-06
K00537	0.000273897755790326
K00544	0
K00547	0.000225128328547117
K00548	0.000293383752513134
K00549	0.000353516860015332
K00554	0.000460293965358575
K00555	0
K00556	3.67597230807167e-08
K00557	2.16357606284344e-05
K00558	0.000348034837695842
K00560	0.000413432033344946
K00561	0.000134532727276634
K00563	0.000293093871966578
K00564	0.00053795447320873
K00566	0.000685696273094748
K00567	0.00060120807296443
K00568	3.48433896511177e-05
K00569	0
K00570	0.000141336566472139
K00571	0.00030750744803876
K00573	1.17780472060116e-05
K00574	1.87119785253583e-05
K00575	7.8520314706744e-06
K00577	0
K00584	0
K00587	0
K00588	0.000218730412399011
K00590	1.02864863624622e-05
K00594	0
K00595	0.000392074061843722
K00596	1.9630078676686e-06
K00598	5.8890236030058e-06
K00600	0.000452925737812976
K00602	0.000457401989828513
K00603	1.37410550736802e-05
K00604	0.00051341480680809
K00605	0.000418176173028639
K00606	0.000209970754771375
K00608	0
K00609	0.000455535981981266
K00610	6.8705275368401e-05
K00611	0.000645235642111064
K00612	0
K00613	0
K00615	0.000579262658140337
K00616	0.000587727170347316
K00619	5.8890236030058e-06
K00620	0.000352450359971276
K00622	0
K00624	0
K00625	0.000462811009481431
K00626	0.000783044220555575
K00627	0.00109967519739916
K00631	5.94355159932994e-06
K00632	0.000588827600867517
K00633	0.000232356762653084
K00634	3.11618911557216e-05
K00635	1.9630078676686e-06
K00638	0.000138983577615452
K00639	0.000386022448158347
K00640	0.000514026966633254
K00641	0.000370148503226052
K00643	1.71899128197507e-05
K00645	0.000399757225500122
K00646	1.9630078676686e-06
K00647	0.000207741954162743
K00648	0.000396332539692898
K00651	2.74821101473604e-05
K00652	0.000543561686686819
K00655	0.000883674733751702
