KO	GI_4
K00001	0.000530641566955239
K00002	0.000161596024629368
K00003	0.00041296112184568
K00004	4.86757828387333e-05
K00005	0.000166964590340163
K00007	1.15943813215394e-05
K00008	0.000301251436387966
K00009	1.16664063402972e-05
K00010	0.000207373351646772
K00012	0.000185527488937772
K00013	0.000362420630778457
K00014	0.000489527951520394
K00015	0.000551916946879999
K00016	0.000406525440724378
K00018	0.000477118811180314
K00019	0.000414911114016971
K00020	0.00040887056520757
K00021	0
K00023	0.000467099806395239
K00024	0.000257079990542607
K00027	0.000473580735484638
K00029	0.000394642509401987
K00030	0.000129906871913983
K00031	0.000366697573001044
K00032	1.24026755611731e-05
K00033	0.000313571560076814
K00034	0.000469224752567111
K00035	0
K00036	0.000211530105058706
K00038	0.000390101460447901
K00039	3.61056086366691e-06
K00040	0.000123307807424708
K00041	3.06079703206536e-05
K00042	0.000168219185182505
K00043	0.000127241010312538
K00045	2.59199301274777e-05
K00046	0.000617444469118994
K00048	0.000219830426558061
K00050	4.95053913954907e-05
K00052	0.000447172392810242
K00053	0.000451761976997298
K00054	2.33209060215767e-05
K00055	0.000169197410867844
K00057	0.000322176014145787
K00058	0.00124718643653868
K00059	0.00346681994614484
K00060	0.000210859392155088
K00064	3.98184068325908e-05
K00065	0.000428231680952665
K00066	0
K00067	0.00035214307938639
K00068	0.000106357494646201
K00073	3.96355361164706e-05
K00074	0.000345275483278778
K00075	0.000394216751194921
K00076	0.00011339500908528
K00077	0.000234691919207312
K00082	3.04824902249793e-06
K00086	5.88174569664656e-05
K00087	8.04314683004486e-05
K00088	0.000658360935682694
K00090	0.000234902322447403
K00091	0.000114705016533119
K00094	2.31887626430787e-06
K00096	0.0003159625397776
K00097	0.000182206369760074
K00098	2.68788711647863e-05
K00099	0.000385222374836473
K00100	0.000311701185838463
K00101	0.000131354110607124
K00102	0.000275894134963212
K00103	1.15943813215394e-05
K00104	0.000402220930516614
K00105	0
K00108	0.000121278833087112
K00111	0.000217795956697696
K00112	2.31887626430787e-06
K00113	0
K00114	0
K00116	1.16400684633493e-05
K00117	2.07110022782165e-05
K00118	2.99786715129095e-06
K00121	0.00013398465810372
K00122	2.62919982311911e-05
K00123	0.000316613335133581
K00124	0.000382380876958404
K00125	5.21747159469272e-06
K00126	3.87782220431143e-05
K00127	0.000101665601236326
K00128	0.000754872675779725
K00129	0
K00130	0.000207668700032509
K00131	6.48354953440598e-05
K00132	0.000120752739532892
K00133	0.000389355593139867
K00134	0.000403080121554894
