KO	air_9
K00001	0.000620366213216415
K00002	0.000236374360827992
K00003	0.00041936306971004
K00004	0.000214703172884375
K00005	8.25896220315592e-05
K00007	1.15289723390591e-06
K00008	0.000285828421900297
K00009	0.000139474279204797
K00010	0.000912198020936878
K00012	0.000450232650192288
K00013	0.000419949194340995
K00014	0.000863443532270934
K00015	0.000856280437376823
K00016	0.000655853559686479
K00018	0.00039256858785248
K00019	0.000334780707858925
K00020	0.000142622625661487
K00021	6.40612180133561e-06
K00023	0.0001559814348086
K00024	0.00032108528393255
K00027	0.000388818326108557
K00029	0.000362411080965038
K00030	2.57559158399794e-05
K00031	0.000416830573152804
K00032	2.37620902876653e-06
K00033	0.000419346863707775
K00034	0.000308615379664749
K00035	4.77881952564959e-06
K00036	0.000431697736604087
K00038	0.000414956887169612
K00039	1.72033315129977e-05
K00040	4.33085009752312e-05
K00041	3.31662466452646e-06
K00042	1.46347391914136e-05
K00043	4.60782755151066e-06
K00045	0.000186940384546433
K00046	0.000246035899962602
K00048	1.12622989408482e-05
K00050	2.26233787031942e-06
K00052	0.000450754778073566
K00053	0.000417174937178886
K00054	0.000154503845272373
K00055	0.00027154221296172
K00057	0.000426409948874502
K00058	0.00134823871949994
K00059	0.00358104653968365
K00060	1.29840721200989e-05
K00064	2.82047334527473e-05
K00065	0.000275349379288327
K00066	3.30812802213506e-07
K00067	0.000568457897259876
K00068	0.00020371665456463
K00073	1.75212733605321e-05
K00074	0.00013321777048991
K00075	0.000483294505241933
K00076	1.72648103273048e-05
K00077	0.000585249414974282
K00082	1.68194809935186e-06
K00086	4.58579432418044e-06
K00087	2.14974947582755e-06
K00088	0.000961717760091248
K00090	0.000472364335129652
K00091	0.000401543047736843
K00094	9.10276210773572e-07
K00096	1.26025571077365e-06
K00097	2.17455414491485e-05
K00098	5.29576728549854e-05
K00099	0.000277318617559539
K00100	7.69914710605339e-07
K00101	0.00022198942564598
K00102	3.25488612839441e-05
K00103	1.32311243883202e-05
K00104	5.57625497428581e-05
K00105	1.6380128712853e-05
K00106	0
K00108	0.000249160325847132
K00109	4.96219203320259e-07
K00111	0.000429063595093324
K00112	5.72535886265842e-06
K00113	4.89746283834566e-06
K00114	5.65564631801458e-06
K00116	0.000551731700935578
K00117	1.23123929459424e-05
K00118	0.000224303814717575
K00121	0.000707636692295023
K00122	0.000111193818994765
K00123	0.000385007482966346
K00124	3.09366277587631e-05
K00125	0
K00126	1.95638070974593e-06
K00127	1.02402512888419e-05
K00128	0.00213924490268901
K00129	0
K00130	0.000931327184933465
K00131	2.13563729573094e-05
K00132	0.000109330929509041
K00133	0.000434901623922967
K00134	0.000823025699606552
K00135	0.00213745207678626
K00137	0.00037482984285741
K00138	0.000621089324604839
K00140	0.000378500665534952
K00141	0.00034165975841717
K00145	0.00039181381454339
K00146	0.000383198167145047
K00147	0.000273768071750935
K00148	7.00664293670423e-06
K00150	0.000378968285618694
K00151	0.000496025805426857
K00152	1.75470389045379e-06
K00153	0.000226657558414086
K00154	0.000233608698354256
K00156	0.000345115188864972
K00158	0.000161781662333251
K00161	0.000350154060221698
K00162	0.000378588758097136
K00163	0.000256699537051128
K00164	0.000410568898653423
K00166	0.000155714455491405
K00167	0.000219017077896486
K00169	1.0535158870094e-06
K00170	1.07914913856969e-06
K00171	1.02788263544911e-06
K00172	1.02788263544911e-06
K00174	0.000154364584161594
K00175	0.000151086957027983
K00176	0
K00177	0
K00179	2.0290379539374e-06
K00180	1.8904944141823e-06
K00183	0
K00184	1.18967646714557e-05
K00185	7.09140524685419e-06
K00186	0
K00187	0
K00193	0
K00194	0
K00196	1.249849673739e-06
K00197	0
K00198	2.25653394643141e-07
K00200	3.32979652763871e-07
K00201	5.7031189170819e-07
K00202	3.24451017555554e-07
K00205	0
K00208	0.000294891716768478
K00209	7.62803845398632e-06
K00210	1.70979877665785e-06
K00214	3.30812802213506e-07
K00215	0.000425753164379937
K00216	8.38205024409785e-05
K00217	0.000271899604954196
K00218	7.16853762935241e-06
K00219	0.00022455738821059
K00220	6.38136281857914e-06
K00221	2.03203660057742e-05
K00226	0.000151208858372593
K00228	8.29754835318507e-06
K00230	3.87886851327636e-06
K00231	0.0004191234083611
K00232	1.33858503741138e-05
K00239	0.000417824627254452
K00240	0.000402381816380755
K00241	0.00040134769934901
K00242	8.0094358335272e-06
K00243	0.000175305134126848
K00244	0.000455132103183062
K00245	5.90091636718701e-06
K00246	5.83411762827852e-06
K00247	5.83411762827852e-06
K00248	0.00018653467915798
K00249	0.000208762437541338
K00252	0.000396511657141111
K00253	6.29619779118818e-05
K00254	0.000385968220141411
K00255	1.23627888841057e-05
K00256	7.92711617046732e-07
K00257	1.48865760996078e-06
K00259	0.000365699315563202
K00260	0.000151802940825552
K00261	0.000248568948340376
K00262	0.000274879420513899
K00263	0.000119151407472794
K00265	0.000396419781660537
K00266	0.000404758837436909
K00270	1.65406401106753e-07
K00271	5.90239683949361e-06
K00273	4.80712814957922e-06
K00274	0.000100156449588149
K00275	2.37611741815913e-05
K00276	1.29062210601665e-06
K00278	4.48237189754127e-05
K00281	0.000198618701319565
K00282	0.000207186094897252
K00283	0.000199540177100704
K00284	0.000517594184004825
K00285	0.000247004681053661
K00286	0.000429914867872598
K00287	0.000448332210868904
K00288	0
K00290	1.39699372210807e-05
K00293	2.4810960166013e-06
K00294	0.000190131756026445
K00297	0.000428094359424858
K00298	7.35726054165429e-07
K00299	0.000461995160738883
