KO	oral_19
K00001	0.000353179921478789
K00002	4.6237702676716e-05
K00003	0.000430260694826671
K00004	6.41698350344765e-05
K00005	0.000182621105892964
K00007	1.52166619500337e-05
K00008	7.97512203871024e-05
K00009	3.33400632212659e-05
K00010	0.000141546835742498
K00012	0.000517219989576679
K00013	0.000186286874296888
K00014	0.000566196196331172
K00015	0.000107604441055974
K00016	0.000398990700524368
K00018	0.000177802744765131
K00019	0.000205160870962854
K00020	0.000173041698371786
K00021	7.50950057894089e-07
K00023	0.000330760198735965
K00024	0.000193402692384338
K00027	0.000367054775039515
K00029	0.000376136234517003
K00030	0.000239584505629131
K00031	0.000387509510091603
K00032	1.33800018243028e-05
K00033	0.000393073850978509
K00034	0.000142278088732041
K00035	2.558846420255e-05
K00036	0.000391615294258715
K00038	0.000176201998947923
K00039	4.90468149780664e-07
K00040	3.18256543003811e-05
K00041	7.42851253817825e-06
K00042	2.9854105877071e-05
K00043	0.000152031324165766
K00045	1.45758159187601e-05
K00046	0.000236830542814667
K00048	3.87573883920733e-05
K00050	1.4635551769148e-05
K00052	0.000508106742864377
K00053	0.000424431541941065
K00054	0.000311418140691529
K00055	0.000119359466519859
K00057	0.000505622961854151
K00058	0.000645878553239691
K00059	0.00248336635022311
K00060	4.45261921249679e-05
K00064	2.21670501540594e-05
K00065	0.000170545225604804
K00066	3.26651229749482e-06
K00067	0.00043233308968162
K00068	6.45255526447925e-05
K00073	1.46517816791369e-06
K00074	0.000136154599904582
K00075	0.000510862094206786
K00076	8.34569774384764e-05
K00077	0.000354689705864838
K00082	0
K00086	7.69321850329264e-05
K00087	9.95903884520077e-06
K00088	0.000549521416158554
K00090	4.81622654792581e-05
K00091	3.25140061038693e-05
K00094	3.03305654845379e-06
K00096	3.44756817317037e-06
K00097	0.000134282309867953
K00098	1.18362626308786e-05
K00099	0.000196868863823108
K00100	5.89093562242036e-06
K00101	0.000167019778636265
K00102	8.1220036928213e-05
K00103	5.89142826875053e-06
K00104	0.000226398927321541
K00105	0.000288469903733216
K00108	8.07371589325345e-05
K00111	0.000327300120698057
K00112	5.98510774170934e-05
K00113	5.95448964525498e-05
K00114	6.11913884997234e-06
K00116	0.000163414559941344
K00117	1.90761403872333e-06
K00118	3.28570524047766e-06
K00121	9.75874500227953e-05
K00122	8.79732579331437e-06
K00123	0.000332520000383522
K00124	0.000207344685591194
K00125	0
K00126	1.28935850801691e-05
K00127	0.000166682271871787
K00128	0.000690075431801299
K00129	1.54241588995997e-07
K00130	0.000320701540261102
K00131	0.00032699517923316
K00132	0.000215854418877634
K00133	0.000510447044607167
K00134	0.000634636417756556
K00135	0.000541784857558115
K00137	7.24903264281586e-05
K00138	7.66762709511843e-05
K00140	0.000371007350966592
K00141	0.000254619059639504
K00145	0.000220335508266948
K00146	0.000117387281834985
K00147	0.000444605271861621
K00148	3.35940929917728e-05
K00150	3.8190500472593e-06
K00151	6.27619759733075e-05
K00152	8.91182840977116e-07
K00153	1.02194537759754e-05
K00154	4.50743371780054e-05
K00156	3.11889069330265e-05
K00158	6.83911769445349e-05
K00161	0.000325440087019976
K00162	0.000366668926564673
K00163	0.000132811571607379
K00164	0.000127601655465159
K00166	1.40742974750129e-05
K00167	6.92254819389828e-05
K00169	0
K00170	5.54699696100301e-08
K00171	7.25150594632089e-07
K00172	0
K00174	7.72712889869593e-05
K00175	7.72171098572269e-05
K00176	7.40523348359253e-05
K00177	7.40523348359253e-05
K00179	1.52646226349718e-05
K00180	1.95030033929315e-06
K00183	2.02183308724189e-06
K00184	5.50283858745293e-05
K00185	8.3777075587902e-06
K00186	1.98010160688029e-06
K00187	0
K00188	0
K00193	0
K00194	7.25150594632089e-07
K00196	4.35338644786605e-06
K00197	7.25150594632089e-07
K00198	7.58517688545254e-06
K00200	5.12053826403873e-07
K00201	5.91115724694593e-07
K00202	5.76087615958655e-07
K00205	7.25150594632089e-07
K00208	0.0002172983660148
K00209	4.78100254239475e-05
K00210	1.88123666869678e-06
K00214	1.26447363223312e-06
K00215	0.000480491318483208
K00216	6.68500282073136e-05
K00217	9.32889496576223e-06
K00218	1.26495753508544e-05
K00219	0.000226356444113532
K00220	0.000216057112766453
K00221	8.84047200767441e-07
K00226	0.000308159445723215
K00228	2.15792219980566e-05
K00230	1.52702925826349e-05
K00231	4.90303812203522e-05
K00232	5.95058007652088e-07
K00239	0.000250772521049402
K00240	0.000180031007467732
K00241	0.000107201508862201
K00242	4.69583403729226e-05
K00243	0.000311654545821882
K00244	0.00116622149132544
K00245	0.000136398149109898
K00246	0.000136314795392507
K00247	6.57762170701176e-05
K00248	9.97072689778923e-05
K00249	0.000232122170370583
K00252	7.96210557209309e-05
K00253	5.80423656122325e-05
K00254	0.000195892751845927
K00255	4.28982559227844e-06
K00256	3.22726624504154e-06
K00257	8.33537173918882e-08
K00259	0.000116519739396087
K00260	3.58190041572883e-05
K00261	5.6521459833717e-05
K00262	0.000414385272647959
K00263	1.32001772549494e-05
K00265	0.000114574910450884
K00266	0.000123384729954927
K00271	3.20103446602439e-07
K00273	7.70853170595533e-07
K00274	3.16551101204502e-05
K00275	0.000127216566038324
K00276	0
K00278	0.000379055162056879
K00281	0.000118888838666382
K00282	8.15012238406595e-05
K00283	4.54178028974857e-05
K00284	9.87776127941508e-05
K00285	0.000418825178611715
K00286	0.000456477789149099
K00287	0.000439218730449723
K00288	0
K00290	0.000111737175408908
K00293	6.5212156727197e-06
K00294	1.39014591924251e-05
K00297	0.000547976862714411
K00298	5.00228761065588e-06
K00299	2.77297972648771e-05
K00301	8.06301138590228e-08
K00302	1.7459133356644e-05
K00303	4.53983578853917e-05
K00304	1.19898399221257e-05
K00305	1.3474285694891e-05
K00311	8.17058584563562e-05
K00313	3.10170670782315e-06
K00315	2.5099020244964e-07
