KO	skin_14
K00001	0.000918470938961057
K00002	0.000135176472155585
K00003	0.000418122452130411
K00004	0.00040071169782828
K00005	5.64311030884984e-05
K00007	0
K00008	0.000653076529777151
K00009	0.00029891688810737
K00010	0.000114543332237457
K00012	0.000139457767756383
K00013	0.000340601822377418
K00014	0.000465075251409888
K00015	0.00104558969922894
K00016	0.00079532683947327
K00018	0.000412093422035911
K00019	0.00029427195827685
K00020	7.93560597898984e-05
K00021	0
K00023	0.000198033369607714
K00024	0.000184122549768302
K00027	0.000496973055787803
K00029	0.000417982974006723
K00030	3.66380261381386e-05
K00031	0.000399547449739246
K00032	3.69842715006318e-06
K00033	0.000423779241840842
K00034	0.000402338761995392
K00035	1.13609571055936e-05
K00036	0.000428273437298674
K00038	0.000615347916189838
K00039	1.63492570718387e-06
K00040	1.16411407772724e-05
K00041	1.49136059817395e-05
K00042	2.82973504914685e-05
K00043	4.06086525365894e-05
K00045	0
K00046	0.00041734774817459
K00048	4.61425362626938e-05
K00050	2.35241108947319e-08
K00052	0.000415323669519053
K00053	0.000398695222464066
K00054	0.000362259870835024
K00055	2.56670647984178e-05
K00057	0.000429491593685519
K00058	0.0016134018324366
K00059	0.00327523230460018
K00060	2.65642322526657e-05
K00064	8.39049202182998e-06
K00065	0.000174747049339952
K00066	1.13940584151657e-05
K00067	0.000143551793599029
K00068	4.72723526620177e-05
K00073	3.77705613738931e-05
K00074	7.3207765005619e-05
K00075	0.000426851962291842
K00076	4.68900784407904e-05
K00077	0.000794562512894881
K00082	0
K00086	6.19126043274689e-06
K00087	1.29932078703639e-05
K00088	0.00055248928070284
K00090	0.000631240390611733
K00091	0.000537123544089795
K00094	2.89253709051194e-06
K00096	3.23643330208883e-05
K00097	4.07853697913663e-05
K00098	4.18995451632143e-06
K00099	6.66045420271106e-05
K00100	2.5343989129445e-05
K00101	3.46667553747102e-05
K00102	3.87750860391728e-05
K00103	0
K00104	7.6398038016321e-05
K00105	3.42374615425764e-05
K00106	0
K00108	0.000325506022243334
K00109	0
K00111	0.000450476806070729
K00112	2.45278062929071e-05
K00113	2.45278062929071e-05
K00114	0
K00116	0.000653761109626879
K00117	2.50923849543807e-07
K00118	0.00051425365891323
K00121	0.0001296993179778
K00122	0.000273343259318071
K00123	0.000361778358894289
K00124	3.65607649669197e-05
K00125	0
K00126	3.18882392128588e-07
K00127	1.03725155524099e-05
K00128	0.00177155323409481
K00129	0
K00130	0.000652337244425629
K00131	5.2003967817954e-05
K00132	0.000293223985038274
K00133	0.000429346485210086
K00134	0.000757997875119544
K00135	0.00118334241046802
K00137	0.000331066789971561
K00138	0.000618104198054145
K00140	8.1817538979254e-05
K00141	1.42964688684984e-05
K00145	0.000407949532150204
K00146	0.000132845884414324
K00147	0.000101200199303014
K00148	3.99339894404208e-05
K00150	4.20133879023938e-05
K00151	0.000326479554747603
K00152	0
K00153	3.34469718020852e-05
K00154	0.000311873538752863
K00156	0.000244429860638161
K00158	0.000361073568135314
K00161	0.000765000646302578
K00162	0.000763553848671157
K00163	3.37335750230455e-05
K00164	0.000349595291758125
K00166	0.000350556796801405
K00167	0.00041995917643808
K00169	1.22529462360654e-05
K00170	9.25318116335242e-06
K00171	9.97552638423374e-06
K00172	9.12075973555153e-06
K00174	0.000386041780668712
K00175	0.000378682679347149
K00176	1.5329878933067e-05
K00177	1.5329878933067e-05
K00179	2.7765669186735e-05
K00180	2.78177235943936e-05
K00183	0
K00184	1.77737726760197e-07
K00185	0
K00186	9.19792735984017e-06
K00187	3.06597578661339e-06
K00193	0
K00194	8.54766648682209e-07
K00196	1.00526940085224e-05
K00197	2.56429994604663e-06
K00198	7.80290105844688e-06
K00200	0
K00201	0
K00202	0
K00205	6.09336776108246e-06
K00208	0.000648198190266348
K00209	9.2365111719845e-06
K00210	1.22639031464536e-05
K00214	0
K00215	0.00041080217159405
K00216	4.02969567265632e-05
K00217	2.35241108947319e-07
K00218	0
K00219	0.000118382318049875
K00220	0
K00221	4.63444225582002e-05
K00226	0.000415286679411596
K00228	3.07381715691163e-06
K00230	3.95932624743992e-06
K00231	0.000357186284371921
K00232	0
K00239	0.000403636598916037
K00240	0.000380232979386293
K00241	0.000380180997540061
K00242	3.06597578661339e-06
K00243	0.0003865149697279
K00244	0.000790660053024676
K00245	3.06597578661339e-06
K00246	3.06597578661339e-06
K00247	3.06597578661339e-06
K00248	0.000274235041581998
K00249	0.000116440668076263
K00252	0.000300678193936291
K00253	1.85985624773361e-05
K00254	0.000349521239673927
K00255	1.5682740596488e-08
K00256	4.05137465409272e-07
K00257	0
K00259	0.000677504061636307
K00260	0.000325920059751539
K00261	0.000328868414983679
K00262	0.00010872481513514
K00263	3.97372619821952e-05
K00265	0.00041253446757686
K00266	0.000465752172142417
K00270	0
K00271	2.84006178128399e-05
K00273	0
K00274	5.5958689524542e-05
K00275	1.55232994004236e-05
K00276	0
K00278	0.000108766587423007
K00281	0.000325740160089395
K00282	0.000357244461443334
K00283	0.000354255815698799
K00284	0.000714194067038359
K00285	0.000106847535683045
K00286	0.000429754823956324
K00287	0.000468915522683195
K00288	0
K00290	3.96453451885746e-05
K00293	0
K00294	0.000363560217220922
K00297	0.000417011290791566
K00298	6.13195157322678e-06
K00299	0.000313067007037786
K00301	0
K00302	2.36534435297504e-05
K00303	8.7485273212617e-06
K00304	2.91698975094676e-06
K00305	2.91698975094676e-06
K00311	1.31500352763287e-05
K00313	2.45278062929071e-05
K00314	0
K00315	1.5682740596488e-08
K00316	0
K00317	2.54473399140795e-05
K00318	0.000321973218427042
K00320	0
K00322	0.000239389749838325
K00324	9.23080702390096e-05
K00325	2.7609464820117e-05
K00329	0.000201766641620602
K00330	3.06597578661339e-05
K00331	3.98655265962723e-05
K00332	2.45278062929071e-05
K00333	3.98191014138298e-05
K00334	5.68585136442611e-05
K00335	7.72827840534345e-05
K00336	8.06609347242802e-05
K00337	3.06675992364322e-05
K00338	3.23692911634983e-05
K00339	3.06597578661339e-05
K00340	3.06597578661339e-05
K00341	0.000116261457323033
K00342	3.06675992364322e-05
K00343	3.06597578661339e-05
K00344	0.000478871307867535
K00346	1.22639031464536e-05
K00347	1.23024869585979e-05
K00348	1.83958547196803e-05
K00349	1.44751122843848e-05
K00350	3.37257336527473e-05
K00351	1.22639031464536e-05
K00354	8.0759086817222e-05
K00355	6.73041556497749e-05
K00356	0.000201766641620602
K00360	7.84137029824398e-09
K00362	0.00042441296284007
K00363	0.000317954106525371
K00364	0.000671634304316794
K00365	0
K00366	9.19792735984017e-06
K00367	6.98671822190899e-06
K00368	2.81686525395105e-05
K00370	0.000367697427205171
K00371	0.000342474071447979
K00372	6.98671822190899e-06
K00373	0.000342474071447979
K00374	0.000342657114778524
K00375	0.000512983685738031
K00376	0
K00380	0.000589262530250262
K00381	5.59439479918363e-05
K00382	0.00142941782081735
K00383	0.000779245515954708
K00384	0.00127901958400826
K00385	1.00526940085224e-05
K00387	0
K00389	3.06597578661339e-06
K00390	8.37376110426157e-05
K00392	5.46822067649616e-05
K00394	1.14091364977714e-05
K00395	1.14091364977714e-05
K00400	0.000333297833259449
K00404	5.71897273751927e-06
K00405	2.96403797273622e-06
K00406	6.2077514861098e-06
K00407	2.94835523213973e-06
K00410	0
K00411	3.07381715691163e-06
K00412	3.07381715691163e-06
K00413	3.07381715691163e-06
K00423	0
K00424	3.07381715691163e-06
K00425	0.000351382019675206
K00426	0.000374627623931138
K00427	0
K00428	1.22639031464536e-05
K00432	0.000637948837731122
K00433	2.76016234498188e-05
K00435	0.000321927457594406
K00436	0
K00437	0
K00440	0
K00441	8.54766648682209e-07
K00442	0
K00446	3.06597578661339e-06
K00448	7.84137029824398e-09
K00449	1.17583214615096e-06
