KO	output
K00001	120.3317673506
K00003	8518.1271147737
K00004	51.2238500847
K00005	2145.8211512772
K00007	16.4827517211
K00008	76.866395149
K00009	914.9170322932
K00010	119.8582993281
K00012	7298.8549734196
K00013	3872.7187994279
K00014	14317.7025272548
K00015	573.9152508988
K00016	15119.3052698429
K00018	355.0808376374
K00019	1189.5385322948
K00020	3316.6935246105
K00023	17.9523507134
K00024	1305.422025474
K00027	3108.8227341835
K00029	314.8621921176
K00031	4787.5660574053
K00033	11758.3103284507
K00034	220.816672097
K00036	4834.3892354497
K00040	9.2061320191
K00042	30.685407536
K00045	27.2242500608
K00046	6061.1438970513
K00052	4343.5307030895
K00053	11508.0863389459
K00054	3630.2220702012
K00057	14018.1543858645
K00058	4446.0662743882
K00059	14106.2318471194
K00060	52.3117355185
K00065	12.1055348083
K00067	2985.6405131118
K00068	108.3490971141
K00074	48.0638404714
K00075	14613.0715309281
K00076	590.3171785687
K00077	12210.8907663619
K00088	11884.3028491437
K00090	24.0830575506
K00091	52.465860997
K00094	54.8742125509
K00097	802.3273985176
K00099	1287.0230823989
K00101	474.8238478881
K00102	39.3112970514
K00104	277.4681938339
K00105	14478.8641348615
K00108	64.0508829582
K00111	660.213971103
K00112	292.320481431
K00113	240.5012535232
K00116	981.9016094959
K00121	579.5796283221
K00123	454.6736569505
K00124	1025.0417181232
K00126	7.874015748
K00127	572.5919735524
K00128	3050.0151205206
K00130	23.7259679249
K00131	818.2858089509
K00133	4970.9209155464
K00134	15386.2125734388
K00135	5772.2004135707
K00137	17.7567352001
K00138	25.9930900723
K00140	90.6381747987
K00145	4228.2446011915
K00146	26.0850906815
K00147	13381.7835686629
K00148	35.5505999474
K00151	32.5120632441
K00153	51.3112977334
K00154	10.8236713071
K00156	77.3548369771
K00158	4039.2477990774
K00161	8873.1447796152
K00162	3802.3486924436
K00163	546.322043172
K00164	339.7062710252
K00167	9.8211464258
K00169	21.5388534864
K00170	20.174551878
K00171	27.805931563
K00172	9.2088870432
K00174	661.6113327452
K00175	809.1005585453
K00176	1005.2229913122
K00177	275.1556400293
K00179	17.4362182108
K00198	45.0721497801
K00208	1085.2288126356
K00209	2912.1216209133
K00215	11505.6425971149
K00219	39.937897867
K00226	11228.2074627934
K00228	46.3694858493
K00230	111.7930271121
K00231	3006.4414275483
K00239	635.3654641746
K00240	257.751287879
K00241	590.4042851536
K00242	18.844518055
K00243	3033.5403403306
K00244	5196.2496407825
K00245	342.340458402
K00246	710.3178904423
K00247	323.1113657479
K00249	59.5893651879
K00252	15.7240314457
K00254	1136.2014919052
K00259	3041.6830796809
K00260	12.343311386
K00261	30.4351943889
K00262	4368.6911471803
K00265	235.0742809657
K00266	171.8181834643
K00275	364.9767647464
K00278	95.8724726406
K00281	156.5474251942
K00282	2762.3686469618
K00283	3087.8602001016
K00285	174.4582640025
K00286	10242.2439313242
K00287	10274.5828593785
K00290	583.6009096378
K00294	38.5061327776
K00297	3429.9910587601
K00298	274.8511371063
K00299	304.5408113031
K00303	50.6164794304
K00316	11.8360770402
K00324	281.0550949784
K00325	262.4296355978
K00330	1377.5098345824
K00331	983.9259408282
K00332	134.1499161723
K00333	464.1476931196
K00334	1289.8933294068
K00335	399.2682127862
K00336	142.0375506847
K00337	949.8815721237
K00338	885.4588483908
K00339	700.9974662283
K00340	428.3837401303
K00341	741.852892663
K00342	313.9913095897
K00343	953.7703008186
K00344	41.3078741235
K00346	406.0039836291
K00347	341.6005598783
K00348	437.8226654506
K00349	303.0518799055
K00350	347.6731319524
K00351	408.7293266208
K00354	41.9045936764
K00355	48.794402991
K00362	65.313614503
K00363	80.0159234497
K00364	13511.3883755134
K00367	24.6374011314
K00368	107.5717804582
K00370	51.3419293417
K00371	60.2273675371
K00372	12.078740501
K00373	17.9509777278
K00374	55.4000228055
K00375	109.5679735499
K00376	242.9662654643
K00380	171.6577717265
K00381	48.1144521472
K00382	12364.5847268622
K00383	12364.7764616623
K00384	6736.1192878906
K00390	124.2337740198
K00392	53.1553804015
K00404	201.9997472984
K00405	904.4052857466
K00406	781.8650841
K00407	947.54401949
K00411	787.704353769
K00412	715.6738468828
K00413	279.2922587648
K00424	50.8771929825
K00425	1283.6128708753
K00426	1113.0819085332
K00428	509.522338128
K00432	10352.2075960895
K00441	31.0017525109
K00446	12.1844470388
K00448	10.6487771739
K00451	14.824416962
K00453	16.3629919001
K00457	18.5857101131
K00459	608.4171027069
K00476	11.3941904544
K00477	22.8754850178
K00483	6.0757060322
K00484	38.9817084779
K00496	16.3145033444
K00500	15.5585506471
K00507	18.6450815116
K00523	29.0080543774
K00525	13605.7548305723
K00526	7154.4289644372
K00527	75.2001017523
K00528	134.5614877319
K00537	3488.8258847515
K00547	5240.6953823659
K00548	88.0793427933
K00549	10717.7993022472
K00554	15261.2664540451
K00557	1206.7943908679
K00558	8565.6977683273
K00560	13522.4926417719
K00563	9212.579856698
K00564	7109.442312233
K00566	15103.5968089734
K00567	9553.7210358924
K00568	341.0159560202
K00569	15.4441729003
K00571	9287.53670828731
K00573	240.1603164338
K00574	877.2932498872
K00575	3528.5043158279
K00595	52.9288917261
K00600	13926.3245854301
K00602	12167.3761689805
K00603	2821.4051314981
K00604	16623.1047164639
K00605	3052.4398667389
K00606	702.5383846432
K00609	14654.8632670541
K00610	31.2691498965
K00611	14778.1813221103
K00612	24.862377143
K00613	15.8877911567
