KO	output
K00001	345.942469375
K00003	7635.5169543588
K00004	2902.0571503975
K00005	10144.08946623
K00008	1274.9486157393
K00009	2053.7455776868
K00010	3168.1636183959
K00012	2937.7136105906
K00013	4116.1517419012
K00014	5441.3279262793
K00015	152.4159956466
K00016	8276.7036897579
K00018	2516.0712113777
K00019	83.0086202014
K00020	1789.3638700205
K00024	359.9127533795
K00027	5352.2626892686
K00029	176.5694186633
K00030	3338.3724229928
K00031	2104.7792977369
K00033	551.3426390756
K00034	393.5634787447
K00036	266.3251900494
K00040	601.7179593923
K00041	876.2282737472
K00042	56.8143051743
K00046	642.5506759783
K00048	443.0258542012
K00052	2978.9773492586
K00053	5221.6712520107
K00055	343.8643665145
K00057	6032.7302920593
K00058	8842.6285297298
K00059	12869.3693052933
K00060	84.0148076985
K00065	2143.9629033102
K00067	7884.615030309
K00068	4479.1296097309
K00073	78.028002621
K00074	6953.6767483194
K00075	7163.6957434507
K00077	9391.9762580156
K00086	1704.9333828979
K00087	1930.1334638009
K00088	7523.5183595362
K00090	1712.7927914129
K00091	74.5790403601
K00096	3513.5073329516
K00097	122.8633642787
K00099	5611.8674921404
K00100	3130.7201672923
K00101	135.1301518153
K00102	79.0257372222
K00104	6321.2573128022
K00108	1767.7770738206
K00111	5083.1093286943
K00122	118.2129570344
K00123	2922.0111480348
K00124	593.0911202394
K00127	752.1768219202
K00128	2253.2018439889
K00130	213.7070219215
K00131	3128.3613468001
K00132	2800.1724665905
K00133	6308.7257328032
K00134	7049.7302932666
K00135	274.3255712096
K00140	61.1658349183
K00145	4954.3010681452
K00147	4871.5919546582
K00150	47.6182871819
K00156	55.4812600362
K00161	72.6043225285
K00162	73.5519369541
K00163	110.4538091332
K00169	1053.2395339345
K00170	650.4539303405
K00171	513.129525397
K00172	763.2116348883
K00174	3237.1734742582
K00175	1713.6390366308
K00176	1569.5736537236
K00177	1478.8717025124
K00179	1902.0177838616
K00180	1807.6667090313
K00183	514.0332659992
K00184	2511.092962269
K00185	1189.5322274914
K00194	156.3947934862
K00196	4536.10514297
K00197	512.5429208489
K00198	6258.570827111
K00208	424.3798073499
K00209	2006.4690560181
K00210	63.2088055527
K00215	7833.4117661423
K00219	617.9038821924
K00226	72.6879121939
K00228	140.0832162457
K00230	3198.2454934606
K00239	234.8738154492
K00240	239.3662897675
K00241	64.8788810107
K00243	4874.4214423005
K00244	3300.4864783977
K00248	6334.1850555981
K00253	14.522268291
K00254	188.0006078135
K00259	305.1690724993
K00260	1398.5531923764
K00261	7.3832244709
K00262	3991.4275617081
K00265	3266.7830367421
K00266	11491.0547247577
K00274	1083.6214969516
K00275	233.5374253085
K00278	4276.3625605959
K00281	252.9352115691
K00282	488.5200990497
K00283	226.1502815052
K00285	147.0917439925
K00286	7754.811399143
K00287	3661.1833485239
K00290	2066.2593120771
K00294	199.0276787128
K00297	1980.2905615531
K00298	1163.1390492645
K00302	227.4610898738
K00303	264.2701747383
K00305	71.6178661988
K00313	464.239344508
K00324	1114.6612518483
K00329	112.815617235
K00330	2294.6035810428
K00331	2126.4256782
K00332	1962.356053067
K00333	1957.4863441899
K00334	3405.8626322929
K00335	2785.738257261
K00336	2961.5276256228
K00337	1973.415198006
K00338	2247.1154475718
K00339	1232.1066416633
K00340	151.5225429289
K00341	1388.4251107674
K00342	1719.6081920694
K00343	1975.7053779012
K00344	66.5712722466
K00346	87.096985568
K00347	144.5795458653
K00348	129.2222005423
K00349	86.8427954946
K00350	167.2496525751
K00351	92.3994694147
K00354	1780.2778806994
K00355	1770.2831161534
K00356	112.815617235
K00362	331.2922392616
K00366	2856.0179817354
K00372	320.0110118362
K00375	2670.7455070854
K00382	4802.750032508
K00383	111.5454822863
K00384	9116.8668299142
K00385	2241.6981133232
K00389	1737.6175441761
K00390	291.3135594036
K00392	1712.4144041858
K00394	1900.5048621562
K00395	2564.0828731352
K00412	209.0555303201
K00425	682.9894319706
K00426	350.333407707
K00432	2174.5798598155
K00433	721.4281119971
K00451	128.5053504151
K00453	143.704794127
K00457	101.2076798638
K00459	167.1121525783
K00523	165.6998527288
K00525	5355.1035113474
K00526	2849.9687778624
K00528	8149.4396122544
K00531	212.5094604026
K00532	2779.7150183023
K00533	47.0707189036
K00537	2304.2340450163
K00547	913.1945657689
K00548	6087.9848273648
K00549	2658.0042272826
K00554	6104.0743674744
K00557	36.5418040172
K00558	4470.5963875193
K00560	2180.217571085
K00561	204.7877442051
K00563	1521.4456261004
K00564	33.2349313943
K00566	7822.7248671305
K00567	6509.2327981129
K00568	141.5763726966
K00569	173.7039704372
K00571	1441.6444782512
K00573	257.533515715
K00574	3668.988251877
K00575	7188.2532698789
K00584	73.0564058922
K00595	218.25618658
K00598	103.3953777486
K00600	7510.9884364099
K00602	7762.2195004052
K00603	724.9185596428
K00604	5233.9255343346
K00605	2437.3216766847
K00606	4539.4864585856
K00609	5930.8768314535
K00610	4826.645020737
K00611	5568.509403668
K00613	1119.6275820556
K00615	16725.5298635721
K00616	5714.0419221038
K00620	4082.7970883246
K00625	4904.228706826
K00626	6238.5356428142
K00627	4672.003498737
K00632	49.1464056302
K00633	185.928747833
K00634	4385.0616093959
K00638	132.9438260387
K00639	248.6983515741
K00640	5182.2873604686
K00641	101.6081282247
K00645	6055.8371530304
K00647	71.2307552151
K00648	7203.1748314217
K00651	7423.5287389431
K00652	550.2351761533
K00655	8882.4837958415
K00656	7979.4803659916
K00657	2796.0059344597
K00661	7665.6753290142
K00662	150.0395564209
K00666	1971.5495134184
K00674	3963.4933781028
K00677	202.2820012962
K00681	736.7905215514
K00684	2525.4116044705
K00686	3316.1568445735
K00688	5477.7216902995
K00690	1764.7328252152
K00691	68.5930649481
K00692	6564.9643026207
K00700	1104.5183432625
K00702	663.3311052741
K00703	4123.5710453345
K00705	1138.3311624242
K00721	125.2413188448
K00728	257.8575640208
K00748	545.1588990336
K00752	51.9710363963
K00756	2504.1928790258
K00757	2050.9578693116
K00758	186.2361457576
K00759	6320.3688863822
K00760	6346.191558197
K00761	7694.8888894148
K00762	6469.9992182125
K00763	4915.8859116565
K00764	5717.7347895294
K00765	4169.1163808202
K00766	3357.3856056823
K00767	3123.4031028067
K00768	3710.5969971166
K00772	368.5791445736
K00773	6119.6851777565
K00782	116.229792153
K00783	7980.177317997
K00784	7409.9176211723
K00786	203.5396929313
K00788	7160.5231467048
K00789	8255.114893012
K00790	10592.8841945969
K00791	6738.2104567631
K00793	4794.7067648696
K00794	5723.4043414011
K00796	4210.4472590325
K00797	4589.7877837436
K00798	258.4163365981
K00799	144.1831335923
K00800	6249.969055192
K00805	1776.6694581939
K00806	10409.5993694289
K00812	4766.2059250786
K00817	8183.0409526172
K00819	98.3173064199
K00820	3224.2674313633
K00821	5047.4032261688
K00823	150.364930967
K00824	953.9965156892
K00826	5796.6753848905
K00831	1505.8995342266
K00832	317.2670754664
K00833	2322.0463218183
K00836	80.3207536411
K00844	320.1438535421
K00845	6580.6668491741
K00847	3935.2162229584
K00848	996.3179415155
K00849	2750.3682860564
K00850	8712.908730861
K00851	146.5699952764
K00852	3032.1993692556
K00853	947.7158453769
K00854	3656.9252191689
K00857	5341.4091536989
K00858	6730.4288488153
K00859	4813.8495248951
K00860	2260.9291619999
K00863	2897.3812123946
K00864	4654.057050112
K00865	2851.6162992401
K00868	1696.1111265422
K00872	4642.609382301
K00873	6375.8971352083
K00874	4803.7804483321
K00876	4281.8537801068
K00878	11754.0910673246
K00880	169.4566342524
K00882	4170.4569439835
K00883	69.102086939
K00891	7008.8083147069
K00899	243.5927039245
K00901	4929.702358755
K00906	126.4682274568
K00912	518.694707171
K00917	298.5867040487
K00918	49.3831756999
K00919	6720.8880591506
K00925	6703.9435771505
K00926	1809.5386159262
K00927	7209.1641691771
K00928	10516.2787340719
K00929	3278.1095084718
K00930	6137.2879971989
K00931	5491.4588100616
K00936	438.0547668449
K00937	2788.7695587349
K00939	6690.7218301018
K00940	4445.3188887705
K00941	4114.8244171504
K00942	7926.2009729875
K00943	2159.8199143759
K00945	6177.1879621497
K00946	180.881032336
K00948	8650.7840644108
K00949	5221.777258904
K00950	1651.3209541261
K00951	4153.5581278735
K00954	5551.6580863546
K00955	2629.1159424324
K00956	516.9145377352
K00957	3100.1493028478
K00962	7168.6558422887
K00963	6857.7105210894
K00965	4335.2437020844
K00966	412.005544592
K00968	34.6263390839
K00969	5691.943884604
K00970	2206.9793673283
K00971	6110.4570702247
K00973	4536.1334530298
K00974	4088.460679218
K00975	8791.5144137295
K00978	2675.1722052383
K00979	347.3254701461
K00980	414.4057305035
K00981	5955.4443170419
K00982	129.2660351177
K00984	43.4333094345
K00986	345.5061982105
K00989	3316.9312611367
K00990	102.5681385098
K00991	7348.978758363
K00995	8438.2648711866
K00997	5740.8498259296
K01000	6815.6433128041
K01002	63.9174323611
K01006	5831.2269560479
K01007	48.7820519529
K01008	3299.1547268336
K01011	1717.1775909948
K01012	9367.9619957927
K01026	5241.4318387738
K01029	155.4291120566
K01031	142.0371006566
K01032	167.1155126959
K01034	5734.0873439601
K01035	3852.8441168385
K01039	12.9926418399
K01040	39.5848223426
K01042	1979.7747409023
K01046	2975.1028800457
K01048	323.6917663093
K01051	712.3290408722
K01055	155.9829664085
K01056	6257.9641304714
K01057	93.2551303958
K01060	388.4514107782
K01061	67.4937396971
K01066	1884.7682349257
K01069	4514.0977080631
K01071	148.2629626663
K01077	2025.7545020628
K01079	276.2111816141
K01081	1040.2881736847
K01082	56.4995242277
K01089	144.9740094749
K01090	193.5165207077
K01091	7062.0817147943
K01092	403.402504249
K01095	54.3666297191
K01104	7747.5944061383
K01114	747.7538605566
K01118	2054.02143388
K01119	3536.0848826158
K01126	8827.589433712
K01129	6458.4471147883
K01130	62.8376506277
K01139	129.7780963758
K01142	5623.3494366507
K01147	154.0134779738
K01151	4285.2057124052
K01153	5020.9756703824
K01154	7167.4260932819
K01155	591.5953693976
K01156	1024.473439959
K01159	1770.843694542
K01163	4152.3871036111
K01173	231.7246607735
K01174	2741.1967084993
K01176	1185.385429837
K01179	4096.0218357882
K01181	1779.6482318845
K01182	7983.4875887166
K01183	932.283633638
K01185	446.1444889903
K01186	517.0774309006
K01187	6415.467135924
K01190	1638.2422279043
K01191	464.6128500176
K01192	163.7925189044
K01193	3905.3685268678
K01195	360.3647123464
K01197	211.0948994473
K01198	1377.9933979936
K01200	3292.3335158946
K01201	87.0125130798
K01202	68.9240123839
K01205	63.0350921338
K01206	619.3700904765
K01207	788.8053630809
K01208	780.518315492
K01209	2366.9054694474
K01210	14.1102607678
K01212	3378.7770141187
K01214	610.8012544202
K01215	263.3198268882
K01218	583.2350765138
K01220	23.0534543269
K01222	2778.883317841
K01223	6544.9042918674
K01224	1415.039797283
K01226	2926.0834955818
K01227	30.5395856662
K01232	8076.5419130723
K01233	90.4967110579
K01235	429.8069157419
K01239	884.4574900403
K01243	5685.9125515899
K01246	655.5264978056
K01247	494.0942660098
K01250	128.6918534433
K01251	638.3564661538
K01255	559.4553348949
K01256	62.395001487
K01258	5775.1742972243
K01259	1497.8869675706
K01262	5809.337979509
K01265	12330.2386070199
K01266	191.0521887724
K01267	3033.2505275952
K01270	3876.1002867977
K01271	2415.1661073141
K01273	4382.389696236
K01277	61.6146651899
K01278	258.2085956036
K01284	146.9165003059
K01286	4741.2380912697
K01295	259.7221730898
K01297	3284.2357551035
K01299	1875.8177268944
K01304	1181.7268181037
K01305	1686.3541784383
K01308	3505.9685989172
K01338	9683.9571486879
K01356	8661.358612601
K01358	8320.9561628098
K01361	267.840534014
K01372	674.2075917008
K01387	999.1113256902
K01400	714.1194465655
K01409	6136.4520959416
K01414	154.2650181264
K01419	320.2523538538
K01420	1066.3165925787
K01421	3918.2548033524
K01424	4402.5816064576
K01425	1545.214746839
K01426	1000.3602322779
K01428	354.0904074291
K01429	395.7940826652
K01430	362.6389293349
K01433	82.1082983902
K01436	378.381257037
K01438	278.034806921
K01439	5236.5209905055
K01442	1650.0022762446
K01443	4678.5762678563
K01447	541.5867942698
K01448	17740.3853802555
K01449	11092.2471019742
K01455	131.7115083423
K01457	4.9868533716
K01461	104.7412334199
K01462	17183.4004419388
K01463	20.947617381
K01464	4826.1000579593
K01465	6535.4488935821
K01466	710.6311995666
K01468	422.4778159207
K01469	133.4105987872
K01470	457.8318225145
K01473	137.7076983357
K01474	369.6734884468
K01476	2096.0810443633
K01478	2420.1013160024
